frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.28,6.28,-0.54,-0.54,0.55,-0.39,-0.16,6.82,6.82,6.82
20.20,6.32,6.32,-0.50,-0.50,0.51,-0.39,-0.17,6.82,6.82,6.82
20.40,6.36,6.35,-0.46,-0.47,0.47,-0.40,-0.17,6.82,6.82,6.82
20.61,6.39,6.39,-0.43,-0.43,0.43,-0.40,-0.18,6.81,6.82,6.82
20.81,6.43,6.43,-0.39,-0.39,0.39,-0.40,-0.18,6.82,6.82,6.82
21.02,6.47,6.46,-0.35,-0.36,0.35,-0.40,-0.19,6.82,6.81,6.82
21.23,6.50,6.50,-0.32,-0.32,0.31,-0.40,-0.19,6.81,6.82,6.82
21.44,6.54,6.54,-0.28,-0.28,0.28,-0.41,-0.20,6.82,6.82,6.82
21.66,6.58,6.57,-0.24,-0.24,0.24,-0.41,-0.20,6.82,6.82,6.82
21.87,6.61,6.61,-0.21,-0.20,0.21,-0.41,-0.21,6.81,6.82,6.82
22.09,6.65,6.65,-0.17,-0.17,0.17,-0.41,-0.21,6.82,6.82,6.81
22.31,6.68,6.68,-0.14,-0.14,0.14,-0.41,-0.22,6.81,6.81,6.81
22.54,6.71,6.71,-0.11,-0.10,0.10,-0.42,-0.23,6.81,6.81,6.81
22.76,6.74,6.74,-0.07,-0.07,0.07,-0.42,-0.23,6.81,6.81,6.81
22.99,6.77,6.77,-0.04,-0.04,0.04,-0.42,-0.24,6.81,6.81,6.81
23.22,6.80,6.80,-0.01,-0.01,0.02,-0.42,-0.25,6.81,6.81,6.81
23.45,6.82,6.82,0.01,0.01,-0.01,-0.43,-0.25,6.81,6.81,6.81
23.69,6.85,6.84,0.04,0.04,-0.04,-0.43,-0.26,6.81,6.81,6.81
23.92,6.87,6.87,0.06,0.06,-0.07,-0.43,-0.27,6.80,6.81,6.81
24.16,6.90,6.90,0.09,0.09,-0.09,-0.44,-0.27,6.80,6.80,6.81
24.40,6.93,6.92,0.12,0.12,-0.12,-0.44,-0.28,6.81,6.80,6.80
24.65,6.95,6.95,0.14,0.15,-0.15,-0.44,-0.29,6.80,6.80,6.80
24.89,6.98,6.98,0.18,0.18,-0.18,-0.44,-0.29,6.80,6.80,6.80
25.14,7.01,7.01,0.21,0.21,-0.21,-0.45,-0.30,6.80,6.80,6.80
25.39,7.04,7.04,0.24,0.24,-0.23,-0.45,-0.31,6.80,6.80,6.80
25.65,7.06,7.06,0.26,0.26,-0.26,-0.45,-0.32,6.79,6.80,6.80
25.91,7.09,7.09,0.29,0.29,-0.29,-0.46,-0.33,6.80,6.80,6.80
26.16,7.11,7.11,0.31,0.32,-0.32,-0.46,-0.33,6.79,6.79,6.79
26.43,7.14,7.14,0.34,0.34,-0.34,-0.47,-0.34,6.80,6.79,6.79
26.69,7.16,7.16,0.37,0.37,-0.37,-0.47,-0.35,6.79,6.79,6.79
26.96,7.18,7.18,0.39,0.39,-0.39,-0.47,-0.36,6.79,6.79,6.79
27.23,7.20,7.20,0.41,0.41,-0.41,-0.48,-0.36,6.79,6.79,6.79
27.50,7.22,7.22,0.43,0.43,-0.43,-0.48,-0.37,6.79,6.79,6.79
27.77,7.23,7.23,0.44,0.45,-0.45,-0.49,-0.38,6.78,6.79,6.78
28.05,7.25,7.24,0.47,0.46,-0.46,-0.49,-0.39,6.78,6.78,6.78
28.33,7.26,7.26,0.48,0.48,-0.48,-0.50,-0.39,6.78,6.78,6.78
28.62,7.27,7.27,0.49,0.49,-0.50,-0.50,-0.40,6.77,6.77,6.78
28.90,7.29,7.29,0.51,0.51,-0.51,-0.51,-0.41,6.77,6.77,6.78
29.19,7.31,7.30,0.53,0.53,-0.53,-0.51,-0.41,6.78,6.77,6.77
29.48,7.32,7.32,0.55,0.55,-0.55,-0.52,-0.42,6.77,6.77,6.77
29.78,7.34,7.34,0.57,0.57,-0.57,-0.52,-0.43,6.77,6.77,6.77
30.08,7.35,7.35,0.58,0.59,-0.58,-0.53,-0.43,6.76,6.77,6.77
30.38,7.37,7.37,0.60,0.60,-0.60,-0.53,-0.44,6.77,6.76,6.76
30.68,7.38,7.38,0.62,0.62,-0.62,-0.54,-0.44,6.76,6.76,6.76
30.99,7.39,7.39,0.63,0.63,-0.63,-0.55,-0.45,6.76,6.76,6.76
31.30,7.40,7.40,0.64,0.64,-0.64,-0.55,-0.45,6.76,6.76,6.75
31.61,7.41,7.40,0.66,0.65,-0.65,-0.56,-0.45,6.75,6.75,6.75
31.93,7.41,7.41,0.66,0.66,-0.67,-0.57,-0.46,6.74,6.75,6.75
32.24,7.42,7.42,0.67,0.67,-0.68,-0.58,-0.46,6.74,6.74,6.74
32.57,7.43,7.43,0.69,0.69,-0.69,-0.58,-0.47,6.74,6.74,6.74
32.89,7.44,7.44,0.70,0.70,-0.70,-0.59,-0.47,6.73,6.73,6.74
33.22,7.45,7.45,0.71,0.71,-0.72,-0.60,-0.47,6.73,6.73,6.73
33.55,7.46,7.46,0.73,0.73,-0.73,-0.61,-0.47,6.73,6.73,6.73
33.89,7.47,7.47,0.74,0.74,-0.74,-0.62,-0.48,6.73,6.73,6.73
34.23,7.48,7.47,0.76,0.75,-0.75,-0.62,-0.48,6.73,6.73,6.72
34.57,7.48,7.48,0.76,0.76,-0.76,-0.63,-0.48,6.72,6.72,6.72
34.92,7.48,7.48,0.77,0.77,-0.77,-0.64,-0.48,6.71,6.71,6.71
35.27,7.48,7.48,0.77,0.77,-0.77,-0.65,-0.48,6.71,6.71,6.71
35.62,7.48,7.48,0.78,0.78,-0.78,-0.66,-0.49,6.70,6.70,6.70
35.97,7.48,7.48,0.78,0.78,-0.78,-0.67,-0.49,6.69,6.69,6.70
36.33,7.48,7.48,0.79,0.79,-0.79,-0.67,-0.49,6.69,6.69,6.69
36.70,7.48,7.48,0.79,0.80,-0.79,-0.68,-0.49,6.68,6.69,6.69
37.06,7.49,7.48,0.81,0.80,-0.80,-0.69,-0.49,6.69,6.68,6.68
37.43,7.49,7.48,0.81,0.81,-0.81,-0.70,-0.50,6.68,6.68,6.67
37.81,7.48,7.48,0.81,0.81,-0.81,-0.71,-0.50,6.67,6.67,6.67
38.19,7.48,7.48,0.82,0.82,-0.82,-0.71,-0.50,6.66,6.66,6.66
38.57,7.48,7.48,0.82,0.82,-0.82,-0.72,-0.50,6.66,6.65,6.66
38.95,7.48,7.47,0.83,0.83,-0.83,-0.73,-0.51,6.65,6.65,6.65
39.34,7.47,7.47,0.83,0.83,-0.83,-0.73,-0.51,6.64,6.64,6.64
39.74,7.47,7.47,0.83,0.83,-0.83,-0.74,-0.51,6.64,6.64,6.63
40.14,7.47,7.46,0.84,0.84,-0.84,-0.74,-0.52,6.63,6.63,6.63
40.54,7.46,7.46,0.84,0.84,-0.84,-0.75,-0.52,6.62,6.62,6.62
40.94,7.45,7.45,0.84,0.84,-0.84,-0.75,-0.53,6.61,6.61,6.61
41.35,7.45,7.44,0.84,0.84,-0.84,-0.76,-0.53,6.60,6.60,6.60
41.76,7.44,7.44,0.84,0.84,-0.84,-0.76,-0.54,6.59,6.60,6.59
42.18,7.43,7.43,0.84,0.85,-0.84,-0.76,-0.54,6.58,6.59,6.58
42.60,7.43,7.42,0.85,0.85,-0.84,-0.76,-0.55,6.58,6.58,6.58
43.03,7.41,7.41,0.84,0.84,-0.84,-0.76,-0.56,6.56,6.57,6.57
43.46,7.40,7.40,0.84,0.84,-0.84,-0.77,-0.56,6.55,6.55,6.56
43.90,7.39,7.39,0.84,0.84,-0.84,-0.77,-0.57,6.54,6.54,6.55
44.33,7.38,7.38,0.84,0.84,-0.84,-0.77,-0.58,6.53,6.53,6.53
44.78,7.37,7.37,0.84,0.85,-0.84,-0.77,-0.59,6.52,6.52,6.52
45.23,7.36,7.36,0.85,0.85,-0.84,-0.77,-0.60,6.51,6.51,6.51
45.68,7.35,7.34,0.85,0.84,-0.84,-0.77,-0.61,6.50,6.50,6.50
46.13,7.33,7.33,0.84,0.84,-0.84,-0.77,-0.62,6.48,6.49,6.49
46.60,7.32,7.32,0.84,0.84,-0.84,-0.77,-0.63,6.47,6.47,6.47
47.06,7.31,7.30,0.85,0.84,-0.84,-0.76,-0.64,6.46,6.46,6.46
47.53,7.29,7.29,0.84,0.84,-0.84,-0.76,-0.65,6.45,6.45,6.45
48.01,7.28,7.28,0.84,0.84,-0.84,-0.76,-0.66,6.44,6.44,6.43
48.49,7.26,7.26,0.84,0.84,-0.84,-0.76,-0.67,6.42,6.42,6.42
48.97,7.24,7.24,0.83,0.84,-0.84,-0.76,-0.68,6.40,6.40,6.40
49.46,7.22,7.22,0.83,0.83,-0.83,-0.76,-0.70,6.38,6.38,6.39
49.96,7.20,7.20,0.83,0.83,-0.83,-0.76,-0.71,6.37,6.37,6.37
50.46,7.18,7.18,0.82,0.83,-0.83,-0.76,-0.72,6.35,6.35,6.35
50.96,7.16,7.16,0.82,0.82,-0.82,-0.76,-0.73,6.33,6.34,6.34
51.47,7.15,7.14,0.83,0.82,-0.82,-0.77,-0.75,6.33,6.32,6.32
51.99,7.12,7.12,0.82,0.82,-0.82,-0.77,-0.76,6.30,6.30,6.30
52.51,7.10,7.09,0.82,0.81,-0.82,-0.77,-0.78,6.28,6.28,6.28
53.03,7.07,7.07,0.81,0.81,-0.82,-0.77,-0.79,6.25,6.26,6.26
53.56,7.05,7.05,0.81,0.81,-0.81,-0.77,-0.80,6.23,6.24,6.24
54.10,7.04,7.03,0.82,0.81,-0.81,-0.77,-0.82,6.23,6.22,6.22
54.64,7.01,7.01,0.81,0.81,-0.81,-0.78,-0.83,6.20,6.20,6.20
55.18,6.98,6.98,0.80,0.81,-0.81,-0.78,-0.84,6.17,6.18,6.17
55.74,6.96,6.95,0.81,0.80,-0.80,-0.78,-0.86,6.15,6.15,6.15
56.29,6.93,6.93,0.80,0.80,-0.80,-0.79,-0.87,6.13,6.13,6.13
56.86,6.90,6.90,0.80,0.80,-0.80,-0.79,-0.88,6.10,6.10,6.10
57.42,6.87,6.87,0.79,0.79,-0.80,-0.79,-0.89,6.07,6.07,6.08
58.00,6.84,6.84,0.79,0.79,-0.79,-0.80,-0.90,6.04,6.05,6.05
58.58,6.82,6.81,0.80,0.79,-0.79,-0.80,-0.91,6.03,6.02,6.02
59.16,6.79,6.79,0.79,0.79,-0.79,-0.81,-0.92,6.00,6.00,5.99
59.76,6.76,6.76,0.79,0.79,-0.79,-0.81,-0.93,5.97,5.97,5.97
60.35,6.73,6.73,0.79,0.79,-0.79,-0.82,-0.94,5.94,5.94,5.94
60.96,6.69,6.69,0.78,0.79,-0.79,-0.82,-0.95,5.90,5.90,5.90
61.57,6.67,6.66,0.79,0.79,-0.79,-0.83,-0.96,5.88,5.87,5.87
62.18,6.63,6.63,0.79,0.79,-0.79,-0.84,-0.96,5.84,5.84,5.84
62.80,6.60,6.60,0.79,0.79,-0.79,-0.84,-0.97,5.81,5.81,5.81
63.43,6.56,6.56,0.78,0.79,-0.79,-0.85,-0.97,5.77,5.77,5.77
64.07,6.53,6.53,0.79,0.79,-0.79,-0.86,-0.98,5.74,5.74,5.74
64.71,6.50,6.49,0.80,0.79,-0.79,-0.86,-0.98,5.71,5.70,5.70
65.35,6.46,6.46,0.79,0.80,-0.79,-0.87,-0.98,5.66,5.67,5.67
66.01,6.43,6.43,0.80,0.80,-0.80,-0.88,-0.99,5.63,5.63,5.63
66.67,6.39,6.39,0.80,0.80,-0.80,-0.89,-0.99,5.59,5.59,5.59
67.33,6.35,6.35,0.80,0.80,-0.80,-0.89,-0.99,5.54,5.55,5.55
68.01,6.31,6.31,0.80,0.80,-0.81,-0.90,-0.99,5.50,5.51,5.51
68.69,6.28,6.28,0.81,0.81,-0.81,-0.91,-0.99,5.47,5.47,5.46
69.37,6.24,6.24,0.82,0.81,-0.81,-0.92,-0.99,5.43,5.43,5.42
70.07,6.20,6.20,0.82,0.82,-0.82,-0.93,-0.99,5.38,5.38,5.38
70.77,6.15,6.15,0.82,0.82,-0.82,-0.94,-0.99,5.33,5.33,5.33
71.48,6.11,6.11,0.82,0.82,-0.83,-0.95,-0.99,5.28,5.28,5.29
72.19,6.07,6.07,0.83,0.83,-0.83,-0.96,-0.99,5.24,5.24,5.24
72.91,6.03,6.03,0.84,0.84,-0.84,-0.97,-0.99,5.19,5.19,5.19
73.64,5.99,5.99,0.85,0.85,-0.84,-0.98,-0.98,5.14,5.14,5.14
74.38,5.95,5.94,0.86,0.85,-0.85,-0.99,-0.98,5.10,5.09,5.09
75.12,5.90,5.90,0.86,0.86,-0.86,-1.00,-0.98,5.04,5.04,5.04
75.87,5.86,5.86,0.87,0.87,-0.87,-1.01,-0.98,4.99,4.99,4.99
76.63,5.82,5.81,0.88,0.88,-0.88,-1.02,-0.98,4.94,4.93,4.93
77.40,5.77,5.77,0.89,0.89,-0.89,-1.03,-0.99,4.88,4.88,4.88
78.17,5.73,5.72,0.90,0.90,-0.90,-1.04,-0.99,4.83,4.82,4.82
78.95,5.68,5.68,0.91,0.91,-0.91,-1.05,-0.99,4.77,4.77,4.77
79.74,5.63,5.63,0.92,0.92,-0.92,-1.06,-0.99,4.71,4.71,4.71
80.54,5.59,5.58,0.93,0.93,-0.93,-1.07,-1.00,4.66,4.65,4.65
81.35,5.54,5.54,0.94,0.94,-0.94,-1.09,-1.00,4.60,4.60,4.59
82.16,5.49,5.49,0.95,0.95,-0.95,-1.10,-1.00,4.53,4.54,4.53
82.98,5.44,5.44,0.96,0.96,-0.97,-1.11,-1.01,4.47,4.47,4.47
83.81,5.39,5.39,0.98,0.98,-0.98,-1.12,-1.02,4.41,4.41,4.41
84.65,5.34,5.34,0.99,0.99,-0.99,-1.13,-1.02,4.35,4.35,4.35
85.50,5.29,5.29,1.00,1.00,-1.00,-1.15,-1.03,4.28,4.28,4.28
