frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.44,10.44,3.35,3.35,-3.35,-2.78,-1.42,7.09,7.09,7.09
20.20,10.44,10.45,3.35,3.35,-3.35,-2.78,-1.47,7.09,7.09,7.09
20.40,10.45,10.45,3.36,3.36,-3.36,-2.78,-1.51,7.09,7.09,7.09
20.61,10.45,10.45,3.36,3.36,-3.36,-2.78,-1.55,7.09,7.09,7.09
20.81,10.45,10.45,3.36,3.36,-3.36,-2.78,-1.60,7.09,7.09,7.09
21.02,10.45,10.45,3.36,3.36,-3.36,-2.78,-1.65,7.09,7.09,7.09
21.23,10.45,10.45,3.36,3.36,-3.36,-2.78,-1.69,7.09,7.09,7.09
21.44,10.44,10.45,3.35,3.36,-3.36,-2.78,-1.75,7.09,7.09,7.09
21.66,10.44,10.44,3.36,3.35,-3.35,-2.78,-1.80,7.09,7.09,7.09
21.87,10.43,10.43,3.35,3.35,-3.34,-2.78,-1.85,7.09,7.09,7.09
22.09,10.42,10.42,3.34,3.34,-3.34,-2.78,-1.90,7.09,7.09,7.09
22.31,10.41,10.41,3.33,3.33,-3.33,-2.78,-1.96,7.09,7.09,7.08
22.54,10.40,10.40,3.32,3.32,-3.32,-2.78,-2.02,7.08,7.08,7.08
22.76,10.39,10.39,3.31,3.31,-3.31,-2.78,-2.08,7.08,7.08,7.08
22.99,10.38,10.38,3.30,3.30,-3.31,-2.78,-2.14,7.08,7.08,7.08
23.22,10.37,10.38,3.29,3.29,-3.30,-2.78,-2.20,7.07,7.07,7.08
23.45,10.37,10.38,3.29,3.30,-3.30,-2.78,-2.26,7.07,7.07,7.08
23.69,10.38,10.38,3.30,3.30,-3.30,-2.77,-2.33,7.08,7.08,7.08
23.92,10.38,10.38,3.30,3.31,-3.30,-2.77,-2.39,7.08,7.08,7.08
24.16,10.38,10.39,3.31,3.31,-3.31,-2.77,-2.46,7.08,7.08,7.08
24.40,10.39,10.39,3.32,3.31,-3.31,-2.77,-2.53,7.09,7.08,7.08
24.65,10.38,10.39,3.31,3.31,-3.31,-2.77,-2.60,7.08,7.08,7.07
24.89,10.38,10.38,3.31,3.31,-3.30,-2.77,-2.66,7.08,7.08,7.07
25.14,10.37,10.37,3.30,3.30,-3.30,-2.77,-2.73,7.07,7.07,7.07
25.39,10.36,10.36,3.29,3.29,-3.29,-2.77,-2.80,7.07,7.07,7.07
25.65,10.35,10.35,3.28,3.28,-3.29,-2.77,-2.87,7.06,7.06,7.07
25.91,10.34,10.34,3.28,3.28,-3.28,-2.77,-2.95,7.06,7.06,7.07
26.16,10.34,10.34,3.28,3.27,-3.28,-2.77,-3.02,7.07,7.06,7.07
26.43,10.33,10.34,3.27,3.27,-3.27,-2.77,-3.08,7.06,7.06,7.06
26.69,10.33,10.33,3.27,3.27,-3.27,-2.77,-3.15,7.07,7.06,7.06
26.96,10.32,10.32,3.26,3.26,-3.26,-2.77,-3.22,7.06,7.06,7.06
27.23,10.31,10.32,3.25,3.26,-3.26,-2.76,-3.29,7.06,7.06,7.06
27.50,10.31,10.31,3.26,3.25,-3.25,-2.76,-3.35,7.06,7.06,7.06
27.77,10.30,10.30,3.25,3.25,-3.25,-2.76,-3.41,7.06,7.05,7.05
28.05,10.29,10.29,3.24,3.24,-3.24,-2.76,-3.47,7.05,7.05,7.05
28.33,10.28,10.28,3.23,3.23,-3.23,-2.76,-3.53,7.05,7.05,7.05
28.62,10.27,10.27,3.22,3.22,-3.23,-2.76,-3.58,7.05,7.05,7.05
28.90,10.26,10.26,3.22,3.22,-3.22,-2.76,-3.63,7.05,7.05,7.05
29.19,10.25,10.25,3.21,3.21,-3.20,-2.76,-3.67,7.05,7.05,7.04
29.48,10.24,10.24,3.20,3.20,-3.19,-2.76,-3.71,7.05,7.05,7.04
29.78,10.22,10.22,3.18,3.18,-3.18,-2.75,-3.75,7.04,7.04,7.04
30.08,10.20,10.20,3.17,3.17,-3.17,-2.75,-3.78,7.03,7.03,7.04
30.38,10.18,10.19,3.15,3.15,-3.16,-2.75,-3.81,7.02,7.03,7.03
30.68,10.17,10.17,3.14,3.14,-3.15,-2.75,-3.82,7.02,7.02,7.03
30.99,10.16,10.16,3.13,3.13,-3.14,-2.75,-3.84,7.03,7.02,7.03
31.30,10.15,10.15,3.13,3.13,-3.13,-2.75,-3.85,7.03,7.03,7.02
31.61,10.14,10.14,3.12,3.12,-3.12,-2.75,-3.85,7.03,7.02,7.02
31.93,10.13,10.13,3.11,3.11,-3.11,-2.74,-3.85,7.02,7.02,7.02
32.24,10.11,10.12,3.10,3.10,-3.10,-2.74,-3.84,7.01,7.02,7.01
32.57,10.10,10.10,3.09,3.09,-3.09,-2.74,-3.83,7.01,7.01,7.01
32.89,10.08,10.08,3.07,3.07,-3.08,-2.74,-3.81,7.01,7.01,7.01
33.22,10.06,10.07,3.06,3.06,-3.06,-2.74,-3.79,7.00,7.00,7.00
33.55,10.05,10.05,3.05,3.05,-3.05,-2.73,-3.76,7.00,7.00,7.00
33.89,10.03,10.04,3.04,3.04,-3.04,-2.73,-3.73,6.99,7.00,7.00
34.23,10.02,10.02,3.03,3.03,-3.03,-2.73,-3.69,7.00,6.99,6.99
34.57,10.00,10.00,3.02,3.01,-3.01,-2.73,-3.65,6.99,6.99,6.99
34.92,9.98,9.98,3.00,3.00,-3.00,-2.73,-3.61,6.98,6.98,6.98
35.27,9.96,9.97,2.98,2.99,-2.99,-2.72,-3.57,6.97,6.98,6.98
35.62,9.95,9.95,2.98,2.98,-2.98,-2.72,-3.52,6.98,6.97,6.97
35.97,9.93,9.93,2.96,2.96,-2.96,-2.72,-3.47,6.97,6.97,6.97
36.33,9.91,9.91,2.95,2.95,-2.95,-2.71,-3.42,6.96,6.96,6.96
36.70,9.89,9.89,2.94,2.93,-2.94,-2.71,-3.37,6.96,6.96,6.96
37.06,9.87,9.87,2.92,2.92,-2.92,-2.71,-3.31,6.95,6.95,6.95
37.43,9.85,9.85,2.91,2.91,-2.91,-2.71,-3.26,6.94,6.94,6.95
37.81,9.83,9.83,2.89,2.89,-2.89,-2.70,-3.21,6.94,6.94,6.94
38.19,9.81,9.81,2.88,2.88,-2.88,-2.70,-3.15,6.93,6.93,6.93
38.57,9.79,9.79,2.87,2.86,-2.86,-2.70,-3.10,6.93,6.93,6.93
38.95,9.77,9.77,2.85,2.85,-2.85,-2.69,-3.05,6.92,6.92,6.92
39.34,9.74,9.74,2.83,2.83,-2.83,-2.69,-2.99,6.91,6.91,6.91
39.74,9.72,9.72,2.82,2.81,-2.82,-2.68,-2.94,6.91,6.90,6.91
40.14,9.69,9.70,2.79,2.80,-2.80,-2.68,-2.89,6.89,6.90,6.90
40.54,9.67,9.67,2.78,2.78,-2.78,-2.67,-2.84,6.89,6.89,6.89
40.94,9.65,9.65,2.77,2.77,-2.77,-2.67,-2.80,6.88,6.88,6.88
41.35,9.62,9.62,2.75,2.75,-2.75,-2.66,-2.75,6.87,6.87,6.87
41.76,9.60,9.60,2.74,2.74,-2.73,-2.66,-2.71,6.87,6.87,6.86
42.18,9.57,9.57,2.72,2.72,-2.72,-2.65,-2.67,6.85,6.86,6.86
42.60,9.55,9.55,2.71,2.70,-2.70,-2.65,-2.63,6.85,6.85,6.85
43.03,9.52,9.52,2.69,2.69,-2.68,-2.64,-2.59,6.84,6.84,6.84
43.46,9.49,9.49,2.67,2.67,-2.67,-2.64,-2.55,6.83,6.83,6.83
43.90,9.46,9.46,2.65,2.65,-2.65,-2.63,-2.51,6.81,6.81,6.82
44.33,9.43,9.43,2.63,2.63,-2.63,-2.62,-2.48,6.80,6.80,6.81
44.78,9.40,9.41,2.61,2.61,-2.61,-2.62,-2.45,6.79,6.79,6.79
45.23,9.38,9.38,2.60,2.60,-2.60,-2.61,-2.42,6.79,6.78,6.78
45.68,9.35,9.35,2.58,2.58,-2.58,-2.60,-2.39,6.77,6.77,6.77
46.13,9.32,9.32,2.56,2.56,-2.56,-2.59,-2.37,6.76,6.76,6.76
46.60,9.29,9.29,2.55,2.54,-2.55,-2.59,-2.35,6.75,6.74,6.75
47.06,9.25,9.26,2.52,2.52,-2.53,-2.58,-2.32,6.72,6.73,6.73
47.53,9.22,9.23,2.50,2.51,-2.51,-2.57,-2.30,6.71,6.72,6.72
48.01,9.20,9.20,2.50,2.49,-2.49,-2.56,-2.29,6.71,6.71,6.70
48.49,9.17,9.17,2.48,2.48,-2.47,-2.55,-2.27,6.70,6.69,6.69
48.97,9.13,9.13,2.46,2.46,-2.45,-2.54,-2.26,6.68,6.68,6.67
