frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.07,9.07,2.29,2.29,-2.29,-2.14,-1.12,6.78,6.78,6.78
20.20,9.08,9.08,2.30,2.30,-2.30,-2.14,-1.15,6.78,6.78,6.78
20.40,9.09,9.09,2.31,2.31,-2.31,-2.15,-1.18,6.78,6.78,6.78
20.61,9.10,9.10,2.32,2.32,-2.32,-2.16,-1.22,6.78,6.78,6.78
20.81,9.11,9.11,2.33,2.33,-2.33,-2.17,-1.26,6.78,6.78,6.78
21.02,9.11,9.11,2.33,2.34,-2.34,-2.18,-1.29,6.77,6.78,6.78
21.23,9.12,9.12,2.34,2.35,-2.34,-2.19,-1.33,6.78,6.78,6.77
21.44,9.13,9.13,2.36,2.35,-2.35,-2.20,-1.37,6.78,6.78,6.77
21.66,9.13,9.13,2.36,2.36,-2.35,-2.21,-1.41,6.78,6.78,6.77
21.87,9.13,9.13,2.36,2.36,-2.36,-2.22,-1.45,6.77,6.77,6.77
22.09,9.13,9.13,2.36,2.36,-2.36,-2.23,-1.50,6.77,6.77,6.77
22.31,9.13,9.13,2.36,2.36,-2.36,-2.24,-1.54,6.77,6.77,6.77
22.54,9.13,9.13,2.36,2.36,-2.37,-2.26,-1.59,6.76,6.77,6.77
22.76,9.14,9.14,2.37,2.37,-2.37,-2.27,-1.63,6.77,6.77,6.77
22.99,9.14,9.14,2.37,2.37,-2.38,-2.29,-1.68,6.76,6.77,6.77
23.22,9.15,9.15,2.38,2.38,-2.38,-2.30,-1.73,6.77,6.77,6.77
23.45,9.16,9.15,2.39,2.39,-2.39,-2.32,-1.78,6.77,6.76,6.77
23.69,9.16,9.16,2.39,2.40,-2.40,-2.34,-1.83,6.76,6.77,6.76
23.92,9.17,9.17,2.41,2.41,-2.40,-2.36,-1.88,6.76,6.77,6.76
24.16,9.18,9.18,2.42,2.41,-2.41,-2.38,-1.93,6.77,6.77,6.76
24.40,9.18,9.18,2.42,2.42,-2.42,-2.39,-1.99,6.76,6.76,6.76
24.65,9.18,9.18,2.42,2.42,-2.42,-2.41,-2.04,6.76,6.76,6.76
24.89,9.18,9.18,2.42,2.42,-2.42,-2.43,-2.10,6.76,6.76,6.76
25.14,9.18,9.18,2.42,2.42,-2.42,-2.45,-2.15,6.76,6.76,6.76
25.39,9.18,9.18,2.42,2.42,-2.42,-2.47,-2.21,6.75,6.75,6.76
25.65,9.18,9.18,2.42,2.43,-2.42,-2.49,-2.26,6.75,6.76,6.75
25.91,9.18,9.18,2.43,2.43,-2.42,-2.50,-2.32,6.75,6.75,6.75
26.16,9.18,9.18,2.43,2.42,-2.42,-2.51,-2.37,6.76,6.75,6.75
26.43,9.17,9.17,2.42,2.42,-2.42,-2.53,-2.43,6.75,6.75,6.75
26.69,9.17,9.17,2.42,2.42,-2.42,-2.53,-2.48,6.75,6.75,6.75
26.96,9.17,9.17,2.42,2.42,-2.42,-2.54,-2.53,6.75,6.75,6.75
27.23,9.16,9.16,2.41,2.42,-2.42,-2.54,-2.58,6.74,6.74,6.74
27.50,9.16,9.16,2.42,2.41,-2.42,-2.54,-2.63,6.74,6.74,6.74
27.77,9.15,9.15,2.41,2.41,-2.41,-2.54,-2.68,6.74,6.74,6.74
28.05,9.15,9.15,2.41,2.41,-2.41,-2.53,-2.73,6.74,6.74,6.74
28.33,9.15,9.15,2.41,2.41,-2.41,-2.52,-2.77,6.74,6.74,6.74
28.62,9.14,9.14,2.40,2.41,-2.41,-2.51,-2.81,6.73,6.74,6.73
28.90,9.14,9.14,2.41,2.40,-2.40,-2.50,-2.85,6.74,6.73,6.73
29.19,9.13,9.13,2.40,2.40,-2.40,-2.48,-2.88,6.73,6.73,6.73
29.48,9.12,9.12,2.39,2.40,-2.40,-2.47,-2.91,6.72,6.73,6.73
29.78,9.12,9.12,2.39,2.39,-2.39,-2.45,-2.94,6.73,6.73,6.72
30.08,9.11,9.11,2.39,2.39,-2.39,-2.43,-2.96,6.72,6.72,6.72
30.38,9.10,9.10,2.38,2.38,-2.38,-2.41,-2.98,6.72,6.72,6.72
30.68,9.09,9.09,2.37,2.37,-2.38,-2.39,-3.00,6.71,6.71,6.72
30.99,9.08,9.08,2.37,2.37,-2.37,-2.37,-3.01,6.71,6.71,6.71
31.30,9.08,9.08,2.37,2.37,-2.36,-2.35,-3.01,6.72,6.71,6.71
31.61,9.07,9.07,2.36,2.36,-2.36,-2.33,-3.02,6.71,6.71,6.71
31.93,9.06,9.06,2.35,2.35,-2.35,-2.31,-3.01,6.71,6.71,6.70
32.24,9.04,9.04,2.34,2.34,-2.34,-2.29,-3.01,6.70,6.70,6.70
32.57,9.03,9.03,2.33,2.33,-2.33,-2.28,-2.99,6.69,6.70,6.70
32.89,9.02,9.02,2.33,2.32,-2.33,-2.26,-2.98,6.69,6.69,6.69
33.22,9.01,9.01,2.32,2.32,-2.32,-2.25,-2.96,6.69,6.69,6.69
33.55,8.99,8.99,2.30,2.31,-2.31,-2.23,-2.94,6.68,6.69,6.69
33.89,8.98,8.98,2.30,2.30,-2.30,-2.22,-2.91,6.68,6.68,6.68
34.23,8.97,8.97,2.29,2.29,-2.29,-2.20,-2.88,6.68,6.68,6.68
34.57,8.95,8.95,2.28,2.28,-2.28,-2.19,-2.85,6.67,6.67,6.67
34.92,8.94,8.94,2.27,2.27,-2.27,-2.18,-2.81,6.67,6.67,6.67
35.27,8.92,8.92,2.26,2.26,-2.26,-2.17,-2.78,6.66,6.66,6.66
35.62,8.91,8.91,2.25,2.25,-2.25,-2.16,-2.74,6.66,6.66,6.66
35.97,8.90,8.90,2.24,2.24,-2.24,-2.15,-2.70,6.66,6.66,6.65
36.33,8.88,8.88,2.23,2.23,-2.23,-2.14,-2.65,6.65,6.65,6.65
36.70,8.86,8.86,2.22,2.22,-2.22,-2.13,-2.61,6.64,6.64,6.64
37.06,8.84,8.84,2.20,2.20,-2.21,-2.12,-2.57,6.63,6.64,6.64
37.43,8.83,8.83,2.20,2.19,-2.19,-2.11,-2.52,6.64,6.63,6.63
37.81,8.81,8.81,2.18,2.18,-2.18,-2.10,-2.48,6.63,6.63,6.63
38.19,8.79,8.79,2.17,2.17,-2.17,-2.09,-2.43,6.62,6.62,6.62
38.57,8.77,8.77,2.16,2.16,-2.16,-2.08,-2.39,6.61,6.61,6.61
38.95,8.75,8.75,2.14,2.15,-2.15,-2.07,-2.34,6.60,6.60,6.61
39.34,8.74,8.74,2.14,2.14,-2.14,-2.06,-2.30,6.60,6.60,6.60
39.74,8.72,8.72,2.13,2.13,-2.12,-2.06,-2.26,6.60,6.60,6.59
40.14,8.70,8.70,2.12,2.12,-2.11,-2.05,-2.21,6.59,6.59,6.58
40.54,8.68,8.68,2.10,2.10,-2.10,-2.04,-2.17,6.58,6.58,6.58
40.94,8.65,8.65,2.08,2.08,-2.09,-2.03,-2.13,6.56,6.57,6.57
41.35,8.63,8.63,2.07,2.07,-2.07,-2.03,-2.09,6.56,6.56,6.56
41.76,8.61,8.61,2.06,2.06,-2.06,-2.02,-2.05,6.55,6.55,6.55
42.18,8.59,8.59,2.05,2.05,-2.05,-2.01,-2.02,6.54,6.54,6.54
42.60,8.57,8.57,2.04,2.03,-2.03,-2.00,-1.98,6.54,6.53,6.53
43.03,8.54,8.54,2.02,2.02,-2.02,-2.00,-1.95,6.52,6.52,6.52
43.46,8.52,8.52,2.01,2.01,-2.01,-1.99,-1.91,6.51,6.51,6.51
43.90,8.50,8.50,2.00,1.99,-1.99,-1.98,-1.88,6.51,6.50,6.50
44.33,8.47,8.47,1.98,1.98,-1.98,-1.97,-1.85,6.49,6.49,6.49
44.78,8.45,8.45,1.97,1.97,-1.97,-1.96,-1.82,6.48,6.48,6.48
45.23,8.42,8.42,1.95,1.95,-1.95,-1.95,-1.80,6.47,6.47,6.47
