frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.78,10.78,3.31,3.31,-3.31,-2.88,-1.04,7.47,7.47,7.47
20.20,10.76,10.76,3.29,3.29,-3.29,-2.87,-1.07,7.47,7.47,7.47
20.40,10.74,10.74,3.27,3.27,-3.27,-2.87,-1.10,7.47,7.47,7.47
20.61,10.72,10.72,3.25,3.25,-3.25,-2.86,-1.14,7.47,7.47,7.47
20.81,10.70,10.69,3.23,3.23,-3.23,-2.85,-1.17,7.47,7.47,7.47
21.02,10.67,10.67,3.20,3.20,-3.21,-2.84,-1.21,7.46,7.47,7.47
21.23,10.65,10.65,3.18,3.18,-3.18,-2.83,-1.24,7.46,7.46,7.47
21.44,10.63,10.63,3.16,3.16,-3.16,-2.83,-1.28,7.46,7.46,7.46
21.66,10.61,10.61,3.14,3.14,-3.14,-2.82,-1.32,7.47,7.46,7.46
21.87,10.59,10.58,3.12,3.12,-3.12,-2.81,-1.36,7.47,7.46,7.46
22.09,10.56,10.56,3.10,3.10,-3.10,-2.80,-1.40,7.46,7.46,7.46
22.31,10.54,10.54,3.08,3.08,-3.08,-2.79,-1.44,7.46,7.46,7.46
22.54,10.52,10.52,3.06,3.06,-3.06,-2.78,-1.49,7.46,7.46,7.46
22.76,10.50,10.50,3.04,3.04,-3.03,-2.77,-1.53,7.46,7.46,7.46
22.99,10.47,10.47,3.01,3.01,-3.01,-2.76,-1.58,7.46,7.46,7.46
23.22,10.45,10.45,2.99,2.99,-2.98,-2.75,-1.63,7.46,7.46,7.46
23.45,10.42,10.42,2.96,2.96,-2.96,-2.74,-1.67,7.46,7.46,7.46
23.69,10.39,10.39,2.93,2.93,-2.93,-2.73,-1.72,7.45,7.45,7.46
23.92,10.36,10.36,2.90,2.90,-2.91,-2.72,-1.77,7.45,7.45,7.45
24.16,10.33,10.33,2.87,2.88,-2.88,-2.71,-1.82,7.45,7.45,7.45
24.40,10.31,10.30,2.86,2.85,-2.85,-2.70,-1.87,7.46,7.45,7.45
24.65,10.28,10.28,2.83,2.83,-2.82,-2.68,-1.92,7.45,7.45,7.45
24.89,10.25,10.25,2.80,2.80,-2.80,-2.67,-1.97,7.45,7.45,7.45
25.14,10.22,10.22,2.77,2.77,-2.77,-2.66,-2.03,7.45,7.45,7.45
25.39,10.19,10.19,2.74,2.74,-2.74,-2.65,-2.08,7.44,7.44,7.45
