frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.41,9.41,1.86,1.86,-1.87,-2.16,-1.01,7.54,7.54,7.55
20.20,9.43,9.43,1.89,1.89,-1.89,-2.16,-1.04,7.54,7.55,7.55
20.40,9.45,9.45,1.91,1.91,-1.91,-2.16,-1.07,7.55,7.55,7.54
20.61,9.47,9.47,1.93,1.93,-1.92,-2.16,-1.10,7.55,7.55,7.54
20.81,9.49,9.49,1.95,1.94,-1.94,-2.16,-1.13,7.55,7.55,7.54
21.02,9.50,9.50,1.96,1.96,-1.96,-2.16,-1.16,7.54,7.54,7.54
21.23,9.52,9.52,1.98,1.98,-1.98,-2.16,-1.20,7.54,7.54,7.54
21.44,9.53,9.53,1.99,1.99,-1.99,-2.16,-1.23,7.54,7.54,7.54
21.66,9.55,9.55,2.01,2.01,-2.01,-2.16,-1.27,7.54,7.54,7.54
21.87,9.56,9.56,2.02,2.02,-2.02,-2.16,-1.31,7.54,7.54,7.54
22.09,9.58,9.58,2.04,2.04,-2.04,-2.17,-1.34,7.54,7.54,7.54
22.31,9.59,9.59,2.05,2.06,-2.05,-2.17,-1.38,7.54,7.54,7.54
22.54,9.61,9.61,2.07,2.07,-2.07,-2.17,-1.42,7.54,7.54,7.54
22.76,9.62,9.62,2.08,2.08,-2.08,-2.17,-1.47,7.54,7.54,7.54
22.99,9.63,9.63,2.10,2.10,-2.10,-2.17,-1.51,7.53,7.54,7.54
23.22,9.65,9.65,2.12,2.11,-2.11,-2.17,-1.55,7.54,7.53,7.53
23.45,9.66,9.66,2.13,2.13,-2.13,-2.17,-1.60,7.53,7.53,7.53
23.69,9.67,9.67,2.14,2.14,-2.14,-2.17,-1.64,7.53,7.53,7.53
23.92,9.68,9.68,2.15,2.15,-2.15,-2.17,-1.69,7.53,7.53,7.53
24.16,9.70,9.70,2.17,2.17,-2.17,-2.17,-1.74,7.53,7.53,7.53
24.40,9.71,9.71,2.18,2.18,-2.18,-2.17,-1.78,7.53,7.53,7.53
24.65,9.72,9.72,2.19,2.19,-2.19,-2.17,-1.83,7.53,7.53,7.53
24.89,9.73,9.73,2.20,2.20,-2.21,-2.17,-1.88,7.52,7.52,7.53
25.14,9.74,9.74,2.22,2.22,-2.22,-2.17,-1.93,7.52,7.52,7.52
25.39,9.75,9.75,2.23,2.23,-2.23,-2.17,-1.98,7.52,7.52,7.52
25.65,9.76,9.76,2.24,2.24,-2.24,-2.17,-2.03,7.52,7.52,7.52
25.91,9.77,9.77,2.25,2.25,-2.24,-2.17,-2.08,7.53,7.52,7.52
26.16,9.77,9.77,2.25,2.25,-2.25,-2.17,-2.13,7.52,7.52,7.52
26.43,9.77,9.77,2.25,2.26,-2.26,-2.17,-2.18,7.51,7.52,7.52
26.69,9.78,9.78,2.27,2.26,-2.26,-2.17,-2.22,7.52,7.51,7.52
26.96,9.78,9.78,2.27,2.27,-2.27,-2.17,-2.27,7.51,7.51,7.51
27.23,9.78,9.79,2.27,2.27,-2.28,-2.18,-2.32,7.50,7.51,7.51
27.50,9.79,9.79,2.28,2.28,-2.28,-2.18,-2.36,7.51,7.51,7.51
27.77,9.80,9.80,2.29,2.29,-2.29,-2.18,-2.41,7.51,7.51,7.51
28.05,9.80,9.80,2.29,2.30,-2.29,-2.18,-2.45,7.51,7.51,7.51
28.33,9.81,9.81,2.31,2.30,-2.30,-2.18,-2.49,7.51,7.51,7.50
28.62,9.81,9.81,2.31,2.31,-2.31,-2.18,-2.53,7.50,7.50,7.50
28.90,9.81,9.81,2.31,2.31,-2.31,-2.18,-2.56,7.50,7.50,7.50
29.19,9.81,9.81,2.31,2.32,-2.32,-2.18,-2.60,7.49,7.49,7.50
29.48,9.82,9.82,2.33,2.32,-2.32,-2.18,-2.63,7.50,7.49,7.49
29.78,9.82,9.82,2.33,2.33,-2.33,-2.18,-2.65,7.49,7.49,7.49
30.08,9.82,9.82,2.33,2.33,-2.33,-2.18,-2.68,7.49,7.49,7.49
30.38,9.82,9.82,2.33,2.33,-2.33,-2.18,-2.70,7.49,7.49,7.49
30.68,9.82,9.82,2.34,2.34,-2.33,-2.18,-2.71,7.49,7.49,7.48
30.99,9.82,9.82,2.34,2.34,-2.33,-2.18,-2.73,7.49,7.48,7.48
31.30,9.81,9.81,2.33,2.33,-2.33,-2.18,-2.74,7.48,7.48,7.48
31.61,9.80,9.80,2.33,2.33,-2.33,-2.18,-2.74,7.47,7.47,7.48
31.93,9.80,9.80,2.33,2.33,-2.33,-2.18,-2.74,7.47,7.46,7.47
32.24,9.79,9.80,2.32,2.33,-2.33,-2.18,-2.74,7.46,7.46,7.47
32.57,9.80,9.80,2.34,2.33,-2.34,-2.19,-2.74,7.47,7.46,7.46
32.89,9.80,9.80,2.34,2.34,-2.34,-2.19,-2.73,7.46,7.46,7.46
33.22,9.80,9.80,2.34,2.34,-2.34,-2.19,-2.72,7.46,7.47,7.46
33.55,9.80,9.80,2.35,2.34,-2.34,-2.19,-2.71,7.46,7.46,7.45
33.89,9.79,9.79,2.34,2.34,-2.34,-2.19,-2.69,7.45,7.45,7.45
34.23,9.78,9.78,2.34,2.34,-2.34,-2.19,-2.67,7.44,7.44,7.45
34.57,9.77,9.77,2.33,2.33,-2.34,-2.19,-2.65,7.43,7.44,7.44
34.92,9.77,9.77,2.33,2.33,-2.34,-2.19,-2.63,7.43,7.43,7.44
35.27,9.76,9.76,2.33,2.33,-2.33,-2.19,-2.60,7.43,7.43,7.43
35.62,9.76,9.76,2.33,2.33,-2.33,-2.19,-2.58,7.43,7.43,7.43
35.97,9.76,9.76,2.34,2.34,-2.33,-2.19,-2.55,7.43,7.43,7.42
36.33,9.75,9.75,2.33,2.33,-2.33,-2.19,-2.52,7.42,7.42,7.42
36.70,9.74,9.74,2.33,2.33,-2.33,-2.19,-2.49,7.41,7.41,7.41
37.06,9.73,9.73,2.33,2.33,-2.33,-2.19,-2.46,7.40,7.40,7.41
37.43,9.72,9.72,2.32,2.32,-2.32,-2.19,-2.43,7.40,7.40,7.40
37.81,9.71,9.71,2.32,2.32,-2.32,-2.19,-2.40,7.39,7.39,7.39
38.19,9.70,9.70,2.31,2.31,-2.31,-2.19,-2.37,7.39,7.39,7.39
38.57,9.69,9.69,2.31,2.31,-2.31,-2.20,-2.34,7.38,7.38,7.38
38.95,9.68,9.68,2.31,2.31,-2.31,-2.20,-2.31,7.38,7.37,7.37
39.34,9.67,9.67,2.30,2.30,-2.30,-2.20,-2.29,7.37,7.37,7.37
39.74,9.65,9.65,2.29,2.30,-2.30,-2.20,-2.26,7.36,7.36,7.36
40.14,9.64,9.64,2.29,2.29,-2.29,-2.20,-2.23,7.35,7.35,7.35
40.54,9.63,9.63,2.29,2.28,-2.28,-2.20,-2.21,7.35,7.34,7.34
40.94,9.61,9.61,2.27,2.28,-2.28,-2.20,-2.19,7.33,7.34,7.34
41.35,9.60,9.60,2.27,2.27,-2.27,-2.20,-2.16,7.33,7.33,7.33
41.76,9.58,9.58,2.26,2.26,-2.27,-2.20,-2.14,7.32,7.32,7.32
42.18,9.57,9.57,2.26,2.26,-2.26,-2.20,-2.12,7.31,7.31,7.31
42.60,9.55,9.55,2.25,2.25,-2.25,-2.20,-2.10,7.30,7.30,7.30
43.03,9.54,9.54,2.25,2.25,-2.25,-2.20,-2.09,7.29,7.29,7.29
43.46,9.52,9.52,2.24,2.24,-2.24,-2.20,-2.07,7.28,7.28,7.28
43.90,9.51,9.51,2.24,2.24,-2.24,-2.20,-2.06,7.27,7.27,7.27
