frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.84,10.84,3.71,3.71,-3.71,-3.59,-1.52,7.13,7.13,7.13
20.20,10.84,10.84,3.71,3.71,-3.71,-3.59,-1.56,7.14,7.13,7.13
20.40,10.84,10.84,3.71,3.70,-3.70,-3.59,-1.61,7.14,7.13,7.13
20.61,10.83,10.84,3.70,3.70,-3.70,-3.59,-1.66,7.13,7.13,7.13
20.81,10.83,10.83,3.70,3.70,-3.70,-3.58,-1.70,7.13,7.13,7.13
21.02,10.83,10.83,3.70,3.69,-3.70,-3.58,-1.75,7.14,7.13,7.13
21.23,10.82,10.82,3.69,3.69,-3.69,-3.58,-1.81,7.13,7.13,7.13
21.44,10.82,10.82,3.69,3.69,-3.69,-3.58,-1.86,7.13,7.13,7.13
21.66,10.82,10.82,3.69,3.69,-3.69,-3.58,-1.91,7.13,7.13,7.13
21.87,10.81,10.81,3.68,3.69,-3.69,-3.57,-1.97,7.12,7.13,7.13
22.09,10.81,10.81,3.68,3.68,-3.69,-3.57,-2.03,7.13,7.13,7.13
22.31,10.81,10.81,3.68,3.68,-3.68,-3.57,-2.09,7.13,7.13,7.13
22.54,10.81,10.81,3.68,3.68,-3.68,-3.57,-2.15,7.13,7.13,7.13
22.76,10.80,10.80,3.68,3.68,-3.68,-3.57,-2.21,7.12,7.13,7.12
22.99,10.80,10.80,3.68,3.68,-3.68,-3.56,-2.28,7.12,7.13,7.12
23.22,10.80,10.80,3.68,3.67,-3.67,-3.56,-2.34,7.13,7.12,7.12
23.45,10.79,10.79,3.67,3.67,-3.67,-3.56,-2.41,7.12,7.12,7.12
23.69,10.78,10.78,3.66,3.66,-3.66,-3.56,-2.48,7.12,7.12,7.12
23.92,10.77,10.77,3.65,3.65,-3.66,-3.55,-2.55,7.12,7.12,7.12
24.16,10.77,10.77,3.65,3.65,-3.65,-3.55,-2.62,7.12,7.12,7.12
24.40,10.76,10.76,3.64,3.64,-3.64,-3.55,-2.69,7.12,7.12,7.12
24.65,10.75,10.75,3.63,3.63,-3.64,-3.55,-2.76,7.12,7.12,7.12
24.89,10.74,10.74,3.63,3.63,-3.63,-3.54,-2.83,7.11,7.11,7.11
25.14,10.73,10.73,3.62,3.62,-3.62,-3.54,-2.91,7.11,7.11,7.11
25.39,10.73,10.73,3.62,3.62,-3.62,-3.54,-2.98,7.12,7.11,7.11
25.65,10.72,10.72,3.61,3.61,-3.61,-3.53,-3.06,7.11,7.11,7.11
25.91,10.71,10.71,3.60,3.60,-3.60,-3.53,-3.13,7.11,7.11,7.11
26.16,10.70,10.70,3.59,3.59,-3.59,-3.53,-3.21,7.11,7.11,7.11
26.43,10.69,10.69,3.58,3.58,-3.59,-3.52,-3.28,7.11,7.11,7.11
26.69,10.68,10.68,3.58,3.58,-3.58,-3.52,-3.35,7.10,7.10,7.10
26.96,10.67,10.67,3.57,3.57,-3.57,-3.51,-3.43,7.10,7.10,7.10
27.23,10.66,10.66,3.56,3.56,-3.56,-3.51,-3.50,7.10,7.10,7.10
27.50,10.65,10.65,3.55,3.55,-3.55,-3.51,-3.57,7.10,7.10,7.10
27.77,10.64,10.64,3.54,3.54,-3.54,-3.50,-3.63,7.10,7.10,7.10
28.05,10.63,10.63,3.54,3.54,-3.53,-3.50,-3.69,7.10,7.10,7.09
28.33,10.62,10.62,3.53,3.52,-3.52,-3.49,-3.75,7.10,7.09,7.09
28.62,10.60,10.60,3.51,3.51,-3.52,-3.49,-3.81,7.09,7.09,7.09
28.90,10.59,10.59,3.50,3.50,-3.51,-3.48,-3.86,7.08,7.09,7.09
29.19,10.58,10.58,3.49,3.49,-3.50,-3.48,-3.91,7.08,7.08,7.09
29.48,10.57,10.57,3.49,3.49,-3.49,-3.47,-3.95,7.09,7.08,7.08
29.78,10.56,10.56,3.48,3.48,-3.47,-3.47,-3.99,7.09,7.08,7.08
30.08,10.54,10.54,3.46,3.47,-3.46,-3.46,-4.02,7.08,7.08,7.08
30.38,10.53,10.53,3.46,3.45,-3.45,-3.46,-4.05,7.08,7.08,7.08
30.68,10.51,10.51,3.44,3.44,-3.44,-3.45,-4.07,7.07,7.07,7.07
30.99,10.50,10.50,3.43,3.43,-3.43,-3.44,-4.09,7.07,7.07,7.07
31.30,10.48,10.48,3.41,3.42,-3.42,-3.44,-4.10,7.06,7.07,7.07
31.61,10.47,10.47,3.41,3.41,-3.41,-3.43,-4.10,7.06,7.06,7.06
31.93,10.45,10.45,3.39,3.39,-3.39,-3.42,-4.10,7.06,7.06,7.06
32.24,10.44,10.44,3.38,3.38,-3.38,-3.42,-4.09,7.06,7.06,7.06
32.57,10.42,10.42,3.37,3.37,-3.37,-3.41,-4.08,7.05,7.05,7.05
32.89,10.41,10.41,3.36,3.36,-3.36,-3.40,-4.06,7.06,7.05,7.05
33.22,10.39,10.39,3.34,3.34,-3.34,-3.39,-4.04,7.05,7.05,7.05
