frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.91,11.91,4.38,4.38,-4.38,-3.50,-1.81,7.53,7.53,7.54
20.20,11.91,11.91,4.38,4.37,-4.37,-3.50,-1.87,7.54,7.54,7.54
20.40,11.90,11.91,4.37,4.37,-4.37,-3.50,-1.92,7.53,7.54,7.54
20.61,11.90,11.90,4.37,4.37,-4.36,-3.50,-1.98,7.54,7.54,7.53
20.81,11.89,11.90,4.36,4.36,-4.36,-3.50,-2.04,7.53,7.54,7.53
21.02,11.89,11.89,4.36,4.36,-4.35,-3.50,-2.10,7.54,7.53,7.53
21.23,11.88,11.88,4.35,4.35,-4.35,-3.50,-2.16,7.53,7.53,7.53
21.44,11.87,11.88,4.34,4.35,-4.35,-3.50,-2.22,7.53,7.53,7.53
21.66,11.87,11.87,4.34,4.34,-4.34,-3.50,-2.29,7.53,7.53,7.53
21.87,11.87,11.87,4.34,4.34,-4.34,-3.50,-2.35,7.53,7.53,7.53
22.09,11.86,11.87,4.33,4.34,-4.34,-3.50,-2.42,7.53,7.53,7.53
22.31,11.86,11.86,4.33,4.33,-4.33,-3.50,-2.49,7.53,7.53,7.53
22.54,11.86,11.86,4.33,4.33,-4.33,-3.50,-2.57,7.53,7.53,7.53
22.76,11.85,11.86,4.33,4.33,-4.33,-3.49,-2.64,7.52,7.53,7.53
22.99,11.85,11.85,4.33,4.32,-4.32,-3.49,-2.72,7.53,7.53,7.53
23.22,11.84,11.84,4.32,4.32,-4.32,-3.49,-2.79,7.53,7.53,7.52
23.45,11.83,11.83,4.31,4.31,-4.31,-3.49,-2.87,7.53,7.53,7.52
23.69,11.82,11.82,4.30,4.30,-4.30,-3.49,-2.96,7.52,7.52,7.52
23.92,11.81,11.81,4.29,4.29,-4.29,-3.49,-3.04,7.52,7.52,7.52
24.16,11.79,11.80,4.27,4.28,-4.28,-3.49,-3.12,7.51,7.52,7.52
24.40,11.78,11.78,4.26,4.26,-4.27,-3.49,-3.21,7.52,7.52,7.52
24.65,11.77,11.77,4.25,4.25,-4.26,-3.49,-3.29,7.52,7.52,7.52
24.89,11.76,11.76,4.25,4.25,-4.24,-3.49,-3.38,7.52,7.52,7.52
25.14,11.75,11.75,4.24,4.24,-4.23,-3.48,-3.47,7.52,7.52,7.52
25.39,11.74,11.74,4.23,4.22,-4.22,-3.48,-3.56,7.52,7.51,7.51
25.65,11.72,11.73,4.21,4.21,-4.21,-3.48,-3.65,7.51,7.51,7.51
25.91,11.71,11.71,4.20,4.20,-4.20,-3.48,-3.74,7.51,7.51,7.51
26.16,11.70,11.70,4.19,4.19,-4.19,-3.48,-3.83,7.51,7.51,7.51
26.43,11.69,11.69,4.18,4.18,-4.18,-3.48,-3.92,7.51,7.51,7.51
26.69,11.67,11.68,4.17,4.17,-4.17,-3.48,-4.00,7.50,7.51,7.51
26.96,11.66,11.66,4.16,4.16,-4.16,-3.48,-4.09,7.51,7.50,7.50
27.23,11.64,11.65,4.14,4.14,-4.14,-3.47,-4.17,7.50,7.50,7.50
27.50,11.63,11.63,4.13,4.13,-4.13,-3.47,-4.25,7.50,7.50,7.50
27.77,11.62,11.62,4.12,4.12,-4.12,-3.47,-4.33,7.50,7.50,7.50
28.05,11.60,11.61,4.11,4.11,-4.11,-3.47,-4.41,7.49,7.50,7.50
28.33,11.59,11.59,4.10,4.10,-4.09,-3.47,-4.48,7.50,7.50,7.49
28.62,11.57,11.58,4.08,4.08,-4.08,-3.47,-4.55,7.49,7.49,7.49
28.90,11.56,11.56,4.07,4.07,-4.07,-3.46,-4.61,7.49,7.49,7.49
29.19,11.54,11.54,4.05,4.05,-4.05,-3.46,-4.67,7.49,7.49,7.49
29.48,11.52,11.53,4.04,4.04,-4.04,-3.46,-4.72,7.48,7.49,7.49
29.78,11.51,11.51,4.03,4.03,-4.03,-3.46,-4.77,7.48,7.48,7.48
30.08,11.49,11.49,4.01,4.01,-4.01,-3.46,-4.80,7.48,7.48,7.48
30.38,11.47,11.48,4.00,4.00,-4.00,-3.45,-4.84,7.47,7.48,7.48
30.68,11.46,11.46,3.99,3.98,-3.98,-3.45,-4.86,7.48,7.48,7.47
30.99,11.44,11.44,3.97,3.97,-3.97,-3.45,-4.88,7.47,7.47,7.47
31.30,11.42,11.42,3.95,3.95,-3.95,-3.45,-4.89,7.47,7.47,7.47
31.61,11.40,11.40,3.94,3.94,-3.94,-3.45,-4.90,7.47,7.47,7.47
31.93,11.38,11.38,3.92,3.92,-3.92,-3.44,-4.89,7.46,7.46,7.46
32.24,11.36,11.36,3.90,3.90,-3.91,-3.44,-4.88,7.46,7.46,7.46
32.57,11.34,11.34,3.89,3.89,-3.89,-3.44,-4.86,7.45,7.45,7.46
32.89,11.32,11.32,3.87,3.87,-3.87,-3.43,-4.84,7.45,7.45,7.45
33.22,11.30,11.30,3.85,3.86,-3.85,-3.43,-4.81,7.45,7.45,7.45
33.55,11.28,11.28,3.84,3.84,-3.83,-3.43,-4.77,7.45,7.45,7.44
33.89,11.26,11.26,3.82,3.82,-3.81,-3.42,-4.73,7.45,7.44,7.44
34.23,11.23,11.23,3.80,3.80,-3.80,-3.42,-4.69,7.44,7.44,7.44
34.57,11.20,11.21,3.77,3.77,-3.78,-3.42,-4.63,7.43,7.43,7.43
34.92,11.18,11.18,3.76,3.75,-3.76,-3.41,-4.58,7.42,7.42,7.43
35.27,11.15,11.16,3.73,3.73,-3.74,-3.41,-4.52,7.41,7.42,7.42
35.62,11.13,11.14,3.72,3.72,-3.72,-3.41,-4.46,7.41,7.42,7.42
35.97,11.12,11.12,3.71,3.70,-3.70,-3.40,-4.39,7.42,7.41,7.41
36.33,11.09,11.10,3.69,3.69,-3.68,-3.40,-4.33,7.41,7.42,7.41
36.70,11.07,11.07,3.67,3.67,-3.66,-3.39,-4.26,7.41,7.41,7.40
37.06,11.04,11.04,3.65,3.64,-3.64,-3.39,-4.19,7.40,7.40,7.40
37.43,11.00,11.01,3.61,3.62,-3.62,-3.38,-4.12,7.38,7.39,7.39
37.81,10.97,10.98,3.59,3.59,-3.60,-3.38,-4.06,7.37,7.38,7.38
38.19,10.95,10.95,3.57,3.57,-3.58,-3.37,-3.99,7.38,7.37,7.38
38.57,10.92,10.93,3.55,3.55,-3.55,-3.37,-3.92,7.37,7.37,7.37
38.95,10.90,10.90,3.54,3.54,-3.53,-3.36,-3.85,7.37,7.37,7.36
39.34,10.87,10.87,3.51,3.51,-3.51,-3.36,-3.78,7.36,7.36,7.36
39.74,10.84,10.84,3.49,3.49,-3.49,-3.35,-3.72,7.35,7.35,7.35
40.14,10.81,10.81,3.47,3.47,-3.47,-3.34,-3.65,7.34,7.34,7.34
40.54,10.78,10.78,3.45,3.45,-3.45,-3.34,-3.59,7.33,7.33,7.33
