frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.85,11.85,4.49,4.48,-4.49,-4.48,-1.79,7.37,7.37,7.37
20.20,11.84,11.85,4.48,4.48,-4.48,-4.47,-1.85,7.36,7.37,7.37
20.40,11.84,11.84,4.48,4.47,-4.47,-4.47,-1.90,7.37,7.37,7.37
20.61,11.83,11.83,4.47,4.47,-4.47,-4.46,-1.96,7.37,7.37,7.37
20.81,11.82,11.83,4.46,4.46,-4.46,-4.45,-2.01,7.36,7.37,7.36
21.02,11.82,11.82,4.46,4.46,-4.45,-4.44,-2.07,7.37,7.37,7.36
21.23,11.81,11.81,4.45,4.45,-4.45,-4.44,-2.13,7.37,7.37,7.36
21.44,11.80,11.80,4.44,4.44,-4.44,-4.43,-2.20,7.36,7.36,7.36
21.66,11.79,11.79,4.43,4.43,-4.43,-4.42,-2.26,7.36,7.36,7.36
21.87,11.78,11.78,4.42,4.42,-4.42,-4.41,-2.33,7.36,7.36,7.36
22.09,11.77,11.77,4.41,4.41,-4.41,-4.40,-2.40,7.36,7.36,7.36
22.31,11.76,11.76,4.40,4.40,-4.41,-4.39,-2.47,7.36,7.36,7.36
22.54,11.75,11.76,4.39,4.40,-4.40,-4.38,-2.54,7.35,7.36,7.36
22.76,11.75,11.75,4.39,4.39,-4.39,-4.38,-2.61,7.36,7.36,7.36
22.99,11.74,11.74,4.39,4.39,-4.38,-4.37,-2.69,7.36,7.36,7.36
23.22,11.73,11.73,4.38,4.38,-4.37,-4.36,-2.77,7.36,7.36,7.36
23.45,11.72,11.72,4.37,4.36,-4.36,-4.35,-2.84,7.36,7.35,7.35
23.69,11.70,11.71,4.35,4.35,-4.35,-4.34,-2.92,7.35,7.35,7.35
23.92,11.69,11.69,4.34,4.34,-4.34,-4.33,-3.01,7.35,7.35,7.35
24.16,11.68,11.68,4.33,4.33,-4.33,-4.32,-3.09,7.35,7.35,7.35
24.40,11.67,11.67,4.32,4.32,-4.32,-4.31,-3.17,7.35,7.35,7.35
24.65,11.65,11.65,4.30,4.31,-4.31,-4.29,-3.26,7.35,7.35,7.35
24.89,11.64,11.64,4.29,4.29,-4.29,-4.28,-3.35,7.35,7.35,7.35
25.14,11.62,11.62,4.28,4.28,-4.28,-4.27,-3.44,7.34,7.34,7.35
25.39,11.61,11.61,4.27,4.27,-4.27,-4.26,-3.52,7.35,7.34,7.34
25.65,11.59,11.59,4.25,4.25,-4.25,-4.25,-3.61,7.34,7.34,7.34
25.91,11.58,11.58,4.24,4.24,-4.24,-4.24,-3.70,7.34,7.34,7.34
26.16,11.56,11.56,4.22,4.22,-4.23,-4.22,-3.79,7.34,7.34,7.34
26.43,11.55,11.55,4.21,4.21,-4.21,-4.21,-3.88,7.34,7.34,7.34
26.69,11.53,11.54,4.20,4.20,-4.20,-4.20,-3.96,7.33,7.34,7.34
26.96,11.52,11.52,4.19,4.19,-4.18,-4.19,-4.05,7.34,7.34,7.33
27.23,11.50,11.50,4.17,4.17,-4.17,-4.17,-4.13,7.33,7.33,7.33
27.50,11.48,11.48,4.15,4.15,-4.15,-4.16,-4.21,7.33,7.33,7.33
27.77,11.46,11.47,4.13,4.14,-4.14,-4.14,-4.29,7.32,7.33,7.33
28.05,11.45,11.45,4.13,4.12,-4.12,-4.13,-4.36,7.33,7.33,7.33
28.33,11.43,11.43,4.11,4.11,-4.11,-4.12,-4.43,7.33,7.33,7.33
28.62,11.41,11.41,4.09,4.09,-4.09,-4.10,-4.50,7.32,7.32,7.32
28.90,11.39,11.39,4.07,4.07,-4.07,-4.09,-4.56,7.32,7.32,7.32
29.19,11.37,11.37,4.05,4.05,-4.06,-4.07,-4.62,7.32,7.32,7.32
29.48,11.35,11.35,4.04,4.04,-4.04,-4.05,-4.67,7.31,7.31,7.32
29.78,11.33,11.33,4.02,4.02,-4.02,-4.04,-4.71,7.31,7.31,7.31
30.08,11.31,11.31,4.00,4.00,-4.00,-4.02,-4.75,7.31,7.31,7.31
30.38,11.29,11.29,3.98,3.98,-3.98,-4.00,-4.78,7.31,7.31,7.31
30.68,11.27,11.27,3.97,3.96,-3.96,-3.99,-4.80,7.31,7.31,7.31
30.99,11.24,11.25,3.94,3.94,-3.94,-3.97,-4.82,7.30,7.30,7.30
31.30,11.22,11.22,3.92,3.92,-3.92,-3.95,-4.83,7.30,7.30,7.30
31.61,11.20,11.20,3.91,3.90,-3.90,-3.93,-4.83,7.30,7.29,7.30
31.93,11.17,11.18,3.88,3.88,-3.88,-3.92,-4.83,7.29,7.29,7.29
32.24,11.15,11.15,3.86,3.86,-3.87,-3.90,-4.82,7.29,7.29,7.29
32.57,11.13,11.13,3.85,3.84,-3.85,-3.88,-4.80,7.29,7.29,7.29
32.89,11.11,11.11,3.83,3.83,-3.83,-3.86,-4.77,7.29,7.28,7.28
33.22,11.08,11.08,3.80,3.81,-3.81,-3.84,-4.74,7.28,7.28,7.28
33.55,11.06,11.06,3.79,3.79,-3.78,-3.82,-4.70,7.28,7.28,7.27
33.89,11.03,11.04,3.76,3.76,-3.76,-3.80,-4.66,7.27,7.27,7.27
34.23,11.01,11.01,3.75,3.74,-3.74,-3.77,-4.61,7.27,7.27,7.27
34.57,10.98,10.98,3.72,3.72,-3.72,-3.75,-4.55,7.26,7.26,7.26
34.92,10.95,10.95,3.70,3.70,-3.70,-3.73,-4.50,7.25,7.26,7.26
35.27,10.92,10.93,3.67,3.67,-3.67,-3.71,-4.44,7.25,7.25,7.25
35.62,10.90,10.90,3.65,3.65,-3.65,-3.69,-4.37,7.25,7.25,7.25
35.97,10.87,10.87,3.63,3.63,-3.63,-3.66,-4.31,7.24,7.24,7.24
36.33,10.84,10.84,3.60,3.61,-3.60,-3.64,-4.24,7.24,7.24,7.24
36.70,10.81,10.81,3.58,3.58,-3.58,-3.62,-4.17,7.23,7.23,7.23
37.06,10.78,10.78,3.56,3.56,-3.56,-3.59,-4.10,7.22,7.22,7.23
37.43,10.75,10.75,3.53,3.53,-3.53,-3.57,-4.02,7.22,7.22,7.22
37.81,10.72,10.72,3.51,3.51,-3.51,-3.54,-3.95,7.21,7.22,7.21
38.19,10.69,10.69,3.48,3.48,-3.48,-3.52,-3.88,7.21,7.21,7.21
38.57,10.66,10.66,3.46,3.46,-3.46,-3.49,-3.81,7.21,7.20,7.20
38.95,10.62,10.63,3.43,3.43,-3.43,-3.46,-3.74,7.19,7.19,7.19
39.34,10.59,10.59,3.40,3.40,-3.41,-3.44,-3.67,7.19,7.19,7.19
39.74,10.56,10.56,3.38,3.38,-3.38,-3.41,-3.60,7.18,7.18,7.18
40.14,10.52,10.53,3.35,3.35,-3.35,-3.38,-3.53,7.17,7.17,7.17
40.54,10.49,10.49,3.33,3.33,-3.33,-3.35,-3.47,7.16,7.16,7.16
40.94,10.46,10.46,3.31,3.30,-3.30,-3.33,-3.40,7.16,7.16,7.16
41.35,10.42,10.43,3.27,3.28,-3.28,-3.30,-3.34,7.15,7.15,7.15
41.76,10.39,10.39,3.25,3.25,-3.25,-3.27,-3.28,7.14,7.14,7.14
42.18,10.35,10.35,3.22,3.22,-3.22,-3.24,-3.22,7.13,7.13,7.13
42.60,10.31,10.32,3.19,3.20,-3.19,-3.21,-3.16,7.12,7.12,7.12
43.03,10.28,10.28,3.17,3.17,-3.17,-3.18,-3.11,7.12,7.11,7.11
43.46,10.24,10.24,3.14,3.14,-3.14,-3.15,-3.06,7.10,7.10,7.10
43.90,10.20,10.20,3.11,3.11,-3.11,-3.12,-3.01,7.09,7.09,7.09
44.33,10.16,10.16,3.08,3.08,-3.09,-3.09,-2.96,7.08,7.08,7.08
44.78,10.12,10.13,3.05,3.06,-3.06,-3.06,-2.92,7.06,7.07,7.07
45.23,10.09,10.09,3.04,3.03,-3.03,-3.03,-2.87,7.06,7.06,7.06
45.68,10.05,10.05,3.01,3.01,-3.01,-3.00,-2.83,7.05,7.05,7.05
46.13,10.01,10.01,2.98,2.98,-2.98,-2.97,-2.80,7.03,7.03,7.03
46.60,9.97,9.97,2.95,2.95,-2.95,-2.94,-2.76,7.02,7.02,7.02
47.06,9.93,9.93,2.93,2.93,-2.92,-2.90,-2.73,7.01,7.01,7.01
47.53,9.89,9.89,2.90,2.90,-2.90,-2.87,-2.70,7.00,6.99,6.99
48.01,9.84,9.85,2.86,2.87,-2.87,-2.84,-2.67,6.98,6.98,6.98
48.49,9.80,9.80,2.84,2.84,-2.84,-2.81,-2.64,6.96,6.96,6.96
48.97,9.75,9.75,2.80,2.81,-2.81,-2.78,-2.61,6.94,6.94,6.95
49.46,9.71,9.71,2.78,2.78,-2.78,-2.75,-2.59,6.93,6.93,6.93
49.96,9.66,9.66,2.75,2.75,-2.75,-2.72,-2.57,6.91,6.91,6.92
50.46,9.62,9.62,2.72,2.72,-2.72,-2.68,-2.55,6.90,6.90,6.90
50.96,9.57,9.57,2.69,2.69,-2.69,-2.65,-2.53,6.88,6.89,6.88
51.47,9.53,9.53,2.67,2.66,-2.66,-2.62,-2.51,6.87,6.87,6.86
51.99,9.47,9.47,2.63,2.63,-2.63,-2.59,-2.49,6.84,6.85,6.84
52.51,9.42,9.42,2.60,2.59,-2.60,-2.56,-2.48,6.82,6.82,6.83
53.03,9.36,9.37,2.56,2.56,-2.57,-2.53,-2.47,6.79,6.80,6.81
53.56,9.32,9.32,2.54,2.54,-2.54,-2.50,-2.45,6.78,6.78,6.78
54.10,9.28,9.28,2.52,2.52,-2.52,-2.47,-2.44,6.77,6.77,6.76
54.64,9.24,9.24,2.50,2.50,-2.49,-2.44,-2.43,6.75,6.75,6.74
55.18,9.19,9.19,2.47,2.47,-2.46,-2.41,-2.42,6.73,6.73,6.72
55.74,9.13,9.14,2.44,2.44,-2.44,-2.39,-2.41,6.69,6.70,6.70
56.29,9.08,9.08,2.41,2.41,-2.42,-2.36,-2.40,6.67,6.67,6.67
56.86,9.03,9.03,2.39,2.38,-2.39,-2.33,-2.39,6.64,6.64,6.65
57.42,8.98,8.98,2.36,2.36,-2.36,-2.30,-2.38,6.62,6.62,6.62
58.00,8.93,8.93,2.34,2.34,-2.34,-2.28,-2.36,6.60,6.60,6.59
58.58,8.88,8.88,2.31,2.32,-2.31,-2.25,-2.35,6.57,6.57,6.57
59.16,8.83,8.83,2.29,2.29,-2.28,-2.23,-2.34,6.55,6.54,6.54
59.76,8.77,8.77,2.26,2.26,-2.26,-2.20,-2.33,6.51,6.51,6.51
60.35,8.71,8.71,2.23,2.23,-2.24,-2.18,-2.32,6.48,6.48,6.48
60.96,8.65,8.66,2.20,2.21,-2.21,-2.16,-2.30,6.44,6.45,6.45
61.57,8.60,8.60,2.18,2.18,-2.19,-2.14,-2.29,6.42,6.42,6.42
62.18,8.55,8.55,2.17,2.16,-2.16,-2.12,-2.27,6.39,6.39,6.39
62.80,8.49,8.49,2.14,2.14,-2.14,-2.09,-2.25,6.35,6.35,6.35
63.43,8.43,8.44,2.11,2.12,-2.12,-2.07,-2.24,6.32,6.32,6.32
64.07,8.38,8.38,2.10,2.10,-2.09,-2.06,-2.22,6.29,6.28,6.28
64.71,8.32,8.32,2.08,2.07,-2.07,-2.04,-2.20,6.25,6.25,6.25
65.35,8.26,8.26,2.05,2.05,-2.05,-2.02,-2.18,6.21,6.21,6.21
66.01,8.20,8.20,2.03,2.03,-2.03,-2.00,-2.16,6.17,6.17,6.17
66.67,8.14,8.14,2.01,2.01,-2.01,-1.99,-2.13,6.13,6.13,6.13
67.33,8.08,8.08,1.99,1.99,-1.99,-1.97,-2.11,6.09,6.09,6.09
68.01,8.02,8.02,1.97,1.97,-1.97,-1.96,-2.09,6.05,6.05,6.05
68.69,7.96,7.96,1.95,1.95,-1.95,-1.94,-2.06,6.01,6.01,6.01
69.37,7.90,7.90,1.93,1.93,-1.93,-1.93,-2.04,5.97,5.97,5.97
70.07,7.83,7.84,1.91,1.91,-1.91,-1.92,-2.01,5.92,5.92,5.92
70.77,7.77,7.77,1.89,1.89,-1.90,-1.91,-1.98,5.88,5.88,5.88
71.48,7.71,7.71,1.88,1.88,-1.88,-1.89,-1.96,5.84,5.83,5.83
72.19,7.64,7.64,1.86,1.86,-1.86,-1.88,-1.93,5.78,5.78,5.78
72.91,7.58,7.58,1.85,1.84,-1.84,-1.87,-1.91,5.74,5.74,5.74
73.64,7.51,7.51,1.82,1.83,-1.83,-1.86,-1.88,5.68,5.69,5.69
74.38,7.45,7.45,1.82,1.81,-1.81,-1.85,-1.86,5.64,5.64,5.64
75.12,7.38,7.38,1.80,1.80,-1.80,-1.84,-1.83,5.59,5.59,5.59
75.87,7.31,7.32,1.78,1.78,-1.78,-1.83,-1.81,5.53,5.53,5.53
76.63,7.25,7.25,1.77,1.77,-1.77,-1.83,-1.78,5.48,5.48,5.48
77.40,7.18,7.18,1.76,1.75,-1.76,-1.82,-1.76,5.43,5.42,5.43
78.17,7.11,7.11,1.74,1.74,-1.74,-1.81,-1.74,5.37,5.37,5.37
78.95,7.04,7.05,1.73,1.73,-1.73,-1.80,-1.71,5.31,5.31,5.31
79.74,6.98,6.98,1.73,1.72,-1.72,-1.79,-1.69,5.26,5.26,5.26
80.54,6.91,6.91,1.71,1.71,-1.71,-1.79,-1.67,5.20,5.20,5.20
81.35,6.84,6.84,1.70,1.70,-1.70,-1.78,-1.65,5.14,5.14,5.14
82.16,6.77,6.77,1.69,1.69,-1.69,-1.77,-1.64,5.08,5.08,5.08
82.98,6.70,6.70,1.68,1.68,-1.68,-1.76,-1.62,5.02,5.02,5.02
83.81,6.63,6.63,1.68,1.67,-1.67,-1.76,-1.60,4.96,4.96,4.96
84.65,6.55,6.56,1.66,1.66,-1.66,-1.75,-1.59,4.89,4.89,4.89
85.50,6.48,6.48,1.65,1.65,-1.66,-1.74,-1.58,4.83,4.83,4.83
86.35,6.41,6.41,1.65,1.65,-1.65,-1.73,-1.56,4.76,4.76,4.77
