frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.30,11.30,3.87,3.87,-3.87,-2.97,-1.58,7.43,7.43,7.43
20.20,11.30,11.30,3.87,3.87,-3.87,-2.97,-1.63,7.43,7.43,7.43
20.40,11.29,11.30,3.86,3.86,-3.86,-2.97,-1.68,7.43,7.43,7.43
20.61,11.29,11.29,3.86,3.86,-3.86,-2.97,-1.73,7.43,7.43,7.43
20.81,11.28,11.28,3.85,3.85,-3.86,-2.97,-1.78,7.43,7.43,7.43
21.02,11.28,11.28,3.85,3.85,-3.85,-2.97,-1.83,7.43,7.43,7.43
21.23,11.27,11.27,3.84,3.85,-3.85,-2.97,-1.89,7.42,7.43,7.43
21.44,11.27,11.27,3.84,3.84,-3.84,-2.97,-1.94,7.43,7.43,7.43
21.66,11.26,11.26,3.84,3.84,-3.84,-2.97,-2.00,7.42,7.43,7.43
21.87,11.26,11.26,3.84,3.83,-3.83,-2.97,-2.06,7.43,7.43,7.43
22.09,11.25,11.26,3.83,3.83,-3.83,-2.97,-2.12,7.42,7.43,7.42
22.31,11.25,11.25,3.83,3.83,-3.82,-2.97,-2.18,7.43,7.43,7.42
22.54,11.24,11.24,3.82,3.82,-3.82,-2.97,-2.25,7.42,7.42,7.42
22.76,11.23,11.23,3.81,3.81,-3.81,-2.97,-2.31,7.42,7.42,7.42
22.99,11.22,11.23,3.80,3.80,-3.81,-2.97,-2.38,7.42,7.42,7.42
23.22,11.22,11.22,3.80,3.80,-3.80,-2.97,-2.45,7.42,7.42,7.42
23.45,11.21,11.21,3.79,3.79,-3.79,-2.97,-2.52,7.42,7.42,7.42
23.69,11.20,11.20,3.78,3.79,-3.78,-2.97,-2.59,7.42,7.42,7.42
23.92,11.19,11.19,3.78,3.78,-3.78,-2.97,-2.66,7.42,7.42,7.42
24.16,11.18,11.18,3.77,3.77,-3.77,-2.96,-2.74,7.41,7.41,7.42
24.40,11.17,11.17,3.76,3.76,-3.76,-2.96,-2.81,7.41,7.41,7.41
24.65,11.16,11.16,3.75,3.75,-3.75,-2.96,-2.89,7.41,7.41,7.41
24.89,11.15,11.15,3.74,3.74,-3.74,-2.96,-2.96,7.41,7.41,7.41
25.14,11.14,11.14,3.73,3.73,-3.73,-2.96,-3.04,7.41,7.41,7.41
25.39,11.13,11.13,3.72,3.72,-3.72,-2.96,-3.12,7.41,7.41,7.41
25.65,11.11,11.12,3.70,3.71,-3.71,-2.96,-3.20,7.41,7.41,7.41
25.91,11.10,11.10,3.70,3.69,-3.70,-2.96,-3.28,7.41,7.40,7.41
26.16,11.08,11.08,3.68,3.68,-3.68,-2.96,-3.35,7.40,7.40,7.40
26.43,11.07,11.07,3.67,3.67,-3.67,-2.96,-3.43,7.40,7.40,7.40
26.69,11.06,11.06,3.66,3.66,-3.66,-2.96,-3.51,7.40,7.40,7.40
26.96,11.05,11.05,3.65,3.65,-3.65,-2.96,-3.58,7.40,7.40,7.40
27.23,11.04,11.04,3.64,3.64,-3.64,-2.95,-3.66,7.40,7.40,7.40
27.50,11.02,11.03,3.63,3.63,-3.63,-2.95,-3.73,7.40,7.40,7.40
27.77,11.01,11.01,3.62,3.61,-3.61,-2.95,-3.80,7.40,7.39,7.39
28.05,10.99,10.99,3.60,3.60,-3.60,-2.95,-3.86,7.39,7.39,7.39
28.33,10.97,10.98,3.58,3.59,-3.59,-2.95,-3.92,7.39,7.39,7.39
28.62,10.96,10.96,3.57,3.57,-3.57,-2.95,-3.98,7.39,7.39,7.39
28.90,10.94,10.94,3.56,3.56,-3.56,-2.95,-4.04,7.39,7.38,7.39
29.19,10.92,10.92,3.54,3.54,-3.54,-2.95,-4.09,7.38,7.38,7.38
29.48,10.90,10.91,3.52,3.52,-3.53,-2.94,-4.13,7.38,7.38,7.38
29.78,10.89,10.89,3.51,3.51,-3.51,-2.94,-4.17,7.38,7.38,7.38
30.08,10.87,10.87,3.50,3.50,-3.50,-2.94,-4.20,7.38,7.37,7.38
30.38,10.85,10.85,3.48,3.48,-3.48,-2.94,-4.23,7.37,7.37,7.37
30.68,10.83,10.84,3.46,3.47,-3.47,-2.94,-4.25,7.37,7.37,7.37
30.99,10.82,10.82,3.46,3.45,-3.45,-2.94,-4.27,7.37,7.37,7.37
31.30,10.80,10.80,3.44,3.44,-3.44,-2.93,-4.27,7.37,7.37,7.36
31.61,10.78,10.78,3.42,3.42,-3.42,-2.93,-4.28,7.36,7.36,7.36
31.93,10.76,10.76,3.40,3.40,-3.41,-2.93,-4.27,7.36,7.36,7.36
32.24,10.74,10.74,3.39,3.39,-3.39,-2.93,-4.26,7.35,7.35,7.35
32.57,10.72,10.72,3.37,3.37,-3.37,-2.93,-4.24,7.35,7.35,7.35
32.89,10.70,10.70,3.35,3.35,-3.36,-2.92,-4.22,7.35,7.35,7.35
