frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.35,9.35,6.14,6.14,-6.14,-5.56,-2.55,3.21,3.22,3.21
20.20,9.35,9.35,6.11,6.10,-6.10,-5.56,-2.63,3.25,3.25,3.24
20.40,9.34,9.34,6.07,6.07,-6.06,-5.56,-2.70,3.27,3.27,3.27
20.61,9.33,9.33,6.04,6.03,-6.03,-5.56,-2.78,3.30,3.30,3.29
20.81,9.32,9.32,6.00,6.00,-6.00,-5.56,-2.86,3.32,3.32,3.32
21.02,9.31,9.31,5.96,5.96,-5.97,-5.56,-2.94,3.34,3.34,3.35
21.23,9.30,9.30,5.94,5.94,-5.95,-5.56,-3.02,3.35,3.35,3.36
21.44,9.29,9.29,5.92,5.92,-5.92,-5.56,-3.11,3.37,3.37,3.37
21.66,9.28,9.28,5.90,5.90,-5.90,-5.56,-3.20,3.38,3.38,3.38
21.87,9.27,9.27,5.89,5.89,-5.88,-5.56,-3.29,3.39,3.39,3.38
22.09,9.26,9.26,5.87,5.87,-5.87,-5.56,-3.38,3.39,3.39,3.39
22.31,9.24,9.24,5.85,5.85,-5.85,-5.56,-3.48,3.39,3.39,3.39
22.54,9.22,9.22,5.83,5.83,-5.83,-5.56,-3.58,3.38,3.39,3.39
22.76,9.20,9.20,5.81,5.82,-5.82,-5.56,-3.68,3.38,3.38,3.39
22.99,9.18,9.18,5.80,5.80,-5.80,-5.56,-3.79,3.38,3.38,3.38
23.22,9.16,9.16,5.78,5.78,-5.78,-5.56,-3.89,3.38,3.38,3.37
23.45,9.14,9.14,5.77,5.77,-5.76,-5.56,-4.00,3.38,3.38,3.37
23.69,9.12,9.12,5.75,5.75,-5.74,-5.56,-4.11,3.38,3.38,3.37
23.92,9.10,9.10,5.73,5.72,-5.72,-5.56,-4.23,3.37,3.37,3.37
24.16,9.08,9.08,5.70,5.70,-5.71,-5.56,-4.34,3.37,3.37,3.38
24.40,9.06,9.06,5.68,5.68,-5.69,-5.56,-4.46,3.37,3.37,3.38
24.65,9.04,9.04,5.67,5.67,-5.67,-5.56,-4.58,3.37,3.37,3.37
24.89,9.02,9.02,5.65,5.65,-5.65,-5.55,-4.70,3.37,3.37,3.37
25.14,9.00,9.00,5.63,5.63,-5.63,-5.55,-4.82,3.37,3.37,3.37
25.39,8.98,8.98,5.61,5.61,-5.61,-5.55,-4.94,3.37,3.37,3.37
25.65,8.95,8.95,5.58,5.59,-5.59,-5.55,-5.07,3.36,3.36,3.37
25.91,8.93,8.93,5.57,5.57,-5.57,-5.55,-5.19,3.36,3.36,3.35
26.16,8.90,8.90,5.55,5.55,-5.55,-5.55,-5.32,3.35,3.35,3.35
26.43,8.88,8.88,5.53,5.53,-5.53,-5.55,-5.44,3.35,3.35,3.35
