frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.10,6.10,2.40,2.40,-2.41,-1.92,-1.02,3.69,3.69,3.70
20.20,6.10,6.10,2.37,2.37,-2.37,-1.92,-1.05,3.73,3.73,3.73
20.40,6.10,6.10,2.34,2.35,-2.34,-1.92,-1.09,3.76,3.76,3.76
20.61,6.10,6.10,2.33,2.32,-2.31,-1.92,-1.12,3.79,3.79,3.78
20.81,6.09,6.09,2.29,2.29,-2.28,-1.92,-1.15,3.81,3.81,3.81
21.02,6.08,6.09,2.25,2.26,-2.26,-1.92,-1.19,3.82,3.83,3.84
21.23,6.08,6.08,2.24,2.23,-2.24,-1.92,-1.22,3.84,3.84,3.85
21.44,6.07,6.08,2.22,2.22,-2.22,-1.92,-1.26,3.85,3.85,3.86
21.66,6.07,6.07,2.21,2.21,-2.21,-1.92,-1.29,3.86,3.86,3.87
21.87,6.07,6.07,2.21,2.20,-2.20,-1.92,-1.33,3.87,3.87,3.86
22.09,6.07,6.07,2.20,2.20,-2.20,-1.92,-1.37,3.87,3.87,3.87
22.31,6.07,6.07,2.20,2.20,-2.20,-1.92,-1.41,3.87,3.87,3.87
22.54,6.07,6.08,2.20,2.20,-2.21,-1.92,-1.45,3.87,3.87,3.87
22.76,6.08,6.08,2.21,2.21,-2.21,-1.92,-1.50,3.87,3.87,3.87
22.99,6.08,6.08,2.22,2.22,-2.22,-1.92,-1.54,3.87,3.87,3.86
23.22,6.08,6.08,2.22,2.22,-2.22,-1.92,-1.59,3.86,3.87,3.86
23.45,6.08,6.09,2.22,2.23,-2.22,-1.92,-1.63,3.86,3.86,3.86
23.69,6.09,6.09,2.23,2.23,-2.23,-1.92,-1.68,3.87,3.86,3.86
23.92,6.09,6.09,2.23,2.23,-2.23,-1.92,-1.73,3.87,3.86,3.86
24.16,6.08,6.09,2.22,2.22,-2.23,-1.92,-1.77,3.86,3.86,3.87
24.40,6.08,6.08,2.22,2.22,-2.22,-1.92,-1.82,3.86,3.86,3.87
24.65,6.08,6.08,2.23,2.22,-2.22,-1.92,-1.87,3.86,3.86,3.86
24.89,6.07,6.08,2.22,2.22,-2.22,-1.92,-1.92,3.85,3.86,3.85
25.14,6.07,6.07,2.22,2.22,-2.22,-1.92,-1.97,3.86,3.85,3.85
25.39,6.06,6.07,2.21,2.21,-2.21,-1.92,-2.02,3.85,3.85,3.85
25.65,6.06,6.06,2.21,2.21,-2.21,-1.92,-2.07,3.85,3.85,3.85
25.91,6.05,6.05,2.21,2.21,-2.21,-1.92,-2.12,3.85,3.85,3.84
26.16,6.04,6.05,2.20,2.21,-2.20,-1.92,-2.17,3.84,3.84,3.84
26.43,6.04,6.04,2.20,2.20,-2.20,-1.92,-2.22,3.84,3.84,3.84
26.69,6.03,6.04,2.20,2.20,-2.20,-1.92,-2.27,3.83,3.84,3.84
26.96,6.03,6.03,2.20,2.20,-2.20,-1.92,-2.32,3.83,3.83,3.84
27.23,6.03,6.03,2.20,2.20,-2.20,-1.92,-2.37,3.84,3.83,3.83
27.50,6.02,6.03,2.19,2.19,-2.20,-1.92,-2.41,3.83,3.83,3.83
27.77,6.02,6.02,2.20,2.20,-2.20,-1.92,-2.46,3.83,3.83,3.82
28.05,6.01,6.02,2.19,2.20,-2.19,-1.92,-2.50,3.82,3.82,3.82
28.33,6.01,6.01,2.20,2.20,-2.19,-1.92,-2.54,3.82,3.82,3.81
28.62,6.00,6.00,2.20,2.19,-2.19,-1.92,-2.58,3.81,3.81,3.81
28.90,5.99,5.99,2.19,2.19,-2.19,-1.92,-2.61,3.80,3.80,3.81
29.19,5.98,5.99,2.19,2.18,-2.19,-1.92,-2.64,3.79,3.80,3.79
29.48,5.98,5.98,2.18,2.18,-2.19,-1.92,-2.67,3.80,3.79,3.80
29.78,5.97,5.98,2.18,2.18,-2.18,-1.92,-2.69,3.79,3.79,3.79
30.08,5.97,5.97,2.18,2.18,-2.18,-1.92,-2.71,3.79,3.79,3.79
30.38,5.96,5.96,2.19,2.18,-2.18,-1.92,-2.73,3.78,3.78,3.78
30.68,5.95,5.95,2.18,2.18,-2.18,-1.92,-2.74,3.77,3.78,3.78
30.99,5.94,5.94,2.18,2.18,-2.18,-1.92,-2.76,3.77,3.77,3.76
31.30,5.93,5.93,2.17,2.17,-2.17,-1.92,-2.76,3.76,3.76,3.76
31.61,5.92,5.92,2.16,2.17,-2.17,-1.92,-2.76,3.75,3.75,3.76
31.93,5.91,5.91,2.17,2.17,-2.17,-1.92,-2.76,3.75,3.75,3.75
32.24,5.90,5.90,2.17,2.17,-2.16,-1.92,-2.75,3.74,3.74,3.73
32.57,5.89,5.89,2.16,2.16,-2.16,-1.92,-2.74,3.73,3.73,3.73
32.89,5.88,5.88,2.15,2.15,-2.15,-1.92,-2.73,3.73,3.73,3.73
33.22,5.86,5.87,2.15,2.15,-2.15,-1.92,-2.71,3.71,3.72,3.72
33.55,5.85,5.85,2.14,2.14,-2.14,-1.92,-2.69,3.71,3.71,3.71
33.89,5.84,5.84,2.14,2.14,-2.14,-1.92,-2.66,3.70,3.70,3.70
34.23,5.83,5.83,2.14,2.14,-2.14,-1.92,-2.63,3.70,3.69,3.70
34.57,5.81,5.82,2.13,2.13,-2.13,-1.92,-2.60,3.68,3.69,3.68
34.92,5.80,5.80,2.13,2.13,-2.13,-1.92,-2.57,3.67,3.67,3.67
35.27,5.79,5.79,2.13,2.13,-2.13,-1.92,-2.54,3.67,3.66,3.67
35.62,5.77,5.78,2.12,2.12,-2.12,-1.92,-2.50,3.65,3.65,3.65
35.97,5.76,5.76,2.12,2.12,-2.12,-1.92,-2.46,3.64,3.64,3.64
36.33,5.75,5.75,2.12,2.12,-2.12,-1.92,-2.42,3.63,3.63,3.64
36.70,5.74,5.74,2.12,2.12,-2.12,-1.92,-2.38,3.63,3.63,3.62
37.06,5.72,5.73,2.11,2.11,-2.11,-1.92,-2.34,3.61,3.61,3.61
37.43,5.71,5.71,2.11,2.11,-2.11,-1.92,-2.30,3.60,3.60,3.60
37.81,5.69,5.69,2.10,2.10,-2.10,-1.92,-2.26,3.59,3.59,3.59
38.19,5.67,5.68,2.10,2.10,-2.10,-1.92,-2.22,3.57,3.58,3.58
38.57,5.66,5.66,2.09,2.09,-2.09,-1.92,-2.18,3.57,3.57,3.57
38.95,5.64,5.64,2.09,2.09,-2.09,-1.92,-2.13,3.56,3.56,3.56
39.34,5.62,5.62,2.08,2.08,-2.08,-1.91,-2.09,3.54,3.54,3.54
39.74,5.60,5.60,2.08,2.07,-2.07,-1.91,-2.05,3.53,3.53,3.53
40.14,5.58,5.58,2.06,2.07,-2.06,-1.91,-2.01,3.52,3.52,3.52
40.54,5.56,5.56,2.06,2.06,-2.06,-1.91,-1.97,3.51,3.51,3.50
40.94,5.54,5.54,2.04,2.05,-2.05,-1.91,-1.94,3.50,3.50,3.50
41.35,5.52,5.52,2.04,2.04,-2.04,-1.91,-1.90,3.49,3.49,3.48
41.76,5.50,5.50,2.03,2.03,-2.03,-1.91,-1.86,3.48,3.48,3.48
42.18,5.48,5.48,2.01,2.02,-2.02,-1.91,-1.83,3.47,3.47,3.47
42.60,5.46,5.46,2.01,2.00,-2.01,-1.90,-1.79,3.46,3.45,3.45
43.03,5.44,5.44,2.00,2.00,-2.00,-1.90,-1.76,3.44,3.44,3.45
43.46,5.41,5.42,1.98,1.99,-1.99,-1.90,-1.73,3.42,3.42,3.43
43.90,5.39,5.39,1.99,1.98,-1.99,-1.90,-1.70,3.41,3.41,3.40
44.33,5.36,5.36,1.98,1.98,-1.98,-1.90,-1.67,3.38,3.38,3.38
44.78,5.34,5.34,1.98,1.98,-1.97,-1.89,-1.64,3.37,3.37,3.37
45.23,5.31,5.31,1.97,1.97,-1.97,-1.89,-1.62,3.35,3.35,3.35
45.68,5.29,5.29,1.96,1.96,-1.96,-1.89,-1.59,3.34,3.33,3.33
46.13,5.26,5.27,1.95,1.95,-1.95,-1.89,-1.57,3.31,3.32,3.31
46.60,5.24,5.24,1.94,1.94,-1.94,-1.88,-1.55,3.30,3.30,3.30
47.06,5.21,5.21,1.93,1.93,-1.93,-1.88,-1.52,3.28,3.28,3.28
47.53,5.18,5.18,1.92,1.92,-1.92,-1.88,-1.50,3.26,3.26,3.26
48.01,5.15,5.15,1.90,1.91,-1.92,-1.87,-1.48,3.23,3.24,3.25
48.49,5.12,5.13,1.90,1.90,-1.91,-1.87,-1.47,3.21,3.21,3.22
48.97,5.10,5.10,1.91,1.91,-1.91,-1.86,-1.45,3.19,3.19,3.19
49.46,5.07,5.07,1.91,1.92,-1.91,-1.86,-1.44,3.16,3.16,3.16
49.96,5.05,5.05,1.93,1.92,-1.91,-1.86,-1.42,3.14,3.14,3.13
50.46,5.02,5.03,1.91,1.92,-1.91,-1.85,-1.41,3.11,3.11,3.11
50.96,5.00,5.00,1.91,1.92,-1.91,-1.85,-1.40,3.09,3.09,3.09
51.47,4.97,4.97,1.91,1.91,-1.91,-1.84,-1.39,3.06,3.06,3.06
51.99,4.94,4.94,1.91,1.91,-1.91,-1.83,-1.38,3.04,3.04,3.03
52.51,4.91,4.92,1.89,1.90,-1.90,-1.83,-1.37,3.01,3.02,3.02
53.03,4.89,4.89,1.90,1.89,-1.90,-1.82,-1.36,3.00,2.99,3.00
53.56,4.86,4.86,1.89,1.89,-1.89,-1.81,-1.35,2.97,2.97,2.97
54.10,4.82,4.83,1.88,1.88,-1.88,-1.80,-1.35,2.94,2.95,2.95
54.64,4.79,4.79,1.87,1.87,-1.87,-1.80,-1.34,2.92,2.92,2.92
55.18,4.76,4.76,1.87,1.87,-1.86,-1.79,-1.34,2.90,2.90,2.89
55.74,4.72,4.72,1.86,1.85,-1.85,-1.78,-1.33,2.87,2.87,2.87
56.29,4.68,4.68,1.83,1.84,-1.84,-1.77,-1.33,2.85,2.85,2.85
56.86,4.64,4.64,1.82,1.82,-1.82,-1.75,-1.33,2.83,2.82,2.82
