frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.34,8.34,4.18,4.18,-4.19,-3.95,-1.87,4.16,4.16,4.16
20.20,8.34,8.34,4.15,4.15,-4.15,-3.95,-1.93,4.19,4.19,4.19
20.40,8.34,8.34,4.12,4.12,-4.11,-3.96,-1.98,4.23,4.23,4.22
20.61,8.34,8.34,4.10,4.09,-4.08,-3.96,-2.04,4.26,4.26,4.24
20.81,8.34,8.34,4.07,4.06,-4.06,-3.96,-2.10,4.28,4.28,4.27
21.02,8.33,8.33,4.03,4.04,-4.04,-3.96,-2.16,4.29,4.30,4.30
21.23,8.33,8.33,4.02,4.01,-4.02,-3.96,-2.22,4.31,4.31,4.31
21.44,8.32,8.32,4.00,4.00,-4.01,-3.96,-2.29,4.31,4.32,4.32
21.66,8.32,8.32,3.99,4.00,-4.00,-3.96,-2.35,4.32,4.32,4.33
21.87,8.33,8.33,4.00,3.99,-4.00,-3.96,-2.42,4.33,4.33,4.33
22.09,8.33,8.33,3.99,4.00,-4.00,-3.96,-2.49,4.33,4.34,4.34
22.31,8.34,8.34,4.00,4.00,-4.00,-3.96,-2.56,4.34,4.34,4.34
22.54,8.35,8.35,4.01,4.01,-4.01,-3.97,-2.64,4.34,4.34,4.34
22.76,8.36,8.36,4.02,4.02,-4.02,-3.97,-2.71,4.34,4.34,4.34
22.99,8.36,8.37,4.03,4.04,-4.03,-3.97,-2.79,4.33,4.34,4.33
23.22,8.37,8.37,4.05,4.04,-4.04,-3.97,-2.87,4.34,4.33,4.33
23.45,8.37,8.37,4.05,4.05,-4.04,-3.97,-2.95,4.33,4.33,4.33
23.69,8.37,8.37,4.05,4.05,-4.04,-3.97,-3.03,4.33,4.33,4.32
23.92,8.37,8.37,4.05,4.04,-4.05,-3.97,-3.12,4.33,4.33,4.32
24.16,8.37,8.37,4.04,4.04,-4.05,-3.97,-3.20,4.32,4.32,4.33
24.40,8.37,8.37,4.04,4.04,-4.05,-3.97,-3.29,4.32,4.32,4.33
24.65,8.37,8.37,4.05,4.05,-4.05,-3.98,-3.38,4.32,4.32,4.32
24.89,8.37,8.37,4.05,4.05,-4.05,-3.98,-3.47,4.32,4.32,4.32
25.14,8.37,8.37,4.05,4.05,-4.05,-3.98,-3.56,4.32,4.32,4.32
25.39,8.37,8.37,4.05,4.05,-4.06,-3.98,-3.65,4.32,4.32,4.32
25.65,8.37,8.37,4.05,4.06,-4.06,-3.98,-3.74,4.31,4.31,4.32
25.91,8.37,8.37,4.07,4.06,-4.06,-3.98,-3.83,4.31,4.31,4.31
26.16,8.37,8.37,4.07,4.07,-4.06,-3.98,-3.92,4.31,4.31,4.30
26.43,8.37,8.37,4.07,4.07,-4.06,-3.99,-4.01,4.31,4.31,4.30
26.69,8.36,8.36,4.06,4.06,-4.06,-3.99,-4.10,4.30,4.30,4.30
26.96,8.36,8.36,4.06,4.06,-4.06,-3.99,-4.19,4.30,4.30,4.30
27.23,8.36,8.36,4.06,4.06,-4.07,-3.99,-4.27,4.29,4.29,4.30
27.50,8.36,8.36,4.06,4.07,-4.07,-3.99,-4.36,4.29,4.29,4.30
27.77,8.36,8.36,4.07,4.07,-4.07,-3.99,-4.44,4.29,4.29,4.29
28.05,8.36,8.36,4.08,4.08,-4.08,-3.99,-4.52,4.28,4.28,4.29
28.33,8.36,8.36,4.09,4.08,-4.08,-4.00,-4.59,4.28,4.28,4.27
28.62,8.36,8.36,4.09,4.09,-4.08,-4.00,-4.66,4.28,4.28,4.27
28.90,8.36,8.36,4.09,4.09,-4.09,-4.00,-4.73,4.27,4.27,4.27
29.19,8.35,8.36,4.09,4.09,-4.09,-4.00,-4.79,4.26,4.27,4.26
29.48,8.35,8.35,4.08,4.09,-4.09,-4.00,-4.84,4.26,4.26,4.27
29.78,8.35,8.35,4.10,4.09,-4.09,-4.00,-4.89,4.26,4.26,4.26
30.08,8.34,8.34,4.09,4.09,-4.09,-4.00,-4.93,4.25,4.25,4.25
30.38,8.33,8.33,4.09,4.09,-4.09,-4.01,-4.97,4.24,4.24,4.24
30.68,8.33,8.33,4.09,4.09,-4.09,-4.01,-5.00,4.24,4.24,4.24
30.99,8.32,8.32,4.09,4.09,-4.09,-4.01,-5.02,4.23,4.23,4.23
31.30,8.32,8.32,4.10,4.09,-4.10,-4.01,-5.04,4.22,4.22,4.23
31.61,8.32,8.32,4.10,4.10,-4.10,-4.01,-5.05,4.22,4.22,4.22
31.93,8.31,8.32,4.10,4.10,-4.10,-4.02,-5.04,4.21,4.21,4.21
32.24,8.31,8.31,4.11,4.11,-4.11,-4.02,-5.04,4.20,4.20,4.20
32.57,8.31,8.31,4.11,4.11,-4.11,-4.02,-5.03,4.20,4.20,4.20
32.89,8.30,8.31,4.11,4.11,-4.11,-4.02,-5.01,4.19,4.19,4.19
33.22,8.30,8.30,4.12,4.11,-4.11,-4.02,-4.98,4.19,4.19,4.18
33.55,8.29,8.29,4.11,4.11,-4.11,-4.02,-4.95,4.18,4.18,4.18
33.89,8.28,8.28,4.12,4.11,-4.11,-4.03,-4.91,4.17,4.17,4.17
34.23,8.27,8.27,4.11,4.11,-4.11,-4.03,-4.88,4.16,4.16,4.16
34.57,8.26,8.26,4.11,4.11,-4.12,-4.03,-4.83,4.15,4.15,4.15
34.92,8.25,8.25,4.12,4.11,-4.12,-4.03,-4.78,4.14,4.14,4.14
35.27,8.24,8.24,4.11,4.12,-4.12,-4.03,-4.73,4.13,4.13,4.13
35.62,8.24,8.24,4.12,4.12,-4.12,-4.04,-4.67,4.13,4.12,4.12
35.97,8.23,8.23,4.13,4.12,-4.12,-4.04,-4.62,4.11,4.11,4.11
36.33,8.22,8.22,4.12,4.12,-4.12,-4.04,-4.56,4.10,4.10,4.10
36.70,8.20,8.20,4.11,4.12,-4.12,-4.04,-4.50,4.08,4.09,4.09
37.06,8.19,8.19,4.12,4.11,-4.12,-4.04,-4.44,4.07,4.07,4.07
37.43,8.18,8.18,4.11,4.11,-4.12,-4.04,-4.37,4.06,4.06,4.07
37.81,8.17,8.17,4.12,4.12,-4.12,-4.05,-4.31,4.05,4.05,4.06
38.19,8.16,8.16,4.12,4.12,-4.12,-4.05,-4.25,4.04,4.04,4.04
38.57,8.15,8.15,4.12,4.12,-4.12,-4.05,-4.19,4.03,4.03,4.04
38.95,8.14,8.14,4.12,4.12,-4.12,-4.05,-4.13,4.02,4.02,4.02
39.34,8.13,8.13,4.12,4.12,-4.12,-4.05,-4.07,4.01,4.01,4.01
39.74,8.11,8.11,4.12,4.12,-4.12,-4.06,-4.01,3.99,3.99,3.99
40.14,8.10,8.10,4.12,4.12,-4.12,-4.06,-3.96,3.98,3.98,3.99
40.54,8.09,8.09,4.12,4.12,-4.12,-4.06,-3.90,3.97,3.97,3.97
40.94,8.08,8.08,4.12,4.12,-4.11,-4.06,-3.85,3.97,3.96,3.96
41.35,8.06,8.07,4.11,4.11,-4.11,-4.06,-3.80,3.95,3.95,3.95
41.76,8.05,8.05,4.11,4.11,-4.11,-4.07,-3.75,3.94,3.94,3.94
42.18,8.04,8.04,4.11,4.11,-4.11,-4.07,-3.71,3.93,3.93,3.94
42.60,8.02,8.02,4.10,4.10,-4.11,-4.07,-3.66,3.92,3.92,3.92
43.03,8.01,8.01,4.10,4.10,-4.11,-4.07,-3.62,3.91,3.90,3.91
43.46,7.99,7.99,4.10,4.10,-4.11,-4.07,-3.59,3.89,3.89,3.89
43.90,7.98,7.98,4.11,4.11,-4.11,-4.08,-3.55,3.87,3.87,3.87
44.33,7.96,7.96,4.11,4.11,-4.11,-4.08,-3.52,3.85,3.85,3.85
44.78,7.94,7.94,4.11,4.11,-4.11,-4.08,-3.49,3.83,3.83,3.83
45.23,7.92,7.92,4.11,4.11,-4.11,-4.08,-3.46,3.81,3.82,3.81
45.68,7.91,7.91,4.12,4.11,-4.11,-4.08,-3.43,3.80,3.80,3.79
46.13,7.89,7.89,4.12,4.11,-4.11,-4.09,-3.41,3.78,3.78,3.78
46.60,7.87,7.87,4.11,4.11,-4.11,-4.09,-3.39,3.76,3.76,3.77
47.06,7.85,7.85,4.10,4.10,-4.11,-4.09,-3.38,3.74,3.74,3.75
47.53,7.83,7.83,4.10,4.10,-4.11,-4.09,-3.36,3.72,3.72,3.73
48.01,7.82,7.82,4.11,4.11,-4.12,-4.09,-3.35,3.71,3.70,3.72
48.49,7.80,7.80,4.12,4.12,-4.12,-4.10,-3.34,3.68,3.68,3.69
48.97,7.78,7.79,4.13,4.13,-4.13,-4.10,-3.33,3.65,3.66,3.65
49.46,7.77,7.77,4.15,4.14,-4.14,-4.10,-3.33,3.63,3.63,3.62
49.96,7.75,7.75,4.16,4.15,-4.15,-4.10,-3.32,3.60,3.60,3.59
