frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.17,4.17,0.43,0.43,-0.43,-1.40,-0.80,3.74,3.74,3.74
20.20,4.22,4.22,0.45,0.45,-0.44,-1.40,-0.82,3.77,3.77,3.77
20.40,4.27,4.26,0.47,0.46,-0.46,-1.41,-0.85,3.81,3.80,3.80
20.61,4.31,4.31,0.49,0.48,-0.48,-1.42,-0.87,3.83,3.83,3.82
20.81,4.35,4.35,0.50,0.50,-0.50,-1.42,-0.90,3.84,3.85,3.85
21.02,4.40,4.39,0.52,0.52,-0.53,-1.43,-0.92,3.87,3.86,3.88
21.23,4.44,4.44,0.55,0.55,-0.56,-1.44,-0.95,3.88,3.88,3.89
21.44,4.49,4.49,0.59,0.59,-0.59,-1.44,-0.98,3.89,3.89,3.90
21.66,4.54,4.54,0.63,0.63,-0.63,-1.45,-1.00,3.90,3.90,3.91
21.87,4.59,4.59,0.68,0.68,-0.68,-1.46,-1.03,3.91,3.91,3.91
22.09,4.64,4.64,0.72,0.72,-0.72,-1.46,-1.06,3.92,3.92,3.92
22.31,4.69,4.68,0.77,0.77,-0.77,-1.47,-1.09,3.92,3.92,3.91
22.54,4.73,4.73,0.81,0.82,-0.82,-1.48,-1.12,3.91,3.91,3.91
22.76,4.78,4.77,0.86,0.86,-0.86,-1.49,-1.15,3.91,3.91,3.91
22.99,4.82,4.82,0.91,0.91,-0.91,-1.49,-1.19,3.91,3.91,3.90
23.22,4.86,4.86,0.95,0.96,-0.95,-1.50,-1.22,3.91,3.91,3.90
23.45,4.90,4.90,1.00,1.00,-0.99,-1.51,-1.25,3.90,3.90,3.90
23.69,4.94,4.94,1.04,1.04,-1.03,-1.52,-1.29,3.90,3.90,3.90
23.92,4.98,4.98,1.08,1.07,-1.08,-1.53,-1.32,3.90,3.90,3.90
24.16,5.02,5.02,1.11,1.11,-1.12,-1.53,-1.36,3.90,3.90,3.91
24.40,5.06,5.06,1.15,1.15,-1.16,-1.54,-1.40,3.90,3.90,3.91
24.65,5.10,5.10,1.20,1.20,-1.20,-1.55,-1.43,3.90,3.90,3.90
24.89,5.14,5.14,1.24,1.24,-1.24,-1.56,-1.47,3.90,3.90,3.90
25.14,5.18,5.18,1.28,1.28,-1.28,-1.57,-1.51,3.90,3.90,3.90
25.39,5.22,5.21,1.32,1.32,-1.32,-1.58,-1.55,3.90,3.90,3.89
25.65,5.25,5.25,1.35,1.36,-1.36,-1.59,-1.59,3.89,3.89,3.89
25.91,5.29,5.28,1.40,1.40,-1.40,-1.60,-1.63,3.89,3.89,3.88
26.16,5.32,5.32,1.44,1.43,-1.43,-1.61,-1.66,3.89,3.88,3.88
26.43,5.35,5.35,1.47,1.47,-1.47,-1.62,-1.70,3.88,3.88,3.88
26.69,5.38,5.38,1.50,1.50,-1.50,-1.63,-1.74,3.87,3.88,3.88
26.96,5.42,5.41,1.54,1.53,-1.54,-1.64,-1.78,3.88,3.88,3.88
27.23,5.45,5.45,1.57,1.57,-1.57,-1.65,-1.82,3.87,3.87,3.88
27.50,5.48,5.48,1.60,1.61,-1.61,-1.66,-1.85,3.87,3.87,3.87
27.77,5.51,5.51,1.64,1.64,-1.65,-1.67,-1.89,3.86,3.86,3.86
28.05,5.55,5.54,1.68,1.68,-1.68,-1.68,-1.92,3.86,3.86,3.86
28.33,5.58,5.58,1.73,1.72,-1.72,-1.69,-1.96,3.86,3.86,3.85
28.62,5.61,5.61,1.76,1.76,-1.75,-1.70,-1.99,3.85,3.85,3.85
28.90,5.64,5.63,1.79,1.79,-1.79,-1.71,-2.02,3.85,3.85,3.85
29.19,5.66,5.66,1.82,1.82,-1.82,-1.72,-2.05,3.84,3.84,3.84
29.48,5.69,5.69,1.84,1.85,-1.85,-1.73,-2.08,3.84,3.83,3.84
29.78,5.72,5.71,1.88,1.88,-1.88,-1.75,-2.10,3.83,3.83,3.83
30.08,5.74,5.74,1.91,1.91,-1.91,-1.76,-2.13,3.82,3.83,3.83
30.38,5.77,5.77,1.95,1.95,-1.95,-1.77,-2.15,3.82,3.82,3.82
30.68,5.80,5.79,1.98,1.98,-1.98,-1.78,-2.17,3.82,3.82,3.82
30.99,5.82,5.82,2.01,2.01,-2.01,-1.80,-2.19,3.81,3.81,3.80
