frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.16,6.16,2.11,2.11,-2.12,-1.42,-1.01,4.04,4.04,4.05
20.20,6.17,6.17,2.09,2.09,-2.09,-1.44,-1.04,4.08,4.08,4.08
20.40,6.18,6.18,2.07,2.08,-2.07,-1.46,-1.08,4.11,4.11,4.11
20.61,6.19,6.19,2.06,2.06,-2.05,-1.48,-1.11,4.13,4.13,4.12
20.81,6.20,6.20,2.04,2.04,-2.04,-1.50,-1.14,4.16,4.16,4.15
21.02,6.21,6.21,2.02,2.03,-2.03,-1.52,-1.18,4.18,4.18,4.18
21.23,6.21,6.21,2.01,2.02,-2.02,-1.55,-1.21,4.19,4.19,4.19
21.44,6.22,6.22,2.01,2.01,-2.01,-1.57,-1.25,4.21,4.21,4.20
21.66,6.22,6.22,2.01,2.01,-2.00,-1.60,-1.29,4.21,4.21,4.21
21.87,6.22,6.22,2.01,2.00,-2.00,-1.63,-1.33,4.22,4.22,4.21
22.09,6.22,6.22,2.00,2.00,-2.00,-1.66,-1.37,4.21,4.22,4.22
22.31,6.23,6.22,2.01,2.00,-2.01,-1.69,-1.41,4.22,4.22,4.22
22.54,6.23,6.23,2.01,2.01,-2.02,-1.72,-1.45,4.21,4.21,4.22
22.76,6.24,6.24,2.02,2.02,-2.02,-1.76,-1.50,4.21,4.21,4.22
22.99,6.25,6.25,2.04,2.04,-2.03,-1.79,-1.54,4.22,4.22,4.21
23.22,6.26,6.26,2.05,2.05,-2.04,-1.83,-1.59,4.22,4.21,4.21
23.45,6.27,6.26,2.06,2.06,-2.05,-1.87,-1.64,4.22,4.21,4.21
23.69,6.27,6.27,2.06,2.06,-2.06,-1.91,-1.68,4.21,4.21,4.21
23.92,6.28,6.28,2.07,2.07,-2.07,-1.95,-1.73,4.21,4.21,4.21
24.16,6.29,6.29,2.07,2.08,-2.08,-2.00,-1.78,4.21,4.21,4.21
24.40,6.30,6.30,2.08,2.09,-2.09,-2.04,-1.83,4.21,4.21,4.21
24.65,6.30,6.30,2.09,2.09,-2.09,-2.09,-1.88,4.20,4.21,4.20
24.89,6.31,6.31,2.11,2.10,-2.10,-2.13,-1.93,4.21,4.20,4.20
