frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.48,-9.48,-12.60,-12.60,6.00,6.20,2.83,-3.48,-3.48,3.12
20.20,-9.41,-9.40,-12.56,-12.56,6.00,6.20,2.91,-3.41,-3.40,3.15
20.40,-9.33,-9.33,-12.51,-12.51,6.00,6.20,3.00,-3.33,-3.33,3.18
20.61,-9.25,-9.25,-12.45,-12.46,6.00,6.19,3.08,-3.25,-3.25,3.20
20.81,-9.19,-9.18,-12.42,-12.42,6.00,6.19,3.17,-3.19,-3.18,3.23
21.02,-9.12,-9.12,-12.38,-12.37,6.00,6.19,3.26,-3.12,-3.12,3.26
21.23,-9.05,-9.05,-12.32,-12.32,6.00,6.18,3.35,-3.05,-3.05,3.27
21.44,-8.98,-8.98,-12.26,-12.26,6.00,6.18,3.45,-2.98,-2.98,3.28
21.66,-8.90,-8.90,-12.19,-12.19,6.00,6.18,3.55,-2.90,-2.90,3.29
21.87,-8.82,-8.81,-12.10,-12.10,6.00,6.17,3.65,-2.82,-2.81,3.29
22.09,-8.72,-8.72,-12.01,-12.01,6.00,6.17,3.75,-2.72,-2.72,3.30
22.31,-8.61,-8.61,-11.90,-11.91,6.00,6.17,3.86,-2.61,-2.61,3.30
22.54,-8.50,-8.50,-11.80,-11.79,6.00,6.16,3.97,-2.50,-2.50,3.30
22.76,-8.39,-8.39,-11.68,-11.68,6.00,6.16,4.08,-2.39,-2.39,3.30
22.99,-8.28,-8.28,-11.56,-11.57,6.00,6.15,4.19,-2.28,-2.28,3.29
23.22,-8.19,-8.19,-11.47,-11.47,6.00,6.15,4.31,-2.19,-2.19,3.28
23.45,-8.10,-8.10,-11.38,-11.38,6.00,6.15,4.43,-2.10,-2.10,3.28
23.69,-8.03,-8.03,-11.31,-11.31,6.00,6.14,4.55,-2.03,-2.03,3.28
23.92,-7.96,-7.96,-11.24,-11.24,6.00,6.14,4.68,-1.96,-1.96,3.28
24.16,-7.89,-7.89,-11.18,-11.18,6.00,6.13,4.81,-1.89,-1.89,3.29
24.40,-7.82,-7.81,-11.11,-11.10,6.00,6.13,4.94,-1.82,-1.81,3.29
24.65,-7.74,-7.74,-11.02,-11.02,6.00,6.12,5.07,-1.74,-1.74,3.28
24.89,-7.66,-7.66,-10.94,-10.94,6.00,6.12,5.20,-1.66,-1.66,3.28
25.14,-7.58,-7.57,-10.85,-10.85,6.00,6.11,5.34,-1.58,-1.57,3.28
25.39,-7.49,-7.49,-10.76,-10.77,6.00,6.11,5.47,-1.49,-1.49,3.28
