frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.43,6.44,4.39,4.39,-4.39,-3.90,-2.00,2.05,2.05,2.05
20.20,6.44,6.44,4.37,4.36,-4.36,-3.90,-2.06,2.08,2.08,2.08
20.40,6.44,6.44,4.34,4.34,-4.33,-3.90,-2.12,2.11,2.11,2.10
20.61,6.44,6.44,4.32,4.31,-4.31,-3.90,-2.18,2.13,2.13,2.12
20.81,6.44,6.44,4.29,4.29,-4.29,-3.90,-2.24,2.15,2.15,2.15
21.02,6.44,6.44,4.26,4.27,-4.28,-3.90,-2.31,2.16,2.17,2.18
21.23,6.45,6.45,4.26,4.26,-4.27,-3.90,-2.38,2.18,2.18,2.19
21.44,6.46,6.46,4.26,4.26,-4.26,-3.90,-2.45,2.20,2.20,2.20
21.66,6.47,6.47,4.26,4.26,-4.26,-3.90,-2.52,2.21,2.21,2.21
21.87,6.48,6.48,4.27,4.27,-4.26,-3.90,-2.59,2.22,2.22,2.21
22.09,6.49,6.49,4.27,4.27,-4.27,-3.90,-2.66,2.22,2.22,2.22
22.31,6.50,6.50,4.28,4.28,-4.28,-3.90,-2.74,2.22,2.22,2.22
22.54,6.50,6.51,4.28,4.29,-4.29,-3.90,-2.82,2.22,2.22,2.22
22.76,6.51,6.51,4.29,4.29,-4.29,-3.90,-2.90,2.22,2.22,2.22
22.99,6.51,6.51,4.30,4.30,-4.30,-3.90,-2.98,2.21,2.21,2.21
23.22,6.51,6.51,4.30,4.31,-4.30,-3.90,-3.07,2.21,2.21,2.21
23.45,6.51,6.51,4.31,4.31,-4.30,-3.90,-3.16,2.21,2.21,2.21
23.69,6.51,6.51,4.31,4.30,-4.31,-3.90,-3.25,2.21,2.21,2.21
23.92,6.51,6.51,4.31,4.30,-4.31,-3.90,-3.34,2.20,2.20,2.20
24.16,6.51,6.51,4.30,4.30,-4.31,-3.91,-3.43,2.20,2.20,2.21
24.40,6.52,6.52,4.31,4.31,-4.31,-3.91,-3.52,2.21,2.21,2.21
24.65,6.52,6.52,4.32,4.31,-4.32,-3.91,-3.62,2.21,2.20,2.20
24.89,6.52,6.52,4.32,4.32,-4.32,-3.91,-3.71,2.20,2.21,2.20
25.14,6.52,6.52,4.32,4.32,-4.32,-3.91,-3.81,2.20,2.20,2.20
