frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.17,4.17,3.13,3.14,-3.13,-2.48,-1.43,1.04,1.04,1.04
20.20,4.18,4.18,3.11,3.11,-3.11,-2.48,-1.47,1.07,1.07,1.07
20.40,4.19,4.19,3.10,3.10,-3.10,-2.48,-1.51,1.09,1.09,1.10
20.61,4.20,4.20,3.09,3.08,-3.08,-2.48,-1.56,1.12,1.12,1.12
20.81,4.21,4.21,3.07,3.07,-3.07,-2.48,-1.60,1.14,1.14,1.15
21.02,4.23,4.23,3.06,3.06,-3.07,-2.49,-1.65,1.17,1.16,1.17
21.23,4.24,4.24,3.06,3.05,-3.06,-2.49,-1.70,1.18,1.18,1.18
21.44,4.25,4.25,3.06,3.06,-3.06,-2.49,-1.75,1.20,1.20,1.19
21.66,4.26,4.26,3.06,3.06,-3.06,-2.49,-1.80,1.20,1.20,1.20
21.87,4.27,4.27,3.07,3.06,-3.06,-2.49,-1.85,1.21,1.21,1.20
22.09,4.27,4.27,3.06,3.06,-3.06,-2.49,-1.91,1.21,1.21,1.21
22.31,4.28,4.28,3.07,3.07,-3.07,-2.49,-1.96,1.21,1.21,1.21
22.54,4.28,4.28,3.07,3.07,-3.08,-2.49,-2.02,1.20,1.21,1.21
22.76,4.29,4.29,3.08,3.08,-3.08,-2.49,-2.08,1.21,1.21,1.21
22.99,4.29,4.29,3.09,3.09,-3.09,-2.50,-2.14,1.20,1.20,1.20
23.22,4.30,4.30,3.10,3.10,-3.10,-2.50,-2.20,1.21,1.20,1.20
23.45,4.30,4.30,3.10,3.11,-3.10,-2.50,-2.27,1.20,1.20,1.20
23.69,4.30,4.31,3.10,3.11,-3.11,-2.50,-2.33,1.20,1.20,1.20
23.92,4.31,4.31,3.12,3.11,-3.11,-2.50,-2.39,1.20,1.20,1.20
24.16,4.31,4.31,3.11,3.11,-3.11,-2.50,-2.46,1.20,1.20,1.21
24.40,4.31,4.31,3.11,3.11,-3.11,-2.50,-2.53,1.20,1.20,1.20
24.65,4.31,4.31,3.12,3.11,-3.11,-2.50,-2.60,1.20,1.20,1.19
24.89,4.31,4.31,3.12,3.12,-3.12,-2.51,-2.67,1.19,1.19,1.19
25.14,4.31,4.31,3.12,3.12,-3.12,-2.51,-2.74,1.19,1.19,1.19
25.39,4.31,4.31,3.12,3.12,-3.13,-2.51,-2.81,1.19,1.19,1.19
25.65,4.31,4.31,3.12,3.13,-3.13,-2.51,-2.88,1.18,1.19,1.19
25.91,4.32,4.32,3.14,3.14,-3.13,-2.51,-2.95,1.19,1.19,1.18
26.16,4.32,4.32,3.14,3.14,-3.13,-2.51,-3.02,1.19,1.19,1.18
26.43,4.32,4.32,3.14,3.14,-3.14,-2.51,-3.09,1.18,1.18,1.18
26.69,4.31,4.31,3.14,3.14,-3.14,-2.51,-3.15,1.17,1.18,1.18
26.96,4.31,4.31,3.14,3.14,-3.14,-2.52,-3.22,1.17,1.17,1.17
27.23,4.31,4.31,3.14,3.14,-3.15,-2.52,-3.29,1.17,1.17,1.17
27.50,4.31,4.31,3.14,3.14,-3.15,-2.52,-3.35,1.16,1.16,1.17
27.77,4.31,4.31,3.15,3.15,-3.15,-2.52,-3.41,1.16,1.16,1.16
28.05,4.31,4.31,3.15,3.16,-3.16,-2.52,-3.47,1.16,1.16,1.16
28.33,4.31,4.31,3.16,3.16,-3.16,-2.52,-3.53,1.15,1.15,1.15
28.62,4.31,4.31,3.17,3.17,-3.16,-2.52,-3.58,1.15,1.15,1.15
28.90,4.31,4.31,3.17,3.17,-3.16,-2.53,-3.63,1.15,1.15,1.14
29.19,4.30,4.30,3.17,3.16,-3.16,-2.53,-3.68,1.14,1.15,1.13
29.48,4.29,4.29,3.15,3.15,-3.15,-2.53,-3.72,1.14,1.14,1.14
29.78,4.27,4.27,3.14,3.14,-3.14,-2.53,-3.75,1.13,1.13,1.13
30.08,4.25,4.26,3.12,3.13,-3.13,-2.53,-3.78,1.12,1.12,1.13
30.38,4.24,4.24,3.13,3.12,-3.13,-2.53,-3.81,1.12,1.11,1.12
30.68,4.22,4.22,3.11,3.11,-3.12,-2.53,-3.83,1.10,1.11,1.11
30.99,4.21,4.21,3.11,3.11,-3.11,-2.54,-3.85,1.10,1.10,1.10
31.30,4.20,4.20,3.10,3.10,-3.10,-2.54,-3.86,1.10,1.10,1.10
31.61,4.19,4.19,3.10,3.10,-3.10,-2.54,-3.86,1.09,1.09,1.10
31.93,4.18,4.18,3.10,3.09,-3.09,-2.54,-3.86,1.09,1.09,1.08
32.24,4.16,4.17,3.09,3.09,-3.08,-2.54,-3.86,1.08,1.08,1.07
32.57,4.15,4.15,3.08,3.08,-3.08,-2.54,-3.84,1.07,1.07,1.07
32.89,4.13,4.13,3.06,3.07,-3.07,-2.54,-3.83,1.06,1.06,1.07
33.22,4.11,4.12,3.06,3.06,-3.06,-2.55,-3.81,1.05,1.05,1.05
33.55,4.10,4.10,3.05,3.05,-3.06,-2.55,-3.78,1.04,1.04,1.05
33.89,4.09,4.09,3.05,3.05,-3.05,-2.55,-3.75,1.04,1.04,1.04
34.23,4.07,4.08,3.04,3.04,-3.04,-2.55,-3.72,1.03,1.04,1.04
34.57,4.06,4.06,3.04,3.04,-3.03,-2.55,-3.68,1.03,1.03,1.02
34.92,4.04,4.04,3.03,3.03,-3.02,-2.55,-3.64,1.02,1.02,1.01
35.27,4.01,4.02,3.01,3.01,-3.01,-2.55,-3.60,1.00,1.00,1.01
35.62,3.99,3.99,3.00,3.00,-3.00,-2.55,-3.55,0.99,0.99,0.99
35.97,3.96,3.96,2.98,2.98,-2.98,-2.55,-3.51,0.98,0.98,0.98
36.33,3.94,3.94,2.97,2.97,-2.97,-2.56,-3.46,0.97,0.97,0.97
36.70,3.91,3.91,2.95,2.95,-2.95,-2.56,-3.41,0.96,0.96,0.96
37.06,3.89,3.89,2.94,2.94,-2.93,-2.56,-3.36,0.96,0.95,0.95
