frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.22,8.22,2.12,2.12,-2.12,-1.29,-0.76,6.10,6.09,6.10
20.20,8.21,8.21,2.11,2.12,-2.12,-1.29,-0.78,6.10,6.10,6.10
20.40,8.20,8.21,2.10,2.11,-2.11,-1.29,-0.80,6.10,6.10,6.10
20.61,8.20,8.20,2.10,2.10,-2.10,-1.29,-0.83,6.11,6.10,6.10
20.81,8.18,8.18,2.09,2.09,-2.09,-1.29,-0.85,6.10,6.10,6.10
21.02,8.17,8.17,2.08,2.07,-2.07,-1.29,-0.88,6.10,6.10,6.10
21.23,8.15,8.15,2.06,2.06,-2.06,-1.29,-0.90,6.09,6.09,6.09
21.44,8.14,8.14,2.05,2.05,-2.05,-1.29,-0.93,6.09,6.09,6.09
21.66,8.13,8.13,2.04,2.04,-2.04,-1.29,-0.96,6.10,6.09,6.09
21.87,8.11,8.11,2.02,2.02,-2.02,-1.29,-0.99,6.09,6.09,6.09
22.09,8.10,8.10,2.01,2.01,-2.01,-1.29,-1.02,6.09,6.09,6.09
22.31,8.08,8.08,1.99,1.99,-1.99,-1.29,-1.05,6.09,6.09,6.09
22.54,8.07,8.07,1.98,1.98,-1.98,-1.29,-1.08,6.09,6.09,6.09
22.76,8.05,8.05,1.96,1.96,-1.96,-1.29,-1.11,6.09,6.09,6.09
22.99,8.03,8.04,1.94,1.95,-1.95,-1.29,-1.14,6.08,6.09,6.09
23.22,8.02,8.02,1.93,1.93,-1.93,-1.29,-1.18,6.09,6.09,6.09
23.45,8.00,8.00,1.92,1.92,-1.91,-1.29,-1.21,6.09,6.09,6.09
23.69,7.98,7.98,1.90,1.90,-1.90,-1.29,-1.25,6.09,6.09,6.08
23.92,7.96,7.96,1.88,1.88,-1.88,-1.29,-1.28,6.08,6.08,6.08
24.16,7.94,7.94,1.86,1.86,-1.86,-1.29,-1.32,6.08,6.08,6.08
24.40,7.92,7.92,1.84,1.84,-1.84,-1.29,-1.35,6.08,6.08,6.08
24.65,7.90,7.90,1.82,1.82,-1.83,-1.29,-1.39,6.08,6.08,6.08
24.89,7.89,7.89,1.81,1.81,-1.81,-1.29,-1.43,6.08,6.08,6.08
25.14,7.87,7.87,1.79,1.80,-1.80,-1.29,-1.47,6.08,6.08,6.08
25.39,7.86,7.86,1.79,1.78,-1.78,-1.29,-1.50,6.08,6.08,6.08
25.65,7.84,7.84,1.77,1.77,-1.77,-1.28,-1.54,6.07,6.07,6.07
25.91,7.83,7.83,1.76,1.76,-1.76,-1.28,-1.58,6.07,6.07,6.07
26.16,7.82,7.82,1.75,1.75,-1.75,-1.28,-1.62,6.07,6.07,6.07
26.43,7.81,7.81,1.74,1.74,-1.74,-1.28,-1.65,6.07,6.07,6.07
26.69,7.80,7.80,1.73,1.73,-1.74,-1.28,-1.69,6.07,6.07,6.07
26.96,7.79,7.79,1.73,1.73,-1.73,-1.28,-1.72,6.06,6.07,6.07
27.23,7.79,7.79,1.73,1.72,-1.72,-1.28,-1.76,6.07,6.07,6.06
27.50,7.78,7.78,1.72,1.72,-1.72,-1.28,-1.79,6.06,6.06,6.06
27.77,7.77,7.77,1.71,1.71,-1.71,-1.28,-1.82,6.06,6.06,6.06
28.05,7.76,7.76,1.70,1.70,-1.70,-1.28,-1.86,6.06,6.06,6.06
28.33,7.75,7.75,1.69,1.70,-1.69,-1.28,-1.88,6.06,6.06,6.06
28.62,7.74,7.74,1.69,1.69,-1.69,-1.28,-1.91,6.06,6.06,6.05
28.90,7.73,7.73,1.68,1.68,-1.68,-1.28,-1.93,6.06,6.05,6.05
29.19,7.71,7.71,1.66,1.66,-1.66,-1.28,-1.96,6.05,6.05,6.05
29.48,7.70,7.70,1.65,1.65,-1.65,-1.28,-1.98,6.05,6.05,6.05
29.78,7.68,7.68,1.64,1.64,-1.64,-1.28,-1.99,6.04,6.04,6.04
30.08,7.67,7.67,1.63,1.63,-1.63,-1.27,-2.01,6.04,6.04,6.04
30.38,7.65,7.65,1.61,1.62,-1.61,-1.27,-2.02,6.04,6.04,6.04
30.68,7.64,7.64,1.60,1.60,-1.60,-1.27,-2.03,6.04,6.04,6.04
30.99,7.62,7.62,1.59,1.59,-1.59,-1.27,-2.03,6.03,6.03,6.03
31.30,7.60,7.61,1.57,1.58,-1.57,-1.27,-2.03,6.03,6.03,6.03
31.61,7.59,7.59,1.56,1.56,-1.56,-1.27,-2.03,6.03,6.03,6.03
31.93,7.57,7.57,1.55,1.55,-1.55,-1.27,-2.03,6.02,6.02,6.02
32.24,7.55,7.55,1.53,1.53,-1.53,-1.27,-2.02,6.02,6.02,6.02
32.57,7.53,7.53,1.51,1.52,-1.52,-1.27,-2.01,6.01,6.02,6.02
32.89,7.52,7.52,1.51,1.50,-1.50,-1.26,-2.00,6.02,6.01,6.01
33.22,7.50,7.50,1.49,1.49,-1.49,-1.26,-1.98,6.01,6.01,6.01
33.55,7.48,7.48,1.48,1.48,-1.47,-1.26,-1.96,6.01,6.01,6.01
33.89,7.46,7.46,1.46,1.46,-1.46,-1.26,-1.94,6.00,6.00,6.00
34.23,7.44,7.44,1.44,1.44,-1.44,-1.26,-1.92,6.00,6.00,6.00
34.57,7.42,7.42,1.43,1.43,-1.43,-1.26,-1.89,5.99,5.99,5.99
34.92,7.40,7.40,1.41,1.41,-1.41,-1.25,-1.86,5.99,5.99,5.99
35.27,7.38,7.38,1.40,1.40,-1.40,-1.25,-1.83,5.98,5.98,5.98
35.62,7.36,7.36,1.38,1.38,-1.38,-1.25,-1.80,5.98,5.98,5.98
35.97,7.34,7.34,1.37,1.37,-1.37,-1.25,-1.77,5.97,5.97,5.97
36.33,7.32,7.32,1.35,1.35,-1.35,-1.25,-1.74,5.97,5.97,5.97
36.70,7.30,7.30,1.34,1.34,-1.34,-1.24,-1.70,5.96,5.96,5.96
37.06,7.28,7.28,1.32,1.32,-1.32,-1.24,-1.67,5.96,5.96,5.96
37.43,7.26,7.26,1.31,1.31,-1.31,-1.24,-1.63,5.95,5.95,5.95
37.81,7.24,7.24,1.30,1.30,-1.30,-1.23,-1.60,5.95,5.95,5.95
38.19,7.22,7.22,1.28,1.28,-1.28,-1.23,-1.56,5.94,5.94,5.94
38.57,7.20,7.20,1.27,1.27,-1.27,-1.23,-1.53,5.93,5.93,5.93
38.95,7.18,7.18,1.26,1.25,-1.25,-1.22,-1.49,5.93,5.93,5.93
39.34,7.15,7.16,1.23,1.24,-1.24,-1.22,-1.45,5.92,5.92,5.92
39.74,7.13,7.13,1.22,1.22,-1.22,-1.22,-1.42,5.91,5.91,5.91
40.14,7.11,7.11,1.21,1.20,-1.20,-1.21,-1.38,5.91,5.90,5.90
40.54,7.08,7.08,1.19,1.19,-1.19,-1.21,-1.35,5.90,5.90,5.90
40.94,7.05,7.05,1.16,1.17,-1.17,-1.20,-1.31,5.88,5.89,5.89
41.35,7.03,7.03,1.15,1.15,-1.15,-1.20,-1.28,5.88,5.88,5.88
41.76,7.00,7.00,1.13,1.13,-1.13,-1.19,-1.25,5.87,5.87,5.87
42.18,6.98,6.98,1.12,1.12,-1.12,-1.19,-1.22,5.87,5.86,5.86
42.60,6.95,6.95,1.10,1.10,-1.10,-1.18,-1.18,5.85,5.85,5.85
43.03,6.92,6.92,1.08,1.08,-1.08,-1.18,-1.15,5.84,5.84,5.84
43.46,6.90,6.90,1.07,1.07,-1.07,-1.17,-1.12,5.83,5.83,5.83
43.90,6.87,6.87,1.05,1.05,-1.05,-1.16,-1.09,5.82,5.82,5.82
44.33,6.85,6.85,1.04,1.04,-1.04,-1.16,-1.07,5.82,5.81,5.81
44.78,6.82,6.82,1.02,1.02,-1.02,-1.15,-1.04,5.80,5.80,5.80
45.23,6.79,6.79,1.00,1.00,-1.01,-1.14,-1.01,5.79,5.79,5.79
45.68,6.76,6.76,0.99,0.99,-0.99,-1.13,-0.99,5.77,5.78,5.78
46.13,6.74,6.74,0.98,0.97,-0.97,-1.12,-0.96,5.77,5.76,5.76
46.60,6.71,6.71,0.96,0.96,-0.96,-1.11,-0.94,5.75,5.75,5.75
47.06,6.68,6.68,0.94,0.94,-0.94,-1.10,-0.91,5.74,5.74,5.74
47.53,6.65,6.65,0.93,0.93,-0.93,-1.09,-0.89,5.72,5.72,5.72
48.01,6.62,6.62,0.91,0.91,-0.91,-1.08,-0.87,5.71,5.71,5.71
48.49,6.59,6.59,0.90,0.90,-0.90,-1.06,-0.85,5.69,5.69,5.69
48.97,6.56,6.56,0.88,0.88,-0.88,-1.05,-0.83,5.68,5.68,5.68
49.46,6.53,6.53,0.87,0.87,-0.87,-1.04,-0.81,5.66,5.66,5.66
49.96,6.50,6.50,0.85,0.85,-0.86,-1.02,-0.79,5.64,5.64,5.65
50.46,6.47,6.47,0.84,0.84,-0.85,-1.00,-0.77,5.63,5.63,5.63
50.96,6.45,6.45,0.84,0.84,-0.83,-0.99,-0.75,5.62,5.61,5.61
51.47,6.42,6.42,0.83,0.83,-0.82,-0.97,-0.74,5.60,5.60,5.59
51.99,6.39,6.39,0.82,0.82,-0.81,-0.95,-0.72,5.58,5.58,5.58
52.51,6.36,6.36,0.80,0.80,-0.80,-0.93,-0.71,5.56,5.56,5.56
53.03,6.33,6.33,0.79,0.79,-0.79,-0.91,-0.69,5.54,5.54,5.54
53.56,6.30,6.30,0.79,0.79,-0.79,-0.89,-0.68,5.52,5.52,5.52
54.10,6.27,6.27,0.78,0.78,-0.78,-0.87,-0.67,5.49,5.49,5.50
54.64,6.24,6.24,0.77,0.77,-0.77,-0.84,-0.66,5.47,5.47,5.47
55.18,6.21,6.21,0.76,0.76,-0.76,-0.82,-0.65,5.45,5.45,5.45
55.74,6.18,6.18,0.75,0.75,-0.76,-0.80,-0.64,5.42,5.42,5.43
