frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.23,8.23,0.70,0.70,-0.69,-0.96,-0.55,7.54,7.54,7.53
20.20,8.22,8.21,0.69,0.69,-0.68,-0.97,-0.57,7.54,7.53,7.53
20.40,8.21,8.20,0.68,0.67,-0.68,-0.97,-0.59,7.53,7.52,7.53
20.61,8.19,8.19,0.66,0.67,-0.68,-0.97,-0.60,7.51,7.52,7.52
20.81,8.19,8.19,0.66,0.66,-0.68,-0.97,-0.62,7.51,7.51,7.52
21.02,8.19,8.19,0.66,0.66,-0.68,-0.97,-0.64,7.51,7.51,7.52
21.23,8.20,8.20,0.67,0.68,-0.69,-0.97,-0.66,7.51,7.51,7.52
21.44,8.22,8.22,0.69,0.69,-0.70,-0.97,-0.68,7.52,7.52,7.52
21.66,8.24,8.24,0.72,0.72,-0.71,-0.98,-0.70,7.53,7.53,7.52
21.87,8.26,8.26,0.74,0.74,-0.73,-0.98,-0.72,7.53,7.53,7.52
22.09,8.28,8.27,0.76,0.75,-0.74,-0.98,-0.74,7.53,7.53,7.52
22.31,8.29,8.29,0.77,0.77,-0.76,-0.98,-0.76,7.53,7.53,7.52
22.54,8.30,8.30,0.78,0.78,-0.78,-0.98,-0.78,7.52,7.52,7.52
22.76,8.32,8.31,0.80,0.80,-0.80,-0.98,-0.80,7.52,7.51,7.52
22.99,8.33,8.33,0.81,0.81,-0.82,-0.99,-0.83,7.50,7.51,7.52
23.22,8.35,8.35,0.83,0.84,-0.85,-0.99,-0.85,7.50,7.50,7.51
23.45,8.38,8.38,0.86,0.86,-0.87,-0.99,-0.87,7.50,7.50,7.51
23.69,8.42,8.41,0.90,0.90,-0.90,-0.99,-0.90,7.51,7.51,7.51
23.92,8.45,8.45,0.94,0.94,-0.93,-0.99,-0.92,7.51,7.51,7.51
24.16,8.48,8.48,0.97,0.97,-0.96,-1.00,-0.95,7.52,7.52,7.51
24.40,8.51,8.50,1.00,1.00,-0.99,-1.00,-0.97,7.52,7.52,7.51
24.65,8.53,8.53,1.02,1.02,-1.01,-1.00,-1.00,7.52,7.52,7.51
24.89,8.54,8.54,1.03,1.03,-1.02,-1.00,-1.03,7.51,7.52,7.51
25.14,8.55,8.54,1.04,1.04,-1.04,-1.00,-1.05,7.51,7.51,7.51
25.39,8.55,8.55,1.04,1.04,-1.05,-1.01,-1.08,7.50,7.50,7.50
25.65,8.55,8.55,1.04,1.04,-1.05,-1.01,-1.11,7.49,7.49,7.50
25.91,8.55,8.55,1.05,1.05,-1.06,-1.01,-1.13,7.48,7.49,7.50
26.16,8.56,8.56,1.06,1.06,-1.07,-1.01,-1.16,7.49,7.49,7.50
26.43,8.58,8.57,1.08,1.08,-1.08,-1.02,-1.19,7.50,7.50,7.50
