frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.82,10.82,4.37,4.37,-4.38,-4.31,-1.71,6.44,6.44,6.45
20.20,10.82,10.82,4.37,4.37,-4.37,-4.30,-1.76,6.45,6.45,6.45
20.40,10.81,10.81,4.36,4.36,-4.36,-4.29,-1.81,6.45,6.45,6.45
20.61,10.80,10.80,4.35,4.35,-4.35,-4.28,-1.86,6.45,6.45,6.45
20.81,10.78,10.78,4.33,4.34,-4.33,-4.27,-1.92,6.45,6.45,6.45
21.02,10.77,10.77,4.32,4.32,-4.32,-4.26,-1.98,6.45,6.45,6.44
21.23,10.75,10.75,4.31,4.30,-4.30,-4.25,-2.03,6.45,6.45,6.44
21.44,10.73,10.73,4.29,4.29,-4.29,-4.24,-2.10,6.44,6.44,6.44
21.66,10.71,10.71,4.27,4.27,-4.27,-4.23,-2.16,6.44,6.44,6.44
21.87,10.69,10.69,4.25,4.25,-4.25,-4.21,-2.22,6.44,6.44,6.44
22.09,10.67,10.67,4.23,4.23,-4.23,-4.20,-2.29,6.44,6.44,6.44
22.31,10.65,10.65,4.21,4.21,-4.21,-4.19,-2.35,6.44,6.44,6.44
22.54,10.63,10.63,4.19,4.19,-4.19,-4.18,-2.42,6.44,6.44,6.44
22.76,10.62,10.62,4.18,4.18,-4.18,-4.16,-2.49,6.44,6.44,6.44
22.99,10.60,10.60,4.16,4.16,-4.16,-4.15,-2.57,6.44,6.44,6.44
23.22,10.58,10.58,4.14,4.14,-4.14,-4.14,-2.64,6.44,6.44,6.44
23.45,10.56,10.56,4.12,4.13,-4.13,-4.13,-2.72,6.43,6.43,6.44
23.69,10.55,10.55,4.12,4.11,-4.11,-4.11,-2.79,6.43,6.43,6.43
23.92,10.53,10.53,4.10,4.10,-4.10,-4.10,-2.87,6.43,6.43,6.43
24.16,10.52,10.52,4.09,4.09,-4.08,-4.08,-2.95,6.43,6.43,6.43
24.40,10.50,10.50,4.07,4.07,-4.07,-4.07,-3.03,6.43,6.43,6.43
24.65,10.49,10.49,4.06,4.06,-4.05,-4.05,-3.12,6.43,6.43,6.43
24.89,10.47,10.47,4.04,4.04,-4.04,-4.04,-3.20,6.43,6.43,6.43
25.14,10.45,10.45,4.02,4.02,-4.02,-4.02,-3.28,6.43,6.43,6.43
25.39,10.43,10.43,4.00,4.00,-4.00,-4.01,-3.37,6.42,6.43,6.43
25.65,10.41,10.41,3.99,3.99,-3.99,-3.99,-3.45,6.42,6.42,6.42
25.91,10.39,10.39,3.97,3.97,-3.97,-3.98,-3.54,6.42,6.42,6.42
26.16,10.37,10.37,3.95,3.95,-3.95,-3.96,-3.62,6.42,6.42,6.42
26.43,10.35,10.35,3.93,3.93,-3.93,-3.94,-3.71,6.42,6.42,6.42
26.69,10.33,10.33,3.91,3.91,-3.91,-3.93,-3.79,6.41,6.41,6.42
26.96,10.31,10.31,3.89,3.90,-3.90,-3.91,-3.87,6.41,6.41,6.42
27.23,10.30,10.30,3.89,3.88,-3.88,-3.89,-3.95,6.42,6.41,6.41
27.50,10.28,10.28,3.87,3.87,-3.87,-3.88,-4.02,6.41,6.41,6.41
27.77,10.27,10.27,3.86,3.86,-3.85,-3.86,-4.10,6.41,6.41,6.41
28.05,10.25,10.25,3.84,3.84,-3.84,-3.84,-4.17,6.41,6.41,6.41
28.33,10.23,10.23,3.82,3.82,-3.83,-3.82,-4.23,6.40,6.40,6.41
28.62,10.21,10.21,3.81,3.81,-3.81,-3.80,-4.30,6.40,6.40,6.40
28.90,10.20,10.20,3.80,3.79,-3.79,-3.78,-4.35,6.40,6.40,6.40
29.19,10.18,10.18,3.78,3.78,-3.78,-3.76,-4.41,6.40,6.40,6.40
29.48,10.16,10.16,3.76,3.76,-3.76,-3.74,-4.45,6.40,6.40,6.40
29.78,10.14,10.14,3.75,3.74,-3.74,-3.72,-4.49,6.40,6.39,6.39
30.08,10.11,10.11,3.72,3.72,-3.72,-3.70,-4.53,6.39,6.39,6.39
30.38,10.09,10.09,3.70,3.70,-3.70,-3.68,-4.55,6.39,6.39,6.39
30.68,10.07,10.07,3.68,3.68,-3.68,-3.66,-4.57,6.39,6.39,6.39
30.99,10.04,10.04,3.66,3.66,-3.66,-3.64,-4.59,6.38,6.38,6.38
31.30,10.01,10.01,3.63,3.63,-3.63,-3.61,-4.59,6.38,6.38,6.38
31.61,9.98,9.98,3.60,3.60,-3.61,-3.59,-4.59,6.37,6.37,6.38
31.93,9.95,9.95,3.58,3.58,-3.58,-3.57,-4.58,6.37,6.37,6.37
32.24,9.93,9.93,3.56,3.56,-3.55,-3.55,-4.57,6.37,6.37,6.37
32.57,9.90,9.90,3.53,3.53,-3.53,-3.52,-4.54,6.37,6.37,6.37
32.89,9.86,9.86,3.50,3.50,-3.50,-3.50,-4.51,6.36,6.36,6.36
33.22,9.83,9.83,3.47,3.47,-3.47,-3.47,-4.48,6.36,6.36,6.36
33.55,9.80,9.80,3.44,3.44,-3.44,-3.45,-4.44,6.36,6.35,6.36
33.89,9.77,9.77,3.42,3.41,-3.42,-3.42,-4.39,6.35,6.35,6.35
34.23,9.73,9.73,3.38,3.39,-3.39,-3.40,-4.34,6.34,6.35,6.35
34.57,9.70,9.70,3.36,3.36,-3.36,-3.37,-4.28,6.34,6.34,6.34
34.92,9.67,9.67,3.33,3.33,-3.33,-3.35,-4.22,6.34,6.34,6.34
35.27,9.64,9.64,3.31,3.31,-3.30,-3.32,-4.15,6.34,6.34,6.33
