frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.74,7.74,-0.18,-0.18,0.18,0.20,-0.02,7.92,7.92,7.92
20.20,7.74,7.74,-0.18,-0.18,0.18,0.20,-0.02,7.91,7.92,7.92
20.40,7.75,7.75,-0.17,-0.17,0.17,0.20,-0.02,7.92,7.92,7.92
20.61,7.76,7.76,-0.16,-0.16,0.16,0.20,-0.02,7.92,7.92,7.92
20.81,7.76,7.76,-0.16,-0.16,0.16,0.20,-0.02,7.92,7.92,7.92
21.02,7.77,7.77,-0.15,-0.15,0.15,0.20,-0.02,7.92,7.92,7.92
21.23,7.77,7.77,-0.15,-0.14,0.15,0.19,-0.02,7.92,7.92,7.92
21.44,7.78,7.78,-0.14,-0.14,0.14,0.19,-0.02,7.92,7.92,7.92
21.66,7.78,7.78,-0.14,-0.14,0.14,0.19,-0.02,7.92,7.92,7.91
21.87,7.78,7.78,-0.14,-0.13,0.13,0.19,-0.02,7.91,7.91,7.91
22.09,7.78,7.78,-0.13,-0.13,0.13,0.19,-0.02,7.91,7.91,7.91
22.31,7.79,7.79,-0.12,-0.13,0.12,0.19,-0.02,7.91,7.91,7.91
22.54,7.79,7.79,-0.12,-0.12,0.12,0.18,-0.03,7.91,7.91,7.91
22.76,7.80,7.80,-0.11,-0.11,0.11,0.18,-0.03,7.91,7.91,7.91
22.99,7.80,7.80,-0.11,-0.11,0.11,0.18,-0.03,7.91,7.91,7.91
23.22,7.81,7.81,-0.10,-0.10,0.10,0.18,-0.03,7.91,7.91,7.91
23.45,7.82,7.81,-0.09,-0.09,0.09,0.18,-0.03,7.91,7.91,7.91
23.69,7.82,7.82,-0.09,-0.08,0.08,0.17,-0.03,7.90,7.91,7.91
23.92,7.83,7.83,-0.08,-0.08,0.08,0.17,-0.03,7.91,7.91,7.91
24.16,7.84,7.83,-0.07,-0.07,0.07,0.17,-0.03,7.91,7.91,7.90
24.40,7.84,7.84,-0.06,-0.06,0.06,0.17,-0.03,7.90,7.90,7.90
