frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.76,12.76,5.52,5.52,-5.52,-4.63,-2.33,7.24,7.24,7.24
20.20,12.75,12.75,5.51,5.52,-5.52,-4.63,-2.40,7.23,7.24,7.24
20.40,12.75,12.75,5.51,5.51,-5.51,-4.63,-2.47,7.24,7.24,7.24
20.61,12.74,12.74,5.50,5.51,-5.50,-4.63,-2.54,7.24,7.24,7.24
20.81,12.74,12.74,5.50,5.50,-5.50,-4.63,-2.61,7.24,7.24,7.24
21.02,12.73,12.73,5.49,5.49,-5.49,-4.63,-2.69,7.24,7.24,7.24
21.23,12.72,12.72,5.48,5.49,-5.48,-4.63,-2.76,7.24,7.24,7.24
21.44,12.71,12.71,5.48,5.48,-5.47,-4.63,-2.84,7.24,7.24,7.24
21.66,12.70,12.70,5.47,5.46,-5.46,-4.63,-2.92,7.24,7.23,7.23
21.87,12.68,12.68,5.45,5.45,-5.45,-4.63,-3.01,7.23,7.23,7.23
22.09,12.67,12.67,5.44,5.44,-5.44,-4.63,-3.10,7.23,7.23,7.23
22.31,12.66,12.66,5.43,5.43,-5.43,-4.63,-3.19,7.23,7.23,7.23
22.54,12.65,12.65,5.42,5.42,-5.42,-4.63,-3.28,7.23,7.23,7.23
22.76,12.64,12.64,5.41,5.41,-5.41,-4.63,-3.37,7.23,7.23,7.23
22.99,12.63,12.63,5.40,5.40,-5.40,-4.63,-3.47,7.23,7.23,7.23
23.22,12.62,12.62,5.39,5.39,-5.39,-4.63,-3.56,7.23,7.23,7.23
23.45,12.61,12.61,5.38,5.38,-5.38,-4.63,-3.66,7.23,7.23,7.23
23.69,12.60,12.60,5.38,5.38,-5.37,-4.63,-3.77,7.23,7.23,7.23
23.92,12.59,12.59,5.37,5.37,-5.36,-4.63,-3.87,7.23,7.23,7.23
24.16,12.58,12.58,5.36,5.35,-5.35,-4.63,-3.98,7.23,7.23,7.22
24.40,12.56,12.56,5.34,5.34,-5.34,-4.63,-4.08,7.22,7.23,7.22
24.65,12.55,12.55,5.33,5.33,-5.33,-4.63,-4.19,7.22,7.22,7.22
24.89,12.53,12.53,5.31,5.31,-5.32,-4.63,-4.30,7.22,7.22,7.22
25.14,12.52,12.52,5.30,5.30,-5.30,-4.63,-4.42,7.22,7.21,7.22
25.39,12.50,12.51,5.28,5.29,-5.29,-4.63,-4.53,7.21,7.21,7.22
25.65,12.50,12.50,5.29,5.28,-5.28,-4.63,-4.64,7.22,7.21,7.22
25.91,12.49,12.49,5.28,5.28,-5.27,-4.63,-4.76,7.22,7.22,7.21
26.16,12.48,12.48,5.27,5.27,-5.26,-4.63,-4.87,7.22,7.22,7.21
26.43,12.47,12.47,5.26,5.26,-5.25,-4.63,-4.98,7.22,7.22,7.21
26.69,12.45,12.46,5.24,5.25,-5.24,-4.63,-5.09,7.21,7.21,7.21
26.96,12.44,12.44,5.23,5.23,-5.23,-4.63,-5.21,7.21,7.21,7.21
27.23,12.42,12.42,5.22,5.21,-5.21,-4.63,-5.31,7.21,7.21,7.21
27.50,12.40,12.40,5.20,5.20,-5.20,-4.63,-5.42,7.20,7.20,7.20
27.77,12.38,12.38,5.18,5.18,-5.18,-4.63,-5.52,7.20,7.20,7.20
28.05,12.36,12.36,5.16,5.16,-5.17,-4.63,-5.62,7.19,7.20,7.20
28.33,12.35,12.35,5.15,5.15,-5.15,-4.62,-5.71,7.20,7.19,7.20
28.62,12.33,12.33,5.14,5.14,-5.14,-4.62,-5.80,7.19,7.19,7.20
