frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.95,14.95,3.66,3.66,-3.66,-3.75,-1.78,11.29,11.28,11.28
20.20,14.96,14.96,3.68,3.68,-3.68,-3.75,-1.83,11.28,11.28,11.28
20.40,14.98,14.98,3.70,3.70,-3.70,-3.76,-1.88,11.28,11.28,11.28
20.61,15.00,15.00,3.72,3.71,-3.71,-3.77,-1.94,11.29,11.28,11.28
20.81,15.01,15.01,3.73,3.73,-3.73,-3.78,-1.99,11.28,11.28,11.28
21.02,15.03,15.03,3.75,3.75,-3.75,-3.79,-2.05,11.28,11.28,11.28
21.23,15.04,15.04,3.76,3.76,-3.76,-3.80,-2.11,11.28,11.28,11.28
21.44,15.06,15.06,3.78,3.78,-3.78,-3.81,-2.17,11.28,11.28,11.28
21.66,15.08,15.07,3.80,3.80,-3.80,-3.82,-2.23,11.28,11.28,11.28
21.87,15.09,15.09,3.81,3.82,-3.81,-3.83,-2.30,11.27,11.28,11.28
22.09,15.11,15.11,3.83,3.83,-3.83,-3.84,-2.36,11.28,11.28,11.28
22.31,15.13,15.12,3.85,3.85,-3.85,-3.85,-2.43,11.28,11.27,11.28
22.54,15.14,15.14,3.86,3.87,-3.87,-3.87,-2.50,11.27,11.27,11.27
22.76,15.16,15.16,3.88,3.88,-3.89,-3.88,-2.57,11.27,11.27,11.27
22.99,15.18,15.18,3.91,3.90,-3.90,-3.89,-2.65,11.28,11.27,11.27
23.22,15.19,15.19,3.92,3.92,-3.92,-3.90,-2.72,11.27,11.27,11.27
23.45,15.21,15.21,3.94,3.93,-3.93,-3.92,-2.80,11.27,11.27,11.27
23.69,15.22,15.22,3.95,3.95,-3.95,-3.93,-2.87,11.27,11.27,11.27
23.92,15.23,15.23,3.96,3.96,-3.96,-3.94,-2.95,11.26,11.27,11.27
24.16,15.25,15.25,3.98,3.98,-3.98,-3.96,-3.03,11.27,11.27,11.27
24.40,15.26,15.26,3.99,3.99,-3.99,-3.97,-3.12,11.27,11.27,11.27
24.65,15.27,15.27,4.00,4.00,-4.00,-3.99,-3.20,11.27,11.27,11.26
24.89,15.28,15.28,4.02,4.02,-4.02,-4.00,-3.28,11.26,11.26,11.26
25.14,15.29,15.29,4.03,4.03,-4.03,-4.01,-3.37,11.26,11.26,11.26
25.39,15.30,15.30,4.04,4.04,-4.04,-4.03,-3.45,11.26,11.26,11.26
25.65,15.31,15.31,4.05,4.05,-4.05,-4.04,-3.54,11.26,11.26,11.26
25.91,15.32,15.32,4.06,4.06,-4.06,-4.06,-3.63,11.26,11.26,11.26
26.16,15.33,15.33,4.07,4.07,-4.07,-4.07,-3.71,11.26,11.26,11.26
26.43,15.34,15.34,4.08,4.08,-4.08,-4.09,-3.80,11.25,11.25,11.25
26.69,15.35,15.35,4.10,4.10,-4.10,-4.10,-3.88,11.25,11.25,11.25
26.96,15.36,15.36,4.11,4.11,-4.11,-4.11,-3.97,11.25,11.25,11.25
27.23,15.37,15.37,4.12,4.12,-4.12,-4.13,-4.05,11.25,11.25,11.25
27.50,15.38,15.38,4.13,4.13,-4.13,-4.14,-4.13,11.25,11.25,11.25
27.77,15.38,15.38,4.13,4.14,-4.13,-4.15,-4.21,11.24,11.25,11.25
