frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.89,10.89,2.81,2.81,-2.81,-3.98,-1.89,8.08,8.08,8.07
20.20,10.94,10.93,2.86,2.86,-2.86,-3.99,-1.94,8.08,8.08,8.07
20.40,10.98,10.98,2.90,2.90,-2.90,-3.99,-2.00,8.07,8.07,8.07
20.61,11.02,11.02,2.94,2.95,-2.95,-3.99,-2.06,8.07,8.07,8.07
20.81,11.07,11.07,2.99,2.99,-3.00,-3.99,-2.11,8.07,8.07,8.07
21.02,11.12,11.11,3.04,3.04,-3.04,-3.99,-2.18,8.07,8.07,8.07
21.23,11.16,11.16,3.09,3.09,-3.09,-4.00,-2.24,8.06,8.07,8.07
21.44,11.21,11.21,3.14,3.14,-3.14,-4.00,-2.30,8.07,8.07,8.07
21.66,11.26,11.26,3.19,3.19,-3.19,-4.00,-2.37,8.07,8.07,8.07
21.87,11.31,11.31,3.24,3.24,-3.24,-4.00,-2.44,8.07,8.07,8.07
22.09,11.36,11.36,3.29,3.29,-3.29,-4.01,-2.51,8.07,8.07,8.07
22.31,11.41,11.40,3.34,3.34,-3.34,-4.01,-2.58,8.07,8.07,8.07
22.54,11.45,11.45,3.38,3.38,-3.38,-4.01,-2.65,8.06,8.07,8.07
22.76,11.50,11.49,3.43,3.43,-3.43,-4.01,-2.73,8.07,8.07,8.06
22.99,11.54,11.54,3.47,3.47,-3.47,-4.02,-2.81,8.07,8.07,8.06
23.22,11.58,11.58,3.51,3.51,-3.51,-4.02,-2.89,8.06,8.06,8.06
23.45,11.62,11.61,3.55,3.55,-3.55,-4.02,-2.97,8.06,8.06,8.06
23.69,11.65,11.65,3.59,3.59,-3.59,-4.03,-3.05,8.06,8.06,8.06
23.92,11.69,11.69,3.63,3.63,-3.63,-4.03,-3.14,8.06,8.06,8.06
24.16,11.73,11.72,3.67,3.66,-3.67,-4.03,-3.22,8.06,8.06,8.06
24.40,11.76,11.76,3.70,3.70,-3.70,-4.03,-3.31,8.05,8.06,8.06
24.65,11.80,11.79,3.74,3.74,-3.74,-4.04,-3.40,8.06,8.05,8.06
24.89,11.83,11.83,3.77,3.78,-3.78,-4.04,-3.49,8.05,8.05,8.05
25.14,11.87,11.87,3.81,3.81,-3.82,-4.04,-3.58,8.05,8.05,8.05
25.39,11.91,11.90,3.85,3.85,-3.85,-4.05,-3.67,8.05,8.05,8.05
25.65,11.94,11.94,3.89,3.89,-3.89,-4.05,-3.76,8.05,8.05,8.05
25.91,11.98,11.97,3.93,3.92,-3.92,-4.05,-3.85,8.05,8.05,8.05
26.16,12.01,12.01,3.96,3.96,-3.96,-4.06,-3.95,8.05,8.05,8.05
26.43,12.04,12.04,3.99,3.99,-3.99,-4.06,-4.04,8.05,8.05,8.05
26.69,12.07,12.06,4.02,4.02,-4.02,-4.06,-4.13,8.05,8.04,8.04
26.96,12.09,12.09,4.04,4.05,-4.05,-4.07,-4.22,8.04,8.04,8.04
27.23,12.12,12.12,4.08,4.08,-4.08,-4.07,-4.30,8.03,8.04,8.04
27.50,12.15,12.15,4.11,4.11,-4.11,-4.07,-4.39,8.04,8.04,8.04
27.77,12.18,12.18,4.14,4.14,-4.14,-4.08,-4.47,8.04,8.04,8.04
28.05,12.21,12.20,4.17,4.17,-4.17,-4.08,-4.55,8.04,8.04,8.03
28.33,12.23,12.23,4.19,4.20,-4.19,-4.08,-4.63,8.03,8.04,8.03
28.62,12.26,12.25,4.23,4.22,-4.22,-4.09,-4.70,8.04,8.03,8.03
28.90,12.28,12.28,4.25,4.25,-4.24,-4.09,-4.77,8.03,8.03,8.03
29.19,12.30,12.29,4.27,4.27,-4.27,-4.09,-4.84,8.03,8.03,8.03
29.48,12.31,12.31,4.28,4.29,-4.29,-4.10,-4.89,8.02,8.02,8.02
29.78,12.33,12.33,4.31,4.31,-4.31,-4.10,-4.95,8.02,8.02,8.02
30.08,12.35,12.34,4.33,4.33,-4.33,-4.11,-4.99,8.01,8.01,8.02
30.38,12.37,12.37,4.35,4.35,-4.35,-4.11,-5.04,8.01,8.02,8.02
30.68,12.39,12.39,4.37,4.37,-4.37,-4.11,-5.07,8.01,8.01,8.01
30.99,12.41,12.40,4.40,4.39,-4.39,-4.12,-5.10,8.01,8.01,8.01
31.30,12.42,12.42,4.41,4.41,-4.41,-4.12,-5.12,8.00,8.01,8.01
31.61,12.44,12.44,4.43,4.43,-4.43,-4.13,-5.14,8.00,8.00,8.00
31.93,12.46,12.45,4.46,4.45,-4.45,-4.13,-5.14,8.00,8.00,8.00
32.24,12.47,12.47,4.47,4.47,-4.47,-4.14,-5.15,8.00,8.00,8.00
32.57,12.48,12.48,4.48,4.48,-4.49,-4.14,-5.14,7.99,7.99,7.99
32.89,12.49,12.49,4.50,4.50,-4.50,-4.14,-5.13,7.99,7.99,7.99
33.22,12.51,12.50,4.52,4.52,-4.52,-4.15,-5.12,7.99,7.99,7.99
33.55,12.52,12.51,4.53,4.53,-4.53,-4.15,-5.10,7.99,7.98,7.98
33.89,12.52,12.52,4.54,4.54,-4.54,-4.16,-5.07,7.97,7.98,7.98
34.23,12.53,12.53,4.55,4.55,-4.55,-4.16,-5.04,7.97,7.97,7.97
34.57,12.54,12.53,4.57,4.56,-4.57,-4.17,-5.01,7.97,7.97,7.97
34.92,12.54,12.54,4.57,4.58,-4.58,-4.17,-4.97,7.96,7.96,7.96
35.27,12.55,12.55,4.59,4.59,-4.59,-4.18,-4.93,7.96,7.96,7.96
35.62,12.56,12.55,4.60,4.60,-4.60,-4.18,-4.89,7.96,7.95,7.96
35.97,12.56,12.56,4.61,4.61,-4.61,-4.19,-4.84,7.95,7.95,7.95
36.33,12.56,12.56,4.61,4.62,-4.61,-4.19,-4.80,7.94,7.95,7.94
36.70,12.57,12.56,4.63,4.62,-4.62,-4.20,-4.75,7.94,7.94,7.94
37.06,12.57,12.57,4.63,4.63,-4.63,-4.20,-4.71,7.93,7.93,7.93
37.43,12.57,12.57,4.64,4.64,-4.64,-4.21,-4.66,7.93,7.93,7.93
37.81,12.57,12.57,4.64,4.64,-4.65,-4.22,-4.61,7.92,7.92,7.92
38.19,12.57,12.57,4.65,4.65,-4.65,-4.22,-4.57,7.91,7.91,7.92
38.57,12.57,12.57,4.66,4.66,-4.66,-4.23,-4.52,7.91,7.91,7.91
38.95,12.57,12.57,4.66,4.66,-4.66,-4.23,-4.48,7.90,7.90,7.90
39.34,12.57,12.56,4.67,4.67,-4.67,-4.24,-4.44,7.90,7.90,7.89
39.74,12.56,12.56,4.67,4.67,-4.67,-4.24,-4.40,7.89,7.89,7.89
40.14,12.56,12.55,4.68,4.67,-4.67,-4.25,-4.36,7.88,7.88,7.88
40.54,12.55,12.55,4.67,4.67,-4.68,-4.25,-4.33,7.87,7.87,7.87
40.94,12.54,12.54,4.67,4.68,-4.68,-4.26,-4.29,7.86,7.86,7.86
41.35,12.54,12.53,4.68,4.68,-4.68,-4.27,-4.26,7.86,7.85,7.86
41.76,12.53,12.52,4.68,4.68,-4.68,-4.27,-4.23,7.85,7.85,7.85
42.18,12.52,12.52,4.68,4.68,-4.68,-4.28,-4.21,7.84,7.84,7.84
42.60,12.51,12.51,4.68,4.68,-4.68,-4.28,-4.19,7.83,7.83,7.83
43.03,12.51,12.50,4.69,4.68,-4.68,-4.29,-4.17,7.83,7.82,7.82
43.46,12.49,12.49,4.68,4.68,-4.68,-4.30,-4.15,7.81,7.81,7.81
43.90,12.48,12.48,4.68,4.68,-4.68,-4.30,-4.14,7.80,7.80,7.80
44.33,12.47,12.47,4.68,4.68,-4.68,-4.31,-4.13,7.79,7.79,7.79
44.78,12.46,12.46,4.68,4.68,-4.68,-4.31,-4.13,7.78,7.78,7.78
45.23,12.45,12.44,4.68,4.68,-4.68,-4.32,-4.12,7.77,7.77,7.76
45.68,12.43,12.43,4.67,4.68,-4.68,-4.33,-4.12,7.75,7.75,7.75
46.13,12.42,12.41,4.68,4.67,-4.67,-4.33,-4.13,7.74,7.74,7.74
46.60,12.40,12.40,4.67,4.67,-4.67,-4.34,-4.13,7.73,7.73,7.73
47.06,12.38,12.38,4.66,4.67,-4.67,-4.35,-4.14,7.71,7.71,7.71
47.53,12.37,12.36,4.67,4.66,-4.66,-4.35,-4.16,7.70,7.70,7.70
48.01,12.35,12.35,4.66,4.66,-4.66,-4.36,-4.17,7.69,7.69,7.69
48.49,12.33,12.33,4.66,4.66,-4.66,-4.37,-4.19,7.67,7.67,7.67
48.97,12.31,12.31,4.65,4.65,-4.65,-4.37,-4.21,7.66,7.66,7.66
49.46,12.29,12.29,4.65,4.65,-4.64,-4.38,-4.23,7.64,7.64,7.64
49.96,12.27,12.26,4.64,4.64,-4.64,-4.38,-4.26,7.63,7.62,7.62
50.46,12.24,12.24,4.63,4.63,-4.63,-4.39,-4.28,7.60,7.61,7.61
50.96,12.22,12.21,4.63,4.63,-4.63,-4.40,-4.31,7.59,7.59,7.59
51.47,12.19,12.19,4.62,4.62,-4.62,-4.40,-4.34,7.57,7.57,7.57
