frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.95,9.95,3.84,3.84,-3.83,-3.93,-1.59,6.12,6.12,6.11
20.20,9.94,9.94,3.83,3.83,-3.83,-3.92,-1.64,6.11,6.11,6.11
20.40,9.94,9.94,3.83,3.82,-3.83,-3.91,-1.69,6.11,6.11,6.11
20.61,9.93,9.93,3.82,3.82,-3.82,-3.89,-1.74,6.11,6.11,6.11
20.81,9.93,9.93,3.82,3.82,-3.82,-3.88,-1.79,6.11,6.11,6.11
21.02,9.93,9.93,3.82,3.82,-3.82,-3.87,-1.85,6.11,6.10,6.11
21.23,9.93,9.93,3.82,3.82,-3.82,-3.86,-1.90,6.10,6.10,6.11
21.44,9.93,9.93,3.82,3.82,-3.83,-3.85,-1.96,6.10,6.11,6.11
21.66,9.94,9.94,3.83,3.83,-3.83,-3.83,-2.02,6.11,6.11,6.11
21.87,9.94,9.94,3.83,3.84,-3.83,-3.82,-2.08,6.10,6.11,6.11
22.09,9.95,9.95,3.84,3.84,-3.84,-3.81,-2.14,6.11,6.11,6.11
22.31,9.95,9.95,3.84,3.84,-3.84,-3.80,-2.20,6.11,6.11,6.10
22.54,9.95,9.95,3.85,3.85,-3.84,-3.78,-2.26,6.11,6.11,6.10
22.76,9.95,9.95,3.85,3.84,-3.84,-3.77,-2.33,6.11,6.10,6.10
22.99,9.94,9.94,3.84,3.84,-3.84,-3.76,-2.40,6.10,6.10,6.10
23.22,9.94,9.94,3.84,3.84,-3.84,-3.74,-2.47,6.10,6.10,6.10
23.45,9.93,9.93,3.83,3.83,-3.83,-3.73,-2.54,6.09,6.10,6.10
23.69,9.93,9.93,3.83,3.83,-3.83,-3.72,-2.61,6.10,6.10,6.10
23.92,9.92,9.92,3.82,3.82,-3.83,-3.70,-2.69,6.09,6.10,6.10
24.16,9.92,9.92,3.82,3.82,-3.82,-3.69,-2.76,6.10,6.10,6.10
24.40,9.91,9.91,3.81,3.81,-3.81,-3.67,-2.84,6.10,6.10,6.10
24.65,9.90,9.90,3.81,3.81,-3.80,-3.66,-2.92,6.10,6.10,6.09
24.89,9.89,9.89,3.80,3.79,-3.79,-3.65,-2.99,6.10,6.10,6.09
25.14,9.87,9.87,3.78,3.78,-3.78,-3.63,-3.07,6.09,6.09,6.09
25.39,9.85,9.85,3.76,3.76,-3.76,-3.62,-3.15,6.08,6.09,6.09
25.65,9.84,9.84,3.75,3.75,-3.75,-3.60,-3.23,6.09,6.08,6.09
25.91,9.82,9.82,3.73,3.73,-3.74,-3.59,-3.31,6.08,6.08,6.09
26.16,9.81,9.81,3.72,3.72,-3.73,-3.57,-3.39,6.08,6.08,6.09
26.43,9.80,9.80,3.72,3.71,-3.72,-3.56,-3.47,6.08,6.08,6.08
26.69,9.79,9.79,3.71,3.71,-3.71,-3.54,-3.54,6.08,6.08,6.08
26.96,9.78,9.78,3.70,3.70,-3.70,-3.52,-3.62,6.08,6.08,6.08
27.23,9.77,9.77,3.69,3.69,-3.69,-3.51,-3.69,6.08,6.08,6.08
27.50,9.76,9.76,3.68,3.68,-3.67,-3.49,-3.76,6.08,6.08,6.08
27.77,9.74,9.74,3.66,3.66,-3.66,-3.48,-3.83,6.08,6.08,6.07
28.05,9.72,9.72,3.65,3.65,-3.65,-3.46,-3.90,6.07,6.07,6.07
28.33,9.70,9.70,3.63,3.63,-3.63,-3.44,-3.96,6.07,6.07,6.07
28.62,9.68,9.68,3.61,3.61,-3.62,-3.43,-4.02,6.06,6.07,6.07
28.90,9.67,9.67,3.60,3.60,-3.60,-3.41,-4.07,6.07,6.07,6.07
29.19,9.65,9.65,3.59,3.58,-3.58,-3.40,-4.12,6.07,6.07,6.06
29.48,9.63,9.63,3.57,3.57,-3.57,-3.38,-4.16,6.06,6.06,6.06
29.78,9.61,9.61,3.55,3.55,-3.55,-3.36,-4.20,6.06,6.06,6.06
30.08,9.59,9.59,3.53,3.53,-3.53,-3.34,-4.23,6.06,6.06,6.06
30.38,9.57,9.57,3.52,3.51,-3.51,-3.33,-4.26,6.06,6.05,6.05
30.68,9.54,9.54,3.49,3.49,-3.49,-3.31,-4.28,6.05,6.05,6.05
30.99,9.52,9.52,3.47,3.47,-3.47,-3.29,-4.29,6.04,6.04,6.05
31.30,9.50,9.50,3.45,3.45,-3.46,-3.28,-4.30,6.04,6.04,6.05
31.61,9.48,9.48,3.44,3.44,-3.44,-3.26,-4.30,6.04,6.04,6.04
31.93,9.46,9.46,3.42,3.42,-3.42,-3.24,-4.29,6.04,6.04,6.04
32.24,9.44,9.44,3.40,3.41,-3.41,-3.22,-4.27,6.03,6.04,6.04
32.57,9.43,9.42,3.40,3.39,-3.39,-3.20,-4.25,6.04,6.04,6.03
32.89,9.40,9.40,3.37,3.37,-3.37,-3.19,-4.23,6.03,6.03,6.03
33.22,9.38,9.38,3.35,3.35,-3.35,-3.17,-4.19,6.03,6.03,6.02
33.55,9.35,9.35,3.33,3.33,-3.33,-3.15,-4.16,6.02,6.02,6.02
33.89,9.32,9.32,3.30,3.30,-3.31,-3.13,-4.11,6.01,6.01,6.02
34.23,9.29,9.29,3.28,3.28,-3.28,-3.11,-4.06,6.01,6.01,6.01
34.57,9.26,9.26,3.25,3.26,-3.26,-3.09,-4.01,6.00,6.01,6.01
34.92,9.24,9.24,3.24,3.23,-3.23,-3.07,-3.96,6.01,6.01,6.00
35.27,9.21,9.21,3.21,3.21,-3.20,-3.05,-3.90,6.01,6.00,6.00
35.62,9.17,9.17,3.18,3.18,-3.18,-3.04,-3.83,5.99,6.00,5.99
35.97,9.14,9.14,3.15,3.15,-3.15,-3.02,-3.77,5.99,5.99,5.99
36.33,9.10,9.10,3.12,3.12,-3.12,-3.00,-3.70,5.98,5.98,5.98
36.70,9.07,9.07,3.09,3.09,-3.10,-2.98,-3.63,5.97,5.97,5.98
37.06,9.04,9.04,3.07,3.07,-3.07,-2.96,-3.56,5.97,5.97,5.97
37.43,9.01,9.01,3.04,3.04,-3.05,-2.94,-3.49,5.96,5.96,5.97
37.81,8.98,8.98,3.02,3.02,-3.02,-2.92,-3.42,5.96,5.96,5.96
