frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.29,8.29,1.45,1.45,-1.45,-1.29,-0.68,6.84,6.84,6.84
20.20,8.29,8.29,1.45,1.45,-1.45,-1.30,-0.70,6.83,6.84,6.84
20.40,8.30,8.30,1.46,1.46,-1.46,-1.31,-0.72,6.84,6.84,6.84
20.61,8.31,8.31,1.47,1.47,-1.47,-1.32,-0.74,6.84,6.84,6.84
20.81,8.31,8.31,1.47,1.48,-1.47,-1.33,-0.76,6.84,6.84,6.84
21.02,8.32,8.32,1.48,1.48,-1.48,-1.34,-0.78,6.84,6.84,6.84
21.23,8.32,8.32,1.48,1.49,-1.49,-1.35,-0.81,6.83,6.83,6.84
21.44,8.33,8.33,1.49,1.49,-1.49,-1.37,-0.83,6.84,6.83,6.83
21.66,8.33,8.33,1.50,1.50,-1.50,-1.38,-0.86,6.83,6.83,6.83
21.87,8.34,8.34,1.51,1.51,-1.51,-1.40,-0.88,6.83,6.83,6.83
22.09,8.35,8.35,1.52,1.51,-1.51,-1.41,-0.91,6.84,6.83,6.83
22.31,8.35,8.35,1.52,1.52,-1.52,-1.43,-0.94,6.83,6.83,6.83
22.54,8.36,8.36,1.53,1.53,-1.53,-1.45,-0.96,6.83,6.83,6.83
22.76,8.36,8.36,1.53,1.53,-1.53,-1.47,-0.99,6.83,6.83,6.83
22.99,8.37,8.37,1.54,1.54,-1.54,-1.49,-1.02,6.83,6.83,6.83
23.22,8.37,8.37,1.54,1.54,-1.54,-1.51,-1.05,6.83,6.83,6.83
23.45,8.37,8.37,1.54,1.54,-1.54,-1.53,-1.08,6.83,6.83,6.83
23.69,8.37,8.37,1.54,1.54,-1.55,-1.55,-1.11,6.82,6.82,6.83
23.92,8.37,8.37,1.55,1.55,-1.55,-1.57,-1.14,6.82,6.82,6.82
24.16,8.37,8.37,1.55,1.55,-1.55,-1.59,-1.18,6.82,6.82,6.82
24.40,8.38,8.38,1.56,1.55,-1.55,-1.61,-1.21,6.83,6.82,6.82
24.65,8.38,8.38,1.56,1.56,-1.55,-1.62,-1.24,6.82,6.82,6.82
24.89,8.38,8.38,1.56,1.56,-1.56,-1.64,-1.27,6.82,6.82,6.82
25.14,8.38,8.38,1.56,1.56,-1.56,-1.66,-1.31,6.82,6.82,6.82
25.39,8.37,8.37,1.55,1.56,-1.56,-1.67,-1.34,6.81,6.81,6.82
25.65,8.37,8.37,1.55,1.55,-1.56,-1.68,-1.37,6.81,6.81,6.81
25.91,8.37,8.37,1.56,1.55,-1.56,-1.69,-1.41,6.81,6.81,6.81
26.16,8.37,8.37,1.56,1.56,-1.56,-1.69,-1.44,6.81,6.81,6.81
26.43,8.37,8.37,1.56,1.56,-1.56,-1.70,-1.47,6.81,6.81,6.81
26.69,8.37,8.37,1.56,1.56,-1.56,-1.69,-1.51,6.81,6.81,6.81
26.96,8.36,8.36,1.55,1.56,-1.56,-1.69,-1.54,6.80,6.81,6.81
27.23,8.36,8.36,1.55,1.55,-1.55,-1.68,-1.57,6.80,6.80,6.81
27.50,8.36,8.36,1.56,1.55,-1.55,-1.67,-1.60,6.81,6.80,6.80
27.77,8.35,8.35,1.55,1.55,-1.55,-1.65,-1.63,6.80,6.80,6.80
28.05,8.35,8.35,1.55,1.55,-1.55,-1.64,-1.65,6.80,6.80,6.80
28.33,8.34,8.34,1.54,1.54,-1.55,-1.62,-1.68,6.79,6.80,6.80
28.62,8.34,8.34,1.54,1.54,-1.54,-1.60,-1.70,6.80,6.79,6.79
28.90,8.33,8.33,1.54,1.54,-1.54,-1.58,-1.73,6.79,6.79,6.79
29.19,8.33,8.33,1.54,1.54,-1.53,-1.56,-1.75,6.79,6.79,6.79
29.48,8.32,8.32,1.53,1.53,-1.53,-1.54,-1.76,6.79,6.79,6.79
29.78,8.31,8.31,1.52,1.52,-1.52,-1.52,-1.78,6.79,6.79,6.79
30.08,8.30,8.30,1.52,1.52,-1.52,-1.50,-1.79,6.78,6.78,6.78
30.38,8.29,8.29,1.51,1.51,-1.51,-1.48,-1.80,6.78,6.78,6.78
30.68,8.28,8.28,1.50,1.50,-1.50,-1.46,-1.81,6.78,6.78,6.78
30.99,8.27,8.27,1.50,1.49,-1.50,-1.44,-1.82,6.77,6.77,6.77
31.30,8.26,8.26,1.49,1.49,-1.49,-1.42,-1.82,6.77,6.77,6.77
31.61,8.25,8.25,1.48,1.48,-1.48,-1.40,-1.82,6.77,6.77,6.77
31.93,8.24,8.24,1.47,1.47,-1.47,-1.38,-1.81,6.77,6.77,6.76
32.24,8.23,8.23,1.47,1.46,-1.46,-1.37,-1.81,6.76,6.76,6.76
32.57,8.21,8.21,1.45,1.46,-1.45,-1.35,-1.80,6.75,6.76,6.76
32.89,8.20,8.20,1.44,1.44,-1.45,-1.34,-1.79,6.75,6.75,6.75
33.22,8.19,8.19,1.44,1.44,-1.44,-1.32,-1.78,6.75,6.75,6.75
33.55,8.17,8.17,1.42,1.43,-1.43,-1.31,-1.76,6.74,6.75,6.75
33.89,8.16,8.16,1.42,1.41,-1.41,-1.29,-1.74,6.74,6.74,6.74
34.23,8.14,8.14,1.40,1.40,-1.40,-1.28,-1.72,6.74,6.74,6.74
34.57,8.13,8.13,1.40,1.39,-1.39,-1.27,-1.70,6.74,6.73,6.73
34.92,8.11,8.11,1.38,1.38,-1.38,-1.26,-1.68,6.73,6.73,6.73
35.27,8.10,8.10,1.37,1.37,-1.37,-1.25,-1.65,6.73,6.73,6.72
35.62,8.08,8.08,1.36,1.36,-1.36,-1.24,-1.63,6.72,6.72,6.72
35.97,8.06,8.06,1.34,1.35,-1.35,-1.23,-1.60,6.71,6.71,6.71
