frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.52,13.52,7.35,7.35,-7.35,-5.87,-2.94,6.16,6.16,6.17
20.20,13.51,13.51,7.34,7.34,-7.34,-5.87,-3.02,6.17,6.16,6.17
20.40,13.49,13.49,7.32,7.33,-7.33,-5.87,-3.10,6.16,6.17,6.16
20.61,13.48,13.48,7.31,7.31,-7.31,-5.86,-3.19,6.17,6.17,6.16
20.81,13.46,13.46,7.29,7.29,-7.29,-5.86,-3.28,6.17,6.17,6.16
21.02,13.44,13.44,7.27,7.28,-7.27,-5.86,-3.38,6.16,6.17,6.16
21.23,13.42,13.42,7.26,7.25,-7.25,-5.86,-3.47,6.16,6.16,6.16
21.44,13.40,13.40,7.24,7.23,-7.23,-5.86,-3.57,6.16,6.16,6.16
21.66,13.37,13.37,7.21,7.21,-7.21,-5.86,-3.67,6.16,6.16,6.16
21.87,13.35,13.35,7.19,7.19,-7.19,-5.85,-3.78,6.16,6.16,6.16
22.09,13.32,13.32,7.16,7.16,-7.16,-5.85,-3.88,6.16,6.16,6.16
22.31,13.30,13.29,7.14,7.14,-7.14,-5.85,-3.99,6.16,6.16,6.16
22.54,13.27,13.27,7.11,7.11,-7.11,-5.85,-4.10,6.16,6.16,6.16
22.76,13.24,13.24,7.08,7.09,-7.09,-5.85,-4.22,6.15,6.16,6.16
22.99,13.22,13.21,7.06,7.06,-7.06,-5.84,-4.34,6.16,6.16,6.16
23.22,13.19,13.19,7.03,7.03,-7.03,-5.84,-4.46,6.16,6.16,6.15
23.45,13.16,13.16,7.00,7.01,-7.00,-5.84,-4.58,6.15,6.16,6.15
23.69,13.13,13.13,6.98,6.98,-6.97,-5.84,-4.71,6.15,6.15,6.15
23.92,13.10,13.10,6.95,6.95,-6.95,-5.84,-4.84,6.15,6.15,6.15
24.16,13.07,13.07,6.92,6.92,-6.92,-5.83,-4.97,6.15,6.15,6.15
24.40,13.04,13.04,6.89,6.89,-6.89,-5.83,-5.10,6.14,6.15,6.15
24.65,13.02,13.01,6.87,6.87,-6.87,-5.83,-5.24,6.15,6.14,6.15
24.89,12.99,12.99,6.84,6.84,-6.85,-5.83,-5.38,6.14,6.14,6.15
25.14,12.97,12.97,6.82,6.82,-6.83,-5.82,-5.52,6.14,6.14,6.14
25.39,12.95,12.95,6.80,6.80,-6.80,-5.82,-5.66,6.14,6.14,6.14
25.65,12.93,12.93,6.79,6.79,-6.78,-5.82,-5.80,6.14,6.15,6.14
25.91,12.91,12.91,6.77,6.77,-6.76,-5.81,-5.94,6.15,6.15,6.14
26.16,12.89,12.88,6.75,6.75,-6.74,-5.81,-6.09,6.15,6.14,6.14
26.43,12.86,12.86,6.72,6.72,-6.72,-5.81,-6.23,6.14,6.14,6.14
26.69,12.83,12.83,6.69,6.70,-6.69,-5.80,-6.37,6.13,6.14,6.14
26.96,12.81,12.80,6.67,6.67,-6.67,-5.80,-6.51,6.13,6.13,6.13
27.23,12.78,12.78,6.65,6.65,-6.65,-5.80,-6.65,6.13,6.13,6.13
27.50,12.76,12.76,6.63,6.63,-6.63,-5.79,-6.78,6.12,6.12,6.13
27.77,12.74,12.74,6.61,6.61,-6.62,-5.79,-6.91,6.12,6.12,6.13
28.05,12.72,12.72,6.59,6.60,-6.60,-5.79,-7.04,6.12,6.12,6.13
28.33,12.71,12.71,6.58,6.58,-6.58,-5.78,-7.15,6.12,6.12,6.12
28.62,12.70,12.69,6.58,6.57,-6.57,-5.78,-7.27,6.13,6.13,6.12
28.90,12.68,12.68,6.56,6.56,-6.54,-5.77,-7.37,6.13,6.13,6.12
29.19,12.65,12.65,6.53,6.53,-6.52,-5.77,-7.47,6.13,6.13,6.12
29.48,12.62,12.62,6.50,6.50,-6.49,-5.77,-7.56,6.12,6.12,6.11
29.78,12.58,12.58,6.47,6.47,-6.47,-5.76,-7.64,6.11,6.11,6.11
30.08,12.54,12.54,6.43,6.43,-6.43,-5.76,-7.70,6.10,6.10,6.11
30.38,12.50,12.50,6.39,6.39,-6.40,-5.75,-7.76,6.09,6.10,6.11
30.68,12.47,12.47,6.36,6.36,-6.37,-5.75,-7.80,6.10,6.10,6.10
30.99,12.44,12.44,6.34,6.34,-6.34,-5.74,-7.84,6.10,6.10,6.10
31.30,12.41,12.41,6.31,6.31,-6.31,-5.74,-7.85,6.10,6.10,6.10
31.61,12.38,12.38,6.28,6.28,-6.28,-5.73,-7.86,6.10,6.10,6.10
31.93,12.35,12.35,6.26,6.25,-6.25,-5.72,-7.86,6.10,6.10,6.09
32.24,12.31,12.31,6.22,6.22,-6.21,-5.72,-7.84,6.09,6.09,6.09
32.57,12.27,12.27,6.18,6.18,-6.18,-5.71,-7.81,6.09,6.09,6.08
32.89,12.22,12.22,6.14,6.14,-6.15,-5.70,-7.77,6.07,6.08,6.08
33.22,12.19,12.18,6.11,6.11,-6.11,-5.70,-7.72,6.07,6.07,6.08
33.55,12.15,12.15,6.07,6.08,-6.08,-5.69,-7.66,6.07,6.07,6.07
33.89,12.12,12.12,6.05,6.05,-6.05,-5.68,-7.59,6.07,6.07,6.07
34.23,12.09,12.08,6.02,6.02,-6.02,-5.68,-7.52,6.07,6.07,6.07
34.57,12.05,12.05,5.99,5.99,-5.99,-5.67,-7.43,6.06,6.07,6.06
34.92,12.02,12.02,5.96,5.96,-5.95,-5.66,-7.35,6.06,6.06,6.06
35.27,11.98,11.98,5.93,5.93,-5.92,-5.65,-7.25,6.05,6.05,6.05
35.62,11.94,11.94,5.89,5.89,-5.89,-5.64,-7.15,6.05,6.05,6.05
35.97,11.90,11.90,5.86,5.86,-5.86,-5.63,-7.05,6.04,6.04,6.04
36.33,11.86,11.86,5.82,5.82,-5.83,-5.62,-6.95,6.03,6.03,6.04
36.70,11.83,11.82,5.80,5.79,-5.80,-5.61,-6.84,6.03,6.03,6.03
37.06,11.79,11.79,5.76,5.76,-5.76,-5.60,-6.73,6.02,6.03,6.03
37.43,11.76,11.76,5.74,5.74,-5.73,-5.59,-6.63,6.03,6.02,6.02
37.81,11.72,11.72,5.70,5.70,-5.70,-5.58,-6.52,6.02,6.02,6.01
38.19,11.68,11.68,5.67,5.67,-5.67,-5.57,-6.42,6.01,6.01,6.01
38.57,11.64,11.64,5.64,5.64,-5.64,-5.56,-6.31,6.00,6.00,6.00
38.95,11.60,11.60,5.60,5.60,-5.61,-5.55,-6.21,5.99,5.99,5.99
39.34,11.56,11.56,5.57,5.57,-5.58,-5.53,-6.11,5.98,5.98,5.99
39.74,11.52,11.52,5.54,5.54,-5.54,-5.52,-6.01,5.97,5.98,5.98
40.14,11.49,11.48,5.52,5.51,-5.51,-5.51,-5.92,5.98,5.97,5.97
40.54,11.45,11.45,5.48,5.48,-5.47,-5.49,-5.83,5.97,5.97,5.96
40.94,11.40,11.40,5.44,5.45,-5.44,-5.48,-5.74,5.96,5.96,5.96
41.35,11.36,11.35,5.41,5.40,-5.40,-5.46,-5.65,5.96,5.95,5.95
41.76,11.30,11.30,5.36,5.36,-5.36,-5.44,-5.57,5.93,5.94,5.94
42.18,11.25,11.25,5.32,5.32,-5.32,-5.43,-5.49,5.92,5.92,5.93
42.60,11.20,11.20,5.28,5.28,-5.28,-5.41,-5.42,5.91,5.91,5.92
43.03,11.15,11.15,5.24,5.24,-5.24,-5.39,-5.35,5.90,5.91,5.91
43.46,11.11,11.10,5.21,5.20,-5.20,-5.37,-5.28,5.90,5.90,5.90
43.90,11.06,11.06,5.17,5.17,-5.16,-5.35,-5.22,5.89,5.89,5.89
44.33,11.01,11.01,5.13,5.13,-5.13,-5.33,-5.16,5.88,5.88,5.88
44.78,10.96,10.96,5.09,5.09,-5.09,-5.31,-5.11,5.87,5.87,5.87
45.23,10.91,10.91,5.05,5.05,-5.05,-5.28,-5.05,5.85,5.85,5.86
45.68,10.86,10.86,5.01,5.02,-5.02,-5.26,-5.01,5.84,5.84,5.84
