frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.55,12.55,5.27,5.27,-5.27,-4.66,-2.38,7.28,7.28,7.28
20.20,12.56,12.56,5.28,5.28,-5.28,-4.68,-2.45,7.28,7.28,7.28
20.40,12.57,12.57,5.29,5.29,-5.29,-4.69,-2.52,7.28,7.28,7.28
20.61,12.58,12.58,5.30,5.30,-5.29,-4.71,-2.60,7.29,7.28,7.28
20.81,12.58,12.58,5.30,5.30,-5.30,-4.73,-2.67,7.28,7.28,7.28
21.02,12.59,12.59,5.31,5.31,-5.30,-4.75,-2.75,7.29,7.28,7.28
21.23,12.59,12.59,5.31,5.31,-5.31,-4.77,-2.83,7.28,7.28,7.28
21.44,12.59,12.59,5.31,5.31,-5.31,-4.79,-2.91,7.28,7.28,7.28
21.66,12.59,12.59,5.31,5.31,-5.31,-4.82,-2.99,7.28,7.28,7.28
21.87,12.59,12.59,5.31,5.31,-5.31,-4.85,-3.08,7.28,7.28,7.28
22.09,12.59,12.59,5.32,5.31,-5.32,-4.88,-3.17,7.28,7.27,7.28
22.31,12.59,12.59,5.32,5.32,-5.32,-4.91,-3.26,7.27,7.27,7.27
22.54,12.59,12.59,5.32,5.32,-5.32,-4.94,-3.36,7.27,7.27,7.27
22.76,12.60,12.60,5.33,5.32,-5.33,-4.98,-3.45,7.27,7.27,7.27
22.99,12.60,12.60,5.33,5.33,-5.34,-5.02,-3.55,7.26,7.27,7.27
23.22,12.61,12.62,5.34,5.35,-5.35,-5.07,-3.65,7.26,7.27,7.27
23.45,12.63,12.63,5.36,5.36,-5.36,-5.11,-3.75,7.27,7.27,7.27
23.69,12.64,12.64,5.37,5.37,-5.37,-5.16,-3.86,7.28,7.27,7.27
23.92,12.64,12.65,5.37,5.38,-5.37,-5.21,-3.97,7.27,7.27,7.27
24.16,12.65,12.65,5.38,5.38,-5.38,-5.26,-4.08,7.27,7.27,7.27
24.40,12.65,12.65,5.39,5.39,-5.38,-5.32,-4.19,7.27,7.27,7.26
24.65,12.65,12.65,5.39,5.39,-5.38,-5.37,-4.30,7.27,7.27,7.26
24.89,12.64,12.64,5.38,5.38,-5.38,-5.43,-4.42,7.26,7.26,7.26
25.14,12.64,12.64,5.38,5.38,-5.38,-5.48,-4.53,7.26,7.26,7.26
25.39,12.63,12.63,5.37,5.37,-5.38,-5.53,-4.65,7.25,7.26,7.26
25.65,12.63,12.63,5.37,5.37,-5.37,-5.57,-4.76,7.26,7.26,7.26
25.91,12.63,12.63,5.37,5.37,-5.37,-5.61,-4.88,7.26,7.25,7.26
26.16,12.62,12.62,5.37,5.37,-5.37,-5.63,-5.00,7.25,7.25,7.25
26.43,12.62,12.62,5.37,5.37,-5.37,-5.66,-5.11,7.25,7.25,7.25
26.69,12.62,12.62,5.37,5.37,-5.37,-5.66,-5.23,7.26,7.25,7.25
26.96,12.61,12.61,5.36,5.36,-5.36,-5.66,-5.34,7.25,7.25,7.25
27.23,12.61,12.61,5.36,5.36,-5.36,-5.65,-5.45,7.25,7.25,7.25
27.50,12.60,12.60,5.35,5.35,-5.35,-5.62,-5.56,7.25,7.25,7.25
27.77,12.59,12.59,5.35,5.35,-5.35,-5.59,-5.66,7.24,7.24,7.24
28.05,12.58,12.58,5.34,5.34,-5.34,-5.55,-5.77,7.24,7.24,7.24
28.33,12.57,12.57,5.33,5.33,-5.33,-5.49,-5.86,7.24,7.24,7.24
28.62,12.56,12.56,5.32,5.32,-5.32,-5.44,-5.95,7.24,7.24,7.24
28.90,12.55,12.55,5.31,5.31,-5.31,-5.38,-6.03,7.24,7.24,7.24
29.19,12.53,12.54,5.30,5.30,-5.30,-5.31,-6.11,7.23,7.24,7.23
29.48,12.52,12.52,5.29,5.29,-5.28,-5.25,-6.17,7.24,7.23,7.23
29.78,12.50,12.50,5.27,5.27,-5.27,-5.19,-6.24,7.23,7.23,7.23
30.08,12.47,12.47,5.25,5.25,-5.25,-5.12,-6.29,7.22,7.23,7.23
30.38,12.45,12.45,5.23,5.23,-5.23,-5.06,-6.33,7.22,7.22,7.22
30.68,12.42,12.42,5.20,5.20,-5.21,-5.00,-6.36,7.21,7.22,7.22
30.99,12.40,12.40,5.18,5.18,-5.18,-4.95,-6.38,7.22,7.22,7.22
31.30,12.37,12.37,5.16,5.16,-5.16,-4.89,-6.39,7.21,7.21,7.21
31.61,12.35,12.35,5.14,5.14,-5.14,-4.84,-6.40,7.21,7.21,7.21
31.93,12.32,12.32,5.11,5.11,-5.11,-4.79,-6.39,7.21,7.21,7.21
32.24,12.29,12.29,5.09,5.09,-5.09,-4.74,-6.37,7.20,7.20,7.20
32.57,12.26,12.26,5.06,5.06,-5.07,-4.70,-6.34,7.20,7.20,7.20
32.89,12.24,12.24,5.04,5.04,-5.04,-4.66,-6.31,7.20,7.20,7.20
33.22,12.21,12.21,5.02,5.02,-5.01,-4.62,-6.26,7.20,7.20,7.19
33.55,12.18,12.18,4.99,4.99,-4.99,-4.58,-6.21,7.19,7.20,7.19
33.89,12.15,12.15,4.97,4.96,-4.96,-4.55,-6.14,7.19,7.19,7.19
34.23,12.11,12.11,4.93,4.93,-4.93,-4.51,-6.08,7.18,7.18,7.18
34.57,12.07,12.07,4.89,4.90,-4.90,-4.48,-6.00,7.17,7.17,7.18
34.92,12.04,12.04,4.87,4.86,-4.87,-4.45,-5.93,7.17,7.17,7.17
35.27,12.00,12.00,4.83,4.84,-4.84,-4.42,-5.84,7.16,7.16,7.17
35.62,11.97,11.97,4.81,4.81,-4.81,-4.39,-5.76,7.16,7.16,7.16
35.97,11.94,11.94,4.78,4.78,-4.78,-4.36,-5.66,7.16,7.16,7.16
36.33,11.90,11.90,4.75,4.75,-4.75,-4.33,-5.57,7.15,7.15,7.15
36.70,11.86,11.86,4.71,4.72,-4.71,-4.31,-5.48,7.15,7.15,7.15
37.06,11.82,11.82,4.68,4.68,-4.68,-4.28,-5.38,7.14,7.14,7.14
37.43,11.78,11.78,4.64,4.64,-4.64,-4.26,-5.28,7.14,7.14,7.14
37.81,11.73,11.73,4.60,4.60,-4.60,-4.23,-5.19,7.13,7.13,7.13
38.19,11.68,11.68,4.56,4.56,-4.56,-4.21,-5.09,7.12,7.12,7.12
38.57,11.63,11.63,4.51,4.51,-4.52,-4.19,-5.00,7.11,7.11,7.12
38.95,11.58,11.58,4.47,4.47,-4.47,-4.16,-4.90,7.11,7.11,7.11
39.34,11.53,11.53,4.43,4.43,-4.43,-4.14,-4.81,7.10,7.10,7.10
39.74,11.48,11.48,4.39,4.39,-4.39,-4.12,-4.72,7.09,7.09,7.10
40.14,11.43,11.43,4.34,4.35,-4.35,-4.09,-4.63,7.08,7.09,7.09
40.54,11.39,11.39,4.31,4.31,-4.31,-4.07,-4.54,7.09,7.08,7.08
40.94,11.34,11.34,4.27,4.27,-4.26,-4.05,-4.45,7.08,7.08,7.07
41.35,11.29,11.29,4.23,4.23,-4.22,-4.02,-4.37,7.07,7.07,7.06
41.76,11.23,11.23,4.18,4.18,-4.17,-4.00,-4.29,7.06,7.06,7.05
42.18,11.17,11.17,4.12,4.12,-4.13,-3.98,-4.21,7.04,7.04,7.05
42.60,11.11,11.11,4.07,4.07,-4.08,-3.95,-4.14,7.03,7.03,7.04
43.03,11.05,11.05,4.02,4.03,-4.03,-3.93,-4.07,7.02,7.02,7.03
43.46,11.00,11.00,3.98,3.98,-3.99,-3.90,-4.00,7.01,7.01,7.02
43.90,10.95,10.95,3.95,3.94,-3.94,-3.88,-3.93,7.01,7.00,7.01
44.33,10.89,10.89,3.90,3.90,-3.90,-3.86,-3.87,6.99,6.99,6.99
44.78,10.84,10.84,3.86,3.86,-3.86,-3.83,-3.81,6.98,6.98,6.98
45.23,10.79,10.79,3.82,3.82,-3.82,-3.80,-3.75,6.98,6.97,6.97
45.68,10.74,10.74,3.78,3.78,-3.77,-3.78,-3.70,6.97,6.96,6.96
