frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.89,11.89,5.19,5.19,-5.20,-4.39,-2.17,6.70,6.70,6.70
20.20,11.89,11.89,5.19,5.19,-5.19,-4.39,-2.24,6.70,6.70,6.70
20.40,11.88,11.89,5.19,5.19,-5.19,-4.38,-2.30,6.70,6.70,6.70
20.61,11.88,11.88,5.19,5.18,-5.18,-4.38,-2.37,6.70,6.70,6.70
20.81,11.87,11.87,5.18,5.18,-5.17,-4.38,-2.44,6.70,6.70,6.70
21.02,11.86,11.86,5.17,5.17,-5.17,-4.38,-2.51,6.70,6.70,6.70
21.23,11.85,11.85,5.16,5.16,-5.16,-4.38,-2.58,6.69,6.69,6.70
21.44,11.84,11.85,5.15,5.15,-5.15,-4.38,-2.66,6.69,6.69,6.69
21.66,11.84,11.84,5.15,5.15,-5.15,-4.38,-2.73,6.70,6.69,6.69
21.87,11.83,11.83,5.14,5.14,-5.14,-4.38,-2.81,6.69,6.69,6.69
22.09,11.82,11.83,5.13,5.13,-5.13,-4.38,-2.89,6.69,6.69,6.69
22.31,11.81,11.82,5.12,5.13,-5.12,-4.38,-2.98,6.69,6.69,6.69
22.54,11.81,11.81,5.12,5.12,-5.12,-4.38,-3.06,6.70,6.69,6.69
22.76,11.80,11.80,5.11,5.11,-5.11,-4.37,-3.15,6.70,6.69,6.69
22.99,11.78,11.79,5.09,5.10,-5.10,-4.37,-3.24,6.69,6.69,6.69
23.22,11.77,11.77,5.09,5.09,-5.09,-4.37,-3.34,6.69,6.69,6.69
23.45,11.76,11.76,5.08,5.08,-5.08,-4.37,-3.43,6.68,6.68,6.69
23.69,11.75,11.75,5.07,5.07,-5.07,-4.37,-3.53,6.68,6.68,6.69
23.92,11.74,11.74,5.06,5.06,-5.06,-4.37,-3.62,6.68,6.68,6.68
24.16,11.73,11.73,5.05,5.05,-5.05,-4.37,-3.72,6.68,6.68,6.68
24.40,11.72,11.72,5.04,5.04,-5.04,-4.37,-3.83,6.68,6.68,6.68
24.65,11.71,11.71,5.03,5.03,-5.03,-4.37,-3.93,6.68,6.68,6.68
24.89,11.70,11.70,5.02,5.02,-5.02,-4.36,-4.03,6.68,6.68,6.68
25.14,11.69,11.69,5.02,5.01,-5.01,-4.36,-4.14,6.68,6.68,6.68
25.39,11.68,11.68,5.01,5.00,-5.00,-4.36,-4.24,6.68,6.68,6.68
25.65,11.66,11.67,4.99,4.99,-4.99,-4.36,-4.35,6.68,6.68,6.68
25.91,11.65,11.65,4.98,4.98,-4.98,-4.36,-4.46,6.68,6.67,6.67
26.16,11.63,11.63,4.96,4.96,-4.96,-4.36,-4.56,6.67,6.67,6.67
26.43,11.61,11.62,4.94,4.95,-4.95,-4.35,-4.67,6.66,6.67,6.67
