frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.90,8.90,1.65,1.65,-1.65,-0.70,-0.50,7.25,7.25,7.25
20.20,8.89,8.90,1.64,1.64,-1.64,-0.70,-0.52,7.25,7.25,7.25
20.40,8.89,8.89,1.64,1.64,-1.64,-0.70,-0.54,7.26,7.25,7.25
20.61,8.88,8.88,1.63,1.63,-1.63,-0.70,-0.55,7.25,7.25,7.25
20.81,8.87,8.87,1.62,1.62,-1.62,-0.70,-0.57,7.25,7.25,7.25
21.02,8.86,8.86,1.61,1.61,-1.61,-0.70,-0.59,7.25,7.25,7.25
21.23,8.85,8.85,1.60,1.60,-1.60,-0.69,-0.60,7.25,7.25,7.25
21.44,8.84,8.84,1.59,1.59,-1.59,-0.69,-0.62,7.25,7.25,7.25
21.66,8.83,8.83,1.58,1.58,-1.58,-0.69,-0.64,7.25,7.25,7.25
21.87,8.81,8.82,1.56,1.57,-1.57,-0.69,-0.66,7.24,7.25,7.25
22.09,8.80,8.80,1.55,1.55,-1.56,-0.69,-0.68,7.25,7.25,7.25
22.31,8.79,8.79,1.55,1.54,-1.54,-0.69,-0.70,7.25,7.25,7.25
22.54,8.77,8.78,1.53,1.53,-1.53,-0.69,-0.72,7.24,7.25,7.25
22.76,8.76,8.76,1.52,1.52,-1.51,-0.69,-0.75,7.25,7.25,7.24
22.99,8.74,8.74,1.50,1.50,-1.50,-0.69,-0.77,7.25,7.25,7.24
23.22,8.72,8.72,1.48,1.48,-1.48,-0.69,-0.79,7.25,7.25,7.24
23.45,8.70,8.70,1.46,1.46,-1.46,-0.69,-0.81,7.25,7.24,7.24
23.69,8.67,8.68,1.43,1.44,-1.44,-0.69,-0.84,7.24,7.24,7.24
23.92,8.65,8.65,1.41,1.41,-1.41,-0.69,-0.86,7.24,7.24,7.24
24.16,8.63,8.63,1.39,1.39,-1.40,-0.69,-0.88,7.24,7.23,7.24
24.40,8.61,8.61,1.37,1.37,-1.38,-0.69,-0.91,7.23,7.23,7.24
24.65,8.59,8.60,1.36,1.36,-1.36,-0.69,-0.93,7.23,7.23,7.24
24.89,8.58,8.58,1.35,1.35,-1.35,-0.68,-0.96,7.23,7.23,7.23
25.14,8.57,8.57,1.34,1.34,-1.34,-0.68,-0.98,7.23,7.23,7.23
25.39,8.56,8.56,1.33,1.33,-1.33,-0.68,-1.01,7.23,7.23,7.23
25.65,8.55,8.56,1.32,1.33,-1.32,-0.68,-1.04,7.23,7.23,7.23
25.91,8.55,8.55,1.32,1.32,-1.32,-0.68,-1.06,7.23,7.23,7.23
26.16,8.54,8.54,1.31,1.31,-1.31,-0.68,-1.09,7.23,7.23,7.23
26.43,8.53,8.53,1.31,1.31,-1.31,-0.68,-1.11,7.23,7.23,7.23
26.69,8.52,8.52,1.30,1.30,-1.30,-0.68,-1.13,7.22,7.22,7.22
26.96,8.51,8.51,1.29,1.29,-1.29,-0.68,-1.16,7.22,7.22,7.22
27.23,8.50,8.50,1.28,1.28,-1.28,-0.68,-1.18,7.22,7.22,7.22
27.50,8.49,8.49,1.27,1.27,-1.27,-0.68,-1.20,7.22,7.22,7.22
27.77,8.47,8.48,1.26,1.26,-1.26,-0.67,-1.22,7.21,7.22,7.22
28.05,8.46,8.46,1.25,1.25,-1.25,-0.67,-1.24,7.21,7.21,7.21
28.33,8.45,8.45,1.24,1.24,-1.24,-0.67,-1.26,7.21,7.21,7.21
28.62,8.44,8.44,1.23,1.23,-1.23,-0.67,-1.28,7.21,7.21,7.21
28.90,8.42,8.43,1.21,1.22,-1.22,-0.67,-1.29,7.20,7.21,7.21
29.19,8.41,8.41,1.21,1.21,-1.21,-0.67,-1.31,7.20,7.20,7.21
29.48,8.40,8.40,1.20,1.19,-1.20,-0.67,-1.32,7.20,7.20,7.20
