frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.77,5.77,-1.70,-1.70,1.70,1.65,0.62,7.47,7.47,7.47
20.20,5.78,5.78,-1.69,-1.69,1.69,1.64,0.64,7.47,7.47,7.47
20.40,5.79,5.79,-1.68,-1.68,1.68,1.64,0.65,7.47,7.47,7.47
20.61,5.80,5.80,-1.67,-1.67,1.67,1.64,0.67,7.47,7.47,7.47
20.81,5.80,5.80,-1.67,-1.66,1.67,1.64,0.69,7.46,7.47,7.47
21.02,5.81,5.81,-1.66,-1.66,1.66,1.64,0.72,7.47,7.47,7.47
21.23,5.82,5.81,-1.65,-1.65,1.65,1.63,0.74,7.47,7.46,7.47
21.44,5.82,5.82,-1.65,-1.64,1.64,1.63,0.76,7.46,7.47,7.46
21.66,5.83,5.83,-1.63,-1.63,1.63,1.63,0.78,7.46,7.46,7.46
21.87,5.84,5.83,-1.62,-1.63,1.63,1.63,0.81,7.47,7.46,7.46
22.09,5.84,5.84,-1.62,-1.62,1.62,1.62,0.83,7.46,7.46,7.46
22.31,5.85,5.85,-1.61,-1.61,1.61,1.62,0.86,7.46,7.46,7.46
22.54,5.86,5.85,-1.60,-1.61,1.60,1.62,0.88,7.46,7.46,7.46
22.76,5.86,5.86,-1.60,-1.60,1.60,1.62,0.91,7.46,7.46,7.46
22.99,5.87,5.87,-1.59,-1.59,1.59,1.61,0.93,7.46,7.46,7.46
23.22,5.88,5.87,-1.58,-1.58,1.58,1.61,0.96,7.46,7.46,7.46
23.45,5.88,5.88,-1.58,-1.57,1.57,1.61,0.99,7.45,7.46,7.46
23.69,5.89,5.89,-1.57,-1.57,1.57,1.60,1.02,7.46,7.46,7.46
23.92,5.90,5.90,-1.56,-1.56,1.56,1.60,1.05,7.46,7.46,7.45
24.16,5.90,5.90,-1.55,-1.55,1.55,1.60,1.08,7.45,7.45,7.45
24.40,5.91,5.91,-1.54,-1.55,1.54,1.60,1.11,7.45,7.45,7.45
24.65,5.91,5.91,-1.54,-1.54,1.54,1.59,1.14,7.45,7.45,7.45
24.89,5.92,5.92,-1.53,-1.53,1.53,1.59,1.17,7.45,7.45,7.45
25.14,5.93,5.93,-1.52,-1.52,1.52,1.59,1.20,7.45,7.45,7.45
25.39,5.94,5.94,-1.51,-1.51,1.51,1.58,1.23,7.45,7.45,7.45
25.65,5.94,5.94,-1.51,-1.50,1.50,1.58,1.26,7.44,7.45,7.45
25.91,5.95,5.95,-1.49,-1.50,1.50,1.58,1.29,7.45,7.45,7.44
26.16,5.95,5.95,-1.49,-1.49,1.49,1.57,1.32,7.44,7.44,7.44
26.43,5.96,5.96,-1.48,-1.48,1.48,1.57,1.35,7.44,7.44,7.44
26.69,5.96,5.96,-1.48,-1.48,1.48,1.57,1.38,7.44,7.44,7.44
26.96,5.96,5.96,-1.48,-1.47,1.47,1.56,1.41,7.43,7.44,7.44
27.23,5.97,5.97,-1.47,-1.47,1.47,1.56,1.44,7.44,7.43,7.44
27.50,5.97,5.97,-1.46,-1.46,1.46,1.55,1.47,7.43,7.43,7.43
27.77,5.98,5.98,-1.45,-1.45,1.45,1.55,1.50,7.43,7.43,7.43
28.05,5.98,5.98,-1.45,-1.45,1.45,1.55,1.53,7.43,7.43,7.43
28.33,5.99,5.99,-1.44,-1.44,1.44,1.54,1.55,7.43,7.43,7.43
28.62,5.99,5.99,-1.44,-1.43,1.43,1.54,1.57,7.42,7.43,7.43
28.90,6.00,6.00,-1.42,-1.43,1.43,1.53,1.60,7.43,7.43,7.42
29.19,6.00,6.00,-1.42,-1.42,1.42,1.53,1.62,7.42,7.42,7.42
29.48,6.00,6.00,-1.42,-1.42,1.42,1.52,1.63,7.42,7.42,7.42
29.78,6.00,6.00,-1.42,-1.42,1.41,1.52,1.65,7.41,7.41,7.42
