frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.36,5.36,-0.57,-0.57,0.58,0.06,-0.07,5.94,5.94,5.93
20.20,5.38,5.38,-0.55,-0.55,0.55,0.06,-0.08,5.93,5.93,5.93
20.40,5.40,5.40,-0.53,-0.53,0.53,0.05,-0.08,5.93,5.93,5.93
20.61,5.42,5.42,-0.51,-0.51,0.50,0.05,-0.08,5.92,5.92,5.93
20.81,5.45,5.44,-0.48,-0.48,0.48,0.05,-0.08,5.93,5.92,5.93
21.02,5.47,5.47,-0.46,-0.46,0.45,0.05,-0.09,5.92,5.92,5.93
21.23,5.50,5.50,-0.43,-0.43,0.43,0.05,-0.09,5.93,5.93,5.93
21.44,5.52,5.52,-0.41,-0.40,0.41,0.05,-0.09,5.92,5.93,5.93
21.66,5.55,5.55,-0.38,-0.38,0.38,0.04,-0.09,5.93,5.93,5.92
21.87,5.57,5.57,-0.36,-0.36,0.36,0.04,-0.10,5.93,5.93,5.92
22.09,5.59,5.59,-0.33,-0.33,0.34,0.04,-0.10,5.92,5.93,5.92
22.31,5.61,5.61,-0.31,-0.31,0.31,0.04,-0.10,5.92,5.92,5.92
22.54,5.63,5.63,-0.29,-0.29,0.29,0.04,-0.11,5.92,5.92,5.92
22.76,5.65,5.65,-0.27,-0.27,0.27,0.03,-0.11,5.92,5.92,5.92
22.99,5.67,5.67,-0.25,-0.25,0.25,0.03,-0.11,5.91,5.91,5.92
23.22,5.69,5.69,-0.23,-0.23,0.22,0.03,-0.12,5.91,5.91,5.92
23.45,5.72,5.72,-0.20,-0.20,0.20,0.03,-0.12,5.92,5.92,5.92
23.69,5.75,5.74,-0.17,-0.17,0.17,0.03,-0.12,5.92,5.92,5.92
23.92,5.77,5.77,-0.15,-0.15,0.15,0.02,-0.13,5.92,5.92,5.91
24.16,5.79,5.79,-0.13,-0.12,0.13,0.02,-0.13,5.92,5.92,5.91
24.40,5.81,5.81,-0.10,-0.10,0.11,0.02,-0.14,5.92,5.92,5.91
24.65,5.83,5.82,-0.08,-0.09,0.09,0.01,-0.14,5.92,5.92,5.91
24.89,5.84,5.84,-0.07,-0.07,0.07,0.01,-0.14,5.91,5.91,5.91
25.14,5.85,5.85,-0.06,-0.06,0.06,0.01,-0.15,5.90,5.90,5.91
25.39,5.86,5.86,-0.05,-0.05,0.04,0.00,-0.15,5.90,5.90,5.91
25.65,5.88,5.88,-0.03,-0.03,0.02,0.00,-0.15,5.90,5.90,5.91
25.91,5.90,5.90,-0.01,-0.01,0.00,-0.00,-0.16,5.90,5.90,5.90
26.16,5.92,5.92,0.02,0.01,-0.01,-0.01,-0.16,5.90,5.90,5.90
26.43,5.94,5.94,0.04,0.04,-0.03,-0.01,-0.16,5.91,5.91,5.90
26.69,5.95,5.95,0.05,0.05,-0.05,-0.02,-0.17,5.90,5.91,5.90
26.96,5.97,5.96,0.07,0.07,-0.06,-0.02,-0.17,5.91,5.90,5.90
27.23,5.97,5.97,0.07,0.07,-0.07,-0.03,-0.17,5.90,5.90,5.90
27.50,5.98,5.98,0.08,0.08,-0.08,-0.03,-0.18,5.90,5.89,5.89
27.77,5.98,5.98,0.09,0.09,-0.09,-0.04,-0.18,5.89,5.89,5.89
28.05,5.99,5.99,0.10,0.10,-0.10,-0.04,-0.18,5.88,5.88,5.89
28.33,6.00,6.00,0.11,0.11,-0.12,-0.05,-0.19,5.88,5.88,5.89
28.62,6.01,6.01,0.12,0.12,-0.13,-0.05,-0.19,5.88,5.88,5.89
28.90,6.03,6.02,0.14,0.14,-0.14,-0.06,-0.19,5.88,5.88,5.88
29.19,6.04,6.04,0.16,0.16,-0.16,-0.07,-0.19,5.88,5.88,5.88
29.48,6.06,6.06,0.18,0.18,-0.17,-0.07,-0.19,5.89,5.89,5.88
29.78,6.07,6.06,0.19,0.19,-0.18,-0.08,-0.19,5.89,5.88,5.88
30.08,6.07,6.07,0.19,0.20,-0.19,-0.09,-0.19,5.88,5.88,5.87
30.38,6.07,6.07,0.20,0.20,-0.20,-0.10,-0.19,5.87,5.87,5.87
30.68,6.07,6.07,0.20,0.20,-0.20,-0.10,-0.19,5.87,5.87,5.87
30.99,6.07,6.07,0.20,0.20,-0.20,-0.11,-0.19,5.86,5.86,5.86
31.30,6.07,6.07,0.21,0.21,-0.21,-0.12,-0.19,5.86,5.86,5.86
31.61,6.07,6.07,0.21,0.21,-0.21,-0.13,-0.18,5.86,5.86,5.86
31.93,6.07,6.07,0.21,0.21,-0.21,-0.14,-0.18,5.85,5.85,5.86
32.24,6.07,6.07,0.22,0.21,-0.22,-0.15,-0.18,5.85,5.85,5.85
