frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.70,9.70,2.65,2.65,-2.66,-1.53,-0.95,7.04,7.04,7.05
20.20,9.69,9.69,2.64,2.64,-2.64,-1.53,-0.98,7.05,7.05,7.05
20.40,9.68,9.68,2.63,2.63,-2.63,-1.53,-1.01,7.05,7.05,7.05
20.61,9.67,9.67,2.62,2.62,-2.62,-1.53,-1.04,7.05,7.05,7.05
20.81,9.65,9.65,2.61,2.61,-2.60,-1.53,-1.07,7.05,7.05,7.05
21.02,9.64,9.64,2.60,2.59,-2.59,-1.53,-1.10,7.05,7.05,7.04
21.23,9.62,9.62,2.58,2.58,-2.58,-1.53,-1.14,7.04,7.04,7.04
21.44,9.60,9.60,2.56,2.56,-2.56,-1.53,-1.17,7.04,7.04,7.04
21.66,9.59,9.59,2.55,2.54,-2.55,-1.53,-1.21,7.05,7.04,7.04
21.87,9.57,9.57,2.53,2.53,-2.53,-1.53,-1.24,7.04,7.04,7.04
22.09,9.55,9.55,2.51,2.51,-2.51,-1.53,-1.28,7.04,7.04,7.04
22.31,9.54,9.54,2.50,2.50,-2.50,-1.53,-1.32,7.04,7.04,7.04
22.54,9.52,9.52,2.48,2.48,-2.48,-1.53,-1.36,7.04,7.04,7.04
22.76,9.51,9.51,2.47,2.47,-2.47,-1.52,-1.40,7.04,7.04,7.04
22.99,9.49,9.49,2.45,2.46,-2.45,-1.52,-1.44,7.04,7.04,7.04
23.22,9.48,9.48,2.44,2.44,-2.44,-1.52,-1.48,7.04,7.04,7.04
23.45,9.46,9.46,2.43,2.42,-2.42,-1.52,-1.52,7.04,7.04,7.04
23.69,9.44,9.44,2.41,2.41,-2.41,-1.52,-1.57,7.03,7.03,7.03
23.92,9.42,9.42,2.39,2.39,-2.39,-1.52,-1.61,7.03,7.03,7.03
24.16,9.41,9.41,2.38,2.38,-2.37,-1.52,-1.66,7.04,7.03,7.03
24.40,9.39,9.39,2.36,2.36,-2.36,-1.52,-1.70,7.03,7.03,7.03
24.65,9.37,9.37,2.34,2.34,-2.34,-1.52,-1.75,7.03,7.03,7.03
24.89,9.35,9.35,2.32,2.32,-2.33,-1.52,-1.80,7.02,7.03,7.03
25.14,9.34,9.34,2.31,2.31,-2.31,-1.52,-1.84,7.03,7.02,7.03
25.39,9.32,9.32,2.30,2.30,-2.30,-1.51,-1.89,7.02,7.03,7.03
25.65,9.31,9.31,2.29,2.29,-2.29,-1.51,-1.94,7.02,7.02,7.02
25.91,9.30,9.30,2.28,2.27,-2.27,-1.51,-1.99,7.03,7.02,7.02
26.16,9.28,9.28,2.26,2.26,-2.26,-1.51,-2.03,7.02,7.02,7.02
26.43,9.27,9.27,2.25,2.25,-2.25,-1.51,-2.08,7.02,7.02,7.02
26.69,9.26,9.26,2.24,2.24,-2.24,-1.51,-2.13,7.02,7.02,7.02
26.96,9.25,9.25,2.24,2.24,-2.23,-1.51,-2.17,7.02,7.02,7.02
27.23,9.24,9.24,2.23,2.23,-2.23,-1.51,-2.21,7.02,7.02,7.01
27.50,9.23,9.23,2.22,2.22,-2.22,-1.51,-2.26,7.01,7.01,7.01
27.77,9.22,9.22,2.21,2.21,-2.21,-1.50,-2.30,7.01,7.01,7.01
28.05,9.20,9.20,2.19,2.20,-2.20,-1.50,-2.34,7.00,7.01,7.01
28.33,9.19,9.19,2.18,2.19,-2.19,-1.50,-2.37,7.00,7.01,7.01
28.62,9.18,9.18,2.18,2.18,-2.18,-1.50,-2.41,7.00,7.00,7.00
28.90,9.17,9.17,2.17,2.17,-2.16,-1.50,-2.44,7.01,7.00,7.00
29.19,9.15,9.15,2.15,2.15,-2.15,-1.50,-2.46,7.00,7.00,7.00
29.48,9.14,9.14,2.14,2.14,-2.14,-1.49,-2.49,7.00,7.00,7.00
29.78,9.12,9.12,2.13,2.13,-2.13,-1.49,-2.51,6.99,6.99,6.99
30.08,9.11,9.11,2.12,2.12,-2.12,-1.49,-2.53,6.99,6.99,6.99
30.38,9.09,9.09,2.10,2.10,-2.10,-1.49,-2.54,6.99,6.99,6.99
30.68,9.08,9.08,2.09,2.09,-2.09,-1.49,-2.55,6.99,6.99,6.99
30.99,9.06,9.06,2.08,2.08,-2.07,-1.49,-2.56,6.99,6.99,6.98
31.30,9.04,9.04,2.06,2.06,-2.06,-1.48,-2.56,6.98,6.98,6.98
31.61,9.02,9.02,2.04,2.04,-2.04,-1.48,-2.56,6.98,6.98,6.98
31.93,8.99,8.99,2.02,2.02,-2.02,-1.48,-2.55,6.97,6.97,6.97
32.24,8.97,8.97,2.00,2.00,-2.00,-1.48,-2.55,6.97,6.97,6.97
32.57,8.95,8.95,1.98,1.98,-1.99,-1.47,-2.53,6.97,6.97,6.97
32.89,8.93,8.93,1.97,1.97,-1.97,-1.47,-2.52,6.96,6.96,6.96
33.22,8.91,8.91,1.95,1.95,-1.95,-1.47,-2.49,6.96,6.96,6.96
33.55,8.88,8.88,1.93,1.93,-1.93,-1.47,-2.47,6.95,6.96,6.96
33.89,8.86,8.86,1.91,1.91,-1.91,-1.46,-2.44,6.95,6.95,6.95
34.23,8.84,8.84,1.89,1.89,-1.89,-1.46,-2.41,6.95,6.95,6.95
34.57,8.81,8.82,1.87,1.87,-1.87,-1.46,-2.38,6.94,6.94,6.94
34.92,8.79,8.79,1.85,1.85,-1.85,-1.46,-2.35,6.94,6.94,6.94
35.27,8.77,8.77,1.84,1.83,-1.83,-1.45,-2.31,6.94,6.93,6.93
35.62,8.74,8.74,1.81,1.82,-1.82,-1.45,-2.27,6.92,6.93,6.93
35.97,8.72,8.72,1.80,1.80,-1.80,-1.45,-2.23,6.92,6.92,6.92
36.33,8.70,8.70,1.78,1.78,-1.78,-1.44,-2.19,6.92,6.92,6.92
36.70,8.68,8.68,1.77,1.77,-1.76,-1.44,-2.15,6.92,6.92,6.91
37.06,8.65,8.65,1.74,1.75,-1.75,-1.44,-2.10,6.90,6.91,6.91
37.43,8.63,8.63,1.73,1.73,-1.73,-1.43,-2.06,6.90,6.90,6.90
37.81,8.60,8.60,1.71,1.71,-1.71,-1.43,-2.01,6.89,6.89,6.90
38.19,8.58,8.58,1.69,1.69,-1.69,-1.42,-1.97,6.89,6.89,6.89
38.57,8.56,8.56,1.68,1.68,-1.68,-1.42,-1.92,6.89,6.88,6.88
38.95,8.53,8.53,1.65,1.66,-1.66,-1.41,-1.88,6.87,6.88,6.88
39.34,8.51,8.51,1.64,1.64,-1.64,-1.41,-1.83,6.87,6.87,6.87
39.74,8.48,8.48,1.62,1.62,-1.62,-1.41,-1.79,6.87,6.86,6.86
40.14,8.45,8.45,1.60,1.60,-1.59,-1.40,-1.75,6.86,6.86,6.85
40.54,8.41,8.41,1.57,1.57,-1.57,-1.40,-1.70,6.84,6.84,6.85
40.94,8.38,8.38,1.54,1.54,-1.55,-1.39,-1.66,6.83,6.83,6.84
41.35,8.35,8.35,1.52,1.52,-1.52,-1.38,-1.62,6.83,6.83,6.83
41.76,8.32,8.32,1.50,1.50,-1.50,-1.38,-1.58,6.82,6.82,6.82
42.18,8.29,8.29,1.48,1.48,-1.48,-1.37,-1.54,6.82,6.81,6.81
42.60,8.25,8.25,1.45,1.45,-1.45,-1.37,-1.50,6.80,6.80,6.80
43.03,8.22,8.22,1.43,1.43,-1.43,-1.36,-1.46,6.79,6.79,6.79
43.46,8.19,8.19,1.41,1.41,-1.41,-1.35,-1.42,6.78,6.78,6.78
43.90,8.16,8.16,1.39,1.39,-1.39,-1.35,-1.39,6.77,6.77,6.77
44.33,8.13,8.13,1.37,1.37,-1.37,-1.34,-1.35,6.76,6.76,6.76
44.78,8.10,8.10,1.35,1.35,-1.35,-1.33,-1.32,6.75,6.75,6.75
45.23,8.07,8.07,1.33,1.33,-1.33,-1.32,-1.29,6.74,6.74,6.74
45.68,8.03,8.03,1.30,1.31,-1.31,-1.32,-1.25,6.72,6.73,6.73
46.13,8.00,8.00,1.29,1.29,-1.28,-1.31,-1.22,6.72,6.71,6.71
46.60,7.96,7.96,1.26,1.26,-1.26,-1.30,-1.19,6.70,6.70,6.70
47.06,7.93,7.93,1.24,1.24,-1.24,-1.29,-1.16,6.69,6.69,6.69
47.53,7.89,7.89,1.22,1.22,-1.22,-1.28,-1.14,6.67,6.67,6.67
48.01,7.85,7.85,1.19,1.19,-1.20,-1.27,-1.11,6.65,6.66,6.66
48.49,7.82,7.82,1.18,1.17,-1.18,-1.26,-1.08,6.65,6.64,6.64
48.97,7.78,7.78,1.15,1.15,-1.16,-1.25,-1.06,6.62,6.63,6.63
49.46,7.75,7.75,1.14,1.14,-1.14,-1.24,-1.04,6.61,6.61,6.61
49.96,7.71,7.71,1.11,1.12,-1.12,-1.23,-1.01,6.59,6.60,6.60
50.46,7.68,7.68,1.10,1.10,-1.10,-1.22,-0.99,6.58,6.58,6.58
50.96,7.64,7.64,1.08,1.08,-1.08,-1.21,-0.97,6.56,6.57,6.56
51.47,7.61,7.61,1.07,1.06,-1.06,-1.19,-0.95,6.55,6.55,6.54
51.99,7.56,7.56,1.04,1.04,-1.04,-1.18,-0.93,6.52,6.52,6.53
52.51,7.52,7.52,1.01,1.02,-1.02,-1.17,-0.91,6.50,6.50,6.51
53.03,7.48,7.48,0.99,1.00,-1.00,-1.15,-0.89,6.48,6.48,6.49
53.56,7.45,7.45,0.98,0.98,-0.98,-1.14,-0.88,6.47,6.46,6.47
54.10,7.41,7.41,0.97,0.97,-0.96,-1.13,-0.86,6.45,6.45,6.44
54.64,7.37,7.37,0.95,0.95,-0.95,-1.11,-0.84,6.42,6.43,6.42
55.18,7.33,7.33,0.93,0.93,-0.93,-1.09,-0.83,6.40,6.40,6.40
55.74,7.29,7.29,0.91,0.91,-0.91,-1.08,-0.82,6.38,6.38,6.38
56.29,7.25,7.25,0.90,0.89,-0.90,-1.06,-0.80,6.36,6.35,6.35
56.86,7.20,7.20,0.87,0.88,-0.88,-1.04,-0.79,6.32,6.33,6.33
57.42,7.16,7.16,0.86,0.86,-0.86,-1.03,-0.77,6.30,6.30,6.30
58.00,7.12,7.12,0.85,0.84,-0.85,-1.01,-0.76,6.28,6.27,6.28
58.58,7.08,7.08,0.83,0.83,-0.83,-0.99,-0.75,6.25,6.25,6.25
59.16,7.03,7.03,0.81,0.81,-0.81,-0.97,-0.74,6.22,6.22,6.22
59.76,6.99,6.99,0.80,0.80,-0.80,-0.95,-0.73,6.19,6.19,6.19
60.35,6.95,6.95,0.79,0.79,-0.79,-0.93,-0.72,6.16,6.16,6.16
60.96,6.90,6.90,0.77,0.77,-0.77,-0.91,-0.71,6.13,6.13,6.13
61.57,6.86,6.86,0.76,0.76,-0.76,-0.89,-0.70,6.10,6.10,6.10
62.18,6.81,6.81,0.74,0.74,-0.74,-0.87,-0.69,6.07,6.07,6.07
62.80,6.76,6.76,0.73,0.73,-0.73,-0.85,-0.68,6.03,6.03,6.03
63.43,6.71,6.71,0.71,0.71,-0.71,-0.83,-0.67,6.00,6.00,6.00
64.07,6.66,6.66,0.70,0.70,-0.70,-0.81,-0.66,5.96,5.96,5.96
64.71,6.61,6.61,0.68,0.68,-0.68,-0.78,-0.65,5.93,5.93,5.93
65.35,6.56,6.56,0.67,0.67,-0.67,-0.76,-0.64,5.89,5.89,5.89
66.01,6.51,6.51,0.66,0.66,-0.66,-0.74,-0.64,5.85,5.85,5.85
66.67,6.46,6.46,0.65,0.65,-0.64,-0.72,-0.63,5.82,5.82,5.81
67.33,6.41,6.41,0.64,0.63,-0.63,-0.70,-0.62,5.78,5.77,5.77
68.01,6.35,6.35,0.62,0.62,-0.62,-0.68,-0.62,5.73,5.73,5.73
68.69,6.30,6.30,0.61,0.61,-0.61,-0.66,-0.61,5.69,5.69,5.69
69.37,6.25,6.25,0.60,0.60,-0.60,-0.64,-0.60,5.65,5.65,5.65
70.07,6.20,6.20,0.60,0.59,-0.59,-0.62,-0.60,5.61,5.61,5.60
70.77,6.14,6.14,0.58,0.59,-0.58,-0.60,-0.59,5.56,5.56,5.56
71.48,6.09,6.09,0.58,0.58,-0.57,-0.59,-0.59,5.52,5.52,5.51
72.19,6.03,6.03,0.56,0.56,-0.56,-0.57,-0.58,5.47,5.47,5.47
72.91,5.97,5.97,0.55,0.55,-0.55,-0.56,-0.58,5.42,5.42,5.42
73.64,5.91,5.91,0.54,0.54,-0.55,-0.54,-0.58,5.36,5.37,5.37
74.38,5.85,5.85,0.53,0.54,-0.54,-0.53,-0.57,5.31,5.32,5.32
75.12,5.80,5.80,0.53,0.53,-0.53,-0.52,-0.57,5.27,5.26,5.27
75.87,5.74,5.74,0.53,0.53,-0.53,-0.51,-0.57,5.21,5.21,5.21
76.63,5.68,5.68,0.52,0.52,-0.52,-0.50,-0.56,5.16,5.16,5.16
77.40,5.63,5.63,0.52,0.52,-0.52,-0.50,-0.56,5.11,5.11,5.11
78.17,5.57,5.57,0.52,0.52,-0.52,-0.49,-0.56,5.05,5.06,5.05
78.95,5.52,5.51,0.53,0.52,-0.51,-0.49,-0.56,5.01,5.00,4.99
79.74,5.45,5.45,0.51,0.51,-0.51,-0.49,-0.56,4.94,4.94,4.94
80.54,5.38,5.38,0.50,0.50,-0.51,-0.49,-0.56,4.87,4.88,4.88
81.35,5.32,5.32,0.50,0.50,-0.51,-0.49,-0.56,4.81,4.81,4.82
82.16,5.26,5.26,0.50,0.50,-0.51,-0.49,-0.56,4.75,4.76,4.76
82.98,5.21,5.21,0.51,0.51,-0.51,-0.49,-0.56,4.70,4.70,4.70
83.81,5.15,5.15,0.51,0.51,-0.51,-0.49,-0.56,4.64,4.64,4.64
84.65,5.09,5.09,0.52,0.52,-0.51,-0.50,-0.56,4.58,4.58,4.57
85.50,5.03,5.03,0.52,0.52,-0.52,-0.50,-0.56,4.51,4.51,4.51
86.35,4.97,4.97,0.52,0.53,-0.52,-0.51,-0.56,4.45,4.45,4.45
87.22,4.91,4.91,0.53,0.53,-0.53,-0.51,-0.57,4.38,4.38,4.38
88.09,4.85,4.85,0.54,0.53,-0.53,-0.52,-0.57,4.32,4.31,4.32
88.97,4.78,4.79,0.53,0.54,-0.54,-0.53,-0.57,4.24,4.25,4.25
