frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.97,11.97,4.63,4.63,-4.63,-3.96,-1.98,7.34,7.34,7.35
20.20,11.97,11.97,4.63,4.62,-4.63,-3.96,-2.04,7.35,7.34,7.35
20.40,11.96,11.96,4.62,4.62,-4.62,-3.96,-2.10,7.35,7.35,7.35
20.61,11.95,11.96,4.61,4.61,-4.61,-3.96,-2.16,7.34,7.35,7.34
20.81,11.95,11.95,4.61,4.60,-4.60,-3.96,-2.22,7.35,7.35,7.34
21.02,11.94,11.94,4.60,4.60,-4.59,-3.96,-2.29,7.35,7.35,7.34
21.23,11.92,11.93,4.58,4.58,-4.58,-3.96,-2.36,7.34,7.35,7.34
21.44,11.91,11.91,4.57,4.57,-4.57,-3.96,-2.43,7.34,7.34,7.34
21.66,11.90,11.90,4.56,4.56,-4.56,-3.96,-2.50,7.34,7.34,7.34
21.87,11.89,11.89,4.55,4.55,-4.55,-3.96,-2.57,7.34,7.34,7.34
22.09,11.88,11.88,4.54,4.54,-4.54,-3.96,-2.64,7.34,7.34,7.34
22.31,11.86,11.87,4.52,4.53,-4.53,-3.96,-2.72,7.33,7.34,7.34
22.54,11.86,11.86,4.52,4.53,-4.53,-3.96,-2.80,7.34,7.34,7.34
22.76,11.86,11.86,4.53,4.52,-4.52,-3.96,-2.88,7.34,7.34,7.34
22.99,11.85,11.85,4.52,4.52,-4.52,-3.95,-2.96,7.34,7.34,7.34
23.22,11.84,11.85,4.51,4.51,-4.51,-3.95,-3.05,7.33,7.33,7.33
23.45,11.84,11.84,4.51,4.51,-4.51,-3.95,-3.13,7.33,7.33,7.33
23.69,11.84,11.84,4.51,4.51,-4.51,-3.95,-3.22,7.33,7.33,7.33
23.92,11.84,11.84,4.51,4.51,-4.51,-3.95,-3.31,7.34,7.33,7.33
24.16,11.83,11.84,4.50,4.51,-4.50,-3.95,-3.40,7.33,7.33,7.33
24.40,11.83,11.83,4.50,4.50,-4.50,-3.95,-3.50,7.33,7.33,7.33
24.65,11.82,11.82,4.49,4.49,-4.49,-3.95,-3.59,7.33,7.33,7.33
24.89,11.81,11.82,4.49,4.49,-4.49,-3.95,-3.69,7.32,7.33,7.33
25.14,11.81,11.81,4.49,4.48,-4.49,-3.95,-3.78,7.33,7.32,7.33
25.39,11.80,11.80,4.48,4.48,-4.48,-3.95,-3.88,7.32,7.32,7.32
25.65,11.79,11.80,4.47,4.47,-4.48,-3.95,-3.98,7.32,7.32,7.32
25.91,11.79,11.79,4.47,4.47,-4.47,-3.95,-4.07,7.32,7.32,7.32
26.16,11.79,11.79,4.47,4.47,-4.47,-3.95,-4.17,7.32,7.32,7.32
26.43,11.78,11.78,4.46,4.47,-4.47,-3.95,-4.27,7.32,7.32,7.32
26.69,11.77,11.78,4.46,4.46,-4.46,-3.94,-4.36,7.31,7.31,7.32
26.96,11.77,11.77,4.46,4.45,-4.46,-3.94,-4.46,7.31,7.31,7.31
27.23,11.76,11.76,4.45,4.45,-4.45,-3.94,-4.55,7.31,7.31,7.31
27.50,11.75,11.75,4.44,4.44,-4.44,-3.94,-4.64,7.31,7.31,7.31
27.77,11.74,11.74,4.43,4.44,-4.43,-3.94,-4.72,7.31,7.31,7.31
28.05,11.73,11.73,4.43,4.42,-4.42,-3.94,-4.81,7.32,7.31,7.31
28.33,11.71,11.71,4.41,4.40,-4.40,-3.94,-4.88,7.31,7.31,7.30
28.62,11.68,11.68,4.38,4.38,-4.38,-3.94,-4.96,7.30,7.31,7.30
28.90,11.65,11.66,4.35,4.36,-4.36,-3.94,-5.03,7.30,7.30,7.30
29.19,11.63,11.63,4.33,4.33,-4.33,-3.93,-5.09,7.30,7.30,7.30
29.48,11.60,11.60,4.31,4.31,-4.31,-3.93,-5.15,7.29,7.29,7.30
29.78,11.58,11.58,4.29,4.29,-4.29,-3.93,-5.20,7.29,7.29,7.29
30.08,11.56,11.56,4.27,4.27,-4.28,-3.93,-5.24,7.28,7.28,7.29
30.38,11.54,11.54,4.26,4.26,-4.27,-3.93,-5.28,7.27,7.28,7.29
30.68,11.53,11.53,4.25,4.25,-4.26,-3.93,-5.31,7.27,7.27,7.28
30.99,11.53,11.53,4.25,4.25,-4.25,-3.93,-5.33,7.28,7.28,7.28
31.30,11.53,11.53,4.25,4.25,-4.24,-3.92,-5.34,7.29,7.29,7.28
31.61,11.53,11.53,4.26,4.25,-4.23,-3.92,-5.35,7.30,7.30,7.28
31.93,11.51,11.51,4.24,4.24,-4.22,-3.92,-5.35,7.30,7.29,7.27
32.24,11.48,11.48,4.21,4.21,-4.20,-3.92,-5.34,7.28,7.28,7.27
32.57,11.45,11.45,4.19,4.18,-4.19,-3.91,-5.32,7.27,7.26,7.27
32.89,11.41,11.42,4.15,4.15,-4.18,-3.91,-5.30,7.24,7.24,7.26
33.22,11.39,11.39,4.13,4.14,-4.17,-3.91,-5.26,7.23,7.23,7.26
33.55,11.38,11.39,4.13,4.13,-4.16,-3.91,-5.23,7.22,7.23,7.25
33.89,11.39,11.39,4.14,4.14,-4.15,-3.90,-5.18,7.24,7.24,7.25
34.23,11.40,11.40,4.16,4.16,-4.14,-3.90,-5.14,7.26,7.26,7.25
34.57,11.40,11.40,4.16,4.16,-4.13,-3.90,-5.08,7.27,7.27,7.24
34.92,11.39,11.39,4.16,4.15,-4.11,-3.90,-5.03,7.28,7.27,7.24
35.27,11.35,11.35,4.12,4.12,-4.10,-3.89,-4.96,7.25,7.25,7.23
35.62,11.31,11.31,4.09,4.08,-4.09,-3.89,-4.90,7.22,7.22,7.23
35.97,11.26,11.27,4.04,4.04,-4.08,-3.89,-4.83,7.18,7.19,7.22
36.33,11.23,11.24,4.02,4.02,-4.07,-3.88,-4.76,7.16,7.17,7.22
36.70,11.23,11.24,4.02,4.02,-4.06,-3.88,-4.69,7.18,7.18,7.21
37.06,11.25,11.25,4.05,4.04,-4.05,-3.87,-4.62,7.21,7.20,7.21
37.43,11.26,11.26,4.06,4.06,-4.03,-3.87,-4.55,7.23,7.23,7.20
37.81,11.26,11.25,4.07,4.06,-4.02,-3.87,-4.48,7.24,7.24,7.19
38.19,11.22,11.22,4.04,4.03,-4.00,-3.86,-4.41,7.22,7.22,7.19
38.57,11.17,11.17,3.99,3.99,-3.97,-3.86,-4.34,7.20,7.20,7.18
38.95,11.10,11.11,3.93,3.93,-3.94,-3.85,-4.27,7.16,7.17,7.17
39.34,11.05,11.05,3.88,3.89,-3.90,-3.85,-4.20,7.15,7.15,7.17
39.74,11.00,11.01,3.84,3.85,-3.87,-3.84,-4.13,7.13,7.14,7.16
40.14,10.97,10.97,3.82,3.82,-3.84,-3.83,-4.06,7.14,7.13,7.15
40.54,10.94,10.94,3.80,3.80,-3.81,-3.83,-4.00,7.14,7.14,7.14
