frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.79,8.79,0.53,0.53,-0.53,-0.89,-0.46,8.26,8.26,8.26
20.20,8.80,8.80,0.54,0.54,-0.54,-0.89,-0.47,8.26,8.26,8.26
20.40,8.80,8.81,0.54,0.55,-0.55,-0.90,-0.48,8.25,8.26,8.26
20.61,8.82,8.82,0.56,0.56,-0.56,-0.90,-0.50,8.26,8.26,8.26
20.81,8.83,8.83,0.57,0.57,-0.57,-0.90,-0.51,8.27,8.26,8.26
21.02,8.84,8.84,0.58,0.58,-0.58,-0.90,-0.53,8.26,8.27,8.26
21.23,8.85,8.85,0.59,0.59,-0.59,-0.91,-0.54,8.26,8.26,8.26
21.44,8.86,8.86,0.60,0.60,-0.60,-0.91,-0.56,8.26,8.26,8.26
21.66,8.87,8.87,0.62,0.61,-0.62,-0.91,-0.57,8.26,8.25,8.26
21.87,8.88,8.88,0.63,0.62,-0.63,-0.91,-0.59,8.25,8.25,8.25
22.09,8.89,8.89,0.64,0.64,-0.65,-0.92,-0.61,8.24,8.25,8.25
22.31,8.91,8.91,0.66,0.66,-0.67,-0.92,-0.62,8.25,8.25,8.25
22.54,8.94,8.94,0.69,0.69,-0.69,-0.92,-0.64,8.26,8.25,8.25
22.76,8.96,8.96,0.71,0.71,-0.71,-0.93,-0.66,8.25,8.26,8.25
22.99,8.99,8.98,0.74,0.73,-0.73,-0.93,-0.68,8.26,8.25,8.25
23.22,9.00,9.00,0.75,0.75,-0.75,-0.93,-0.70,8.25,8.25,8.25
23.45,9.02,9.03,0.77,0.78,-0.78,-0.93,-0.71,8.24,8.25,8.25
23.69,9.05,9.05,0.80,0.80,-0.80,-0.94,-0.73,8.25,8.25,8.25
23.92,9.07,9.07,0.83,0.82,-0.82,-0.94,-0.75,8.25,8.25,8.25
24.16,9.09,9.09,0.85,0.85,-0.85,-0.94,-0.77,8.24,8.25,8.24
24.40,9.11,9.11,0.87,0.87,-0.87,-0.95,-0.79,8.24,8.24,8.24
24.65,9.13,9.13,0.89,0.89,-0.89,-0.95,-0.82,8.24,8.24,8.24
24.89,9.15,9.15,0.91,0.91,-0.91,-0.96,-0.84,8.24,8.24,8.24
25.14,9.17,9.17,0.93,0.93,-0.93,-0.96,-0.86,8.24,8.24,8.24
25.39,9.19,9.19,0.95,0.95,-0.95,-0.96,-0.88,8.24,8.24,8.24
25.65,9.20,9.20,0.96,0.97,-0.96,-0.97,-0.90,8.24,8.24,8.24
25.91,9.21,9.21,0.98,0.98,-0.97,-0.97,-0.92,8.24,8.24,8.24
26.16,9.22,9.22,0.99,0.98,-0.98,-0.97,-0.94,8.24,8.23,8.23
26.43,9.22,9.22,0.99,0.99,-0.99,-0.98,-0.97,8.23,8.23,8.23
26.69,9.22,9.22,0.99,0.99,-1.00,-0.98,-0.99,8.22,8.23,8.23
26.96,9.23,9.23,1.00,1.00,-1.00,-0.99,-1.01,8.23,8.22,8.23
27.23,9.23,9.23,1.00,1.00,-1.00,-0.99,-1.03,8.23,8.23,8.23
27.50,9.23,9.23,1.01,1.01,-1.00,-0.99,-1.05,8.23,8.23,8.22
27.77,9.23,9.23,1.01,1.01,-1.00,-1.00,-1.07,8.23,8.23,8.22
28.05,9.23,9.22,1.01,1.00,-0.99,-1.00,-1.09,8.24,8.23,8.22
28.33,9.21,9.21,0.99,0.99,-0.98,-1.01,-1.11,8.23,8.23,8.22
28.62,9.19,9.19,0.97,0.98,-0.98,-1.01,-1.13,8.21,8.21,8.22
28.90,9.18,9.18,0.97,0.97,-0.98,-1.02,-1.14,8.20,8.20,8.21
29.19,9.18,9.18,0.97,0.97,-0.99,-1.02,-1.16,8.19,8.19,8.21
29.48,9.19,9.19,0.98,0.98,-1.00,-1.03,-1.18,8.19,8.19,8.21
29.78,9.21,9.21,1.00,1.01,-1.01,-1.03,-1.19,8.20,8.20,8.21
30.08,9.24,9.24,1.04,1.03,-1.03,-1.04,-1.21,8.21,8.21,8.20
30.38,9.27,9.27,1.07,1.07,-1.06,-1.04,-1.22,8.21,8.21,8.20
30.68,9.29,9.29,1.09,1.09,-1.08,-1.05,-1.23,8.21,8.21,8.20
30.99,9.31,9.31,1.11,1.11,-1.10,-1.05,-1.24,8.21,8.21,8.20
31.30,9.32,9.32,1.13,1.13,-1.12,-1.06,-1.25,8.20,8.20,8.19
31.61,9.33,9.33,1.14,1.14,-1.14,-1.07,-1.26,8.20,8.19,8.19
31.93,9.33,9.33,1.14,1.15,-1.14,-1.07,-1.26,8.19,8.19,8.19
32.24,9.33,9.33,1.15,1.15,-1.15,-1.08,-1.27,8.18,8.18,8.18
32.57,9.33,9.33,1.15,1.15,-1.15,-1.08,-1.27,8.18,8.18,8.18
32.89,9.32,9.32,1.14,1.15,-1.15,-1.09,-1.28,8.17,8.18,8.18
33.22,9.32,9.32,1.15,1.15,-1.15,-1.10,-1.28,8.17,8.17,8.17
33.55,9.31,9.31,1.14,1.14,-1.15,-1.10,-1.28,8.16,8.16,8.17
33.89,9.31,9.31,1.15,1.15,-1.15,-1.11,-1.28,8.16,8.16,8.16
34.23,9.31,9.31,1.15,1.15,-1.16,-1.12,-1.28,8.15,8.15,8.16
34.57,9.32,9.32,1.17,1.17,-1.17,-1.12,-1.28,8.15,8.15,8.16
34.92,9.34,9.34,1.19,1.19,-1.18,-1.13,-1.28,8.16,8.16,8.15
35.27,9.35,9.35,1.20,1.20,-1.20,-1.14,-1.28,8.15,8.15,8.15
35.62,9.36,9.36,1.22,1.22,-1.22,-1.14,-1.27,8.14,8.14,8.14
35.97,9.37,9.37,1.23,1.23,-1.24,-1.15,-1.27,8.13,8.13,8.14
36.33,9.38,9.38,1.25,1.25,-1.27,-1.16,-1.27,8.11,8.12,8.13
36.70,9.40,9.40,1.27,1.28,-1.29,-1.17,-1.27,8.11,8.11,8.13
37.06,9.43,9.43,1.31,1.31,-1.32,-1.17,-1.26,8.11,8.12,8.12
37.43,9.46,9.46,1.35,1.34,-1.33,-1.18,-1.26,8.13,8.12,8.11
37.81,9.48,9.48,1.37,1.37,-1.35,-1.19,-1.26,8.13,8.13,8.11
38.19,9.48,9.48,1.38,1.38,-1.36,-1.20,-1.26,8.12,8.12,8.10
38.57,9.47,9.47,1.38,1.37,-1.36,-1.21,-1.26,8.11,8.11,8.10
38.95,9.44,9.44,1.35,1.35,-1.35,-1.21,-1.26,8.09,8.09,8.09
39.34,9.41,9.42,1.33,1.33,-1.34,-1.22,-1.26,8.07,8.07,8.08
39.74,9.39,9.39,1.32,1.32,-1.33,-1.23,-1.26,8.06,8.06,8.07
40.14,9.37,9.37,1.30,1.30,-1.31,-1.24,-1.26,8.06,8.06,8.07
