frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.37,11.37,3.61,3.61,-3.62,-3.48,-1.66,7.74,7.74,7.75
20.20,11.37,11.36,3.61,3.61,-3.62,-3.48,-1.71,7.75,7.75,7.75
20.40,11.36,11.36,3.60,3.61,-3.61,-3.48,-1.76,7.75,7.75,7.75
20.61,11.36,11.35,3.61,3.60,-3.60,-3.48,-1.82,7.76,7.76,7.75
20.81,11.35,11.35,3.60,3.60,-3.59,-3.48,-1.87,7.76,7.76,7.75
21.02,11.35,11.35,3.60,3.59,-3.58,-3.48,-1.92,7.77,7.77,7.75
21.23,11.34,11.33,3.59,3.58,-3.56,-3.48,-1.98,7.77,7.77,7.75
21.44,11.31,11.31,3.56,3.56,-3.55,-3.48,-2.04,7.76,7.76,7.75
21.66,11.28,11.28,3.53,3.53,-3.53,-3.48,-2.10,7.75,7.75,7.75
21.87,11.25,11.25,3.50,3.50,-3.50,-3.48,-2.16,7.74,7.74,7.75
22.09,11.23,11.23,3.48,3.48,-3.48,-3.48,-2.22,7.74,7.74,7.75
22.31,11.21,11.20,3.46,3.46,-3.47,-3.48,-2.29,7.74,7.74,7.75
22.54,11.19,11.19,3.44,3.44,-3.45,-3.48,-2.35,7.73,7.74,7.74
22.76,11.18,11.18,3.43,3.44,-3.45,-3.48,-2.42,7.73,7.74,7.74
22.99,11.19,11.18,3.44,3.44,-3.45,-3.48,-2.49,7.74,7.74,7.74
23.22,11.20,11.19,3.46,3.45,-3.45,-3.48,-2.56,7.74,7.74,7.74
23.45,11.21,11.21,3.47,3.47,-3.46,-3.48,-2.63,7.74,7.74,7.74
23.69,11.23,11.23,3.49,3.49,-3.48,-3.48,-2.71,7.74,7.74,7.74
23.92,11.25,11.24,3.51,3.51,-3.51,-3.48,-2.78,7.74,7.74,7.74
24.16,11.27,11.27,3.53,3.53,-3.53,-3.48,-2.86,7.74,7.74,7.74
24.40,11.30,11.30,3.56,3.56,-3.56,-3.48,-2.94,7.73,7.74,7.74
24.65,11.34,11.33,3.60,3.60,-3.60,-3.48,-3.02,7.74,7.73,7.73
24.89,11.37,11.37,3.63,3.64,-3.64,-3.48,-3.10,7.73,7.73,7.73
25.14,11.41,11.41,3.68,3.68,-3.69,-3.48,-3.18,7.72,7.72,7.73
25.39,11.46,11.46,3.73,3.72,-3.74,-3.47,-3.26,7.71,7.71,7.73
25.65,11.51,11.51,3.78,3.78,-3.80,-3.47,-3.34,7.70,7.71,7.73
25.91,11.57,11.57,3.84,3.84,-3.86,-3.47,-3.43,7.71,7.71,7.73
26.16,11.63,11.62,3.90,3.90,-3.90,-3.47,-3.51,7.73,7.72,7.73
26.43,11.67,11.67,3.94,3.94,-3.93,-3.47,-3.59,7.74,7.74,7.72
26.69,11.69,11.70,3.96,3.97,-3.93,-3.47,-3.67,7.76,7.77,7.72
26.96,11.70,11.69,3.98,3.96,-3.90,-3.47,-3.75,7.80,7.79,7.72
27.23,11.65,11.63,3.93,3.91,-3.85,-3.47,-3.83,7.80,7.79,7.72
27.50,11.54,11.54,3.82,3.83,-3.78,-3.47,-3.90,7.76,7.77,7.72
