frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.36,7.36,1.08,1.08,-1.09,-0.06,-0.30,6.27,6.27,6.28
20.20,7.35,7.34,1.07,1.07,-1.07,-0.06,-0.31,6.28,6.28,6.28
20.40,7.33,7.33,1.05,1.05,-1.05,-0.06,-0.31,6.28,6.28,6.28
20.61,7.31,7.31,1.03,1.03,-1.03,-0.06,-0.33,6.28,6.28,6.28
20.81,7.29,7.29,1.01,1.02,-1.01,-0.06,-0.34,6.28,6.28,6.28
21.02,7.28,7.27,1.00,1.00,-1.00,-0.05,-0.35,6.28,6.28,6.28
21.23,7.26,7.26,0.98,0.98,-0.99,-0.05,-0.36,6.27,6.27,6.28
21.44,7.24,7.25,0.96,0.97,-0.98,-0.05,-0.37,6.26,6.27,6.27
21.66,7.24,7.24,0.97,0.96,-0.97,-0.05,-0.38,6.27,6.27,6.27
21.87,7.24,7.23,0.97,0.96,-0.96,-0.05,-0.39,6.28,6.27,6.27
22.09,7.23,7.23,0.96,0.96,-0.96,-0.05,-0.40,6.27,6.27,6.27
22.31,7.23,7.23,0.96,0.96,-0.96,-0.05,-0.42,6.27,6.27,6.27
22.54,7.23,7.23,0.96,0.96,-0.96,-0.05,-0.43,6.27,6.28,6.27
22.76,7.24,7.23,0.97,0.96,-0.96,-0.05,-0.44,6.28,6.28,6.27
22.99,7.23,7.23,0.96,0.96,-0.96,-0.05,-0.46,6.27,6.27,6.27
23.22,7.23,7.23,0.96,0.96,-0.97,-0.05,-0.47,6.26,6.26,6.27
23.45,7.23,7.23,0.96,0.96,-0.98,-0.05,-0.48,6.25,6.25,6.27
23.69,7.24,7.24,0.97,0.98,-0.99,-0.05,-0.50,6.25,6.25,6.27
23.92,7.26,7.26,0.99,0.99,-1.01,-0.05,-0.51,6.25,6.25,6.26
24.16,7.28,7.28,1.02,1.02,-1.02,-0.04,-0.53,6.26,6.26,6.26
24.40,7.30,7.30,1.04,1.04,-1.04,-0.04,-0.54,6.26,6.27,6.26
24.65,7.32,7.32,1.06,1.06,-1.04,-0.04,-0.56,6.28,6.28,6.26
24.89,7.33,7.32,1.07,1.06,-1.04,-0.04,-0.57,6.29,6.28,6.26
25.14,7.31,7.31,1.05,1.05,-1.02,-0.04,-0.59,6.29,6.29,6.26
25.39,7.28,7.28,1.02,1.02,-1.00,-0.04,-0.60,6.28,6.28,6.26
25.65,7.23,7.23,0.97,0.97,-0.96,-0.04,-0.62,6.27,6.27,6.26
25.91,7.18,7.18,0.93,0.92,-0.93,-0.04,-0.63,6.25,6.25,6.25
26.16,7.12,7.12,0.87,0.87,-0.90,-0.04,-0.65,6.22,6.23,6.25
26.43,7.08,7.08,0.83,0.83,-0.87,-0.04,-0.66,6.21,6.21,6.25
