frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.17,4.17,1.50,1.50,-1.50,-2.77,-1.25,2.67,2.67,2.67
20.20,4.20,4.20,1.50,1.50,-1.50,-2.77,-1.28,2.70,2.70,2.70
20.40,4.23,4.23,1.50,1.51,-1.50,-2.77,-1.32,2.73,2.73,2.73
20.61,4.26,4.27,1.51,1.51,-1.51,-2.77,-1.36,2.75,2.76,2.75
20.81,4.30,4.30,1.52,1.52,-1.52,-2.77,-1.40,2.78,2.78,2.78
21.02,4.34,4.34,1.54,1.54,-1.54,-2.78,-1.44,2.80,2.80,2.81
21.23,4.37,4.38,1.56,1.56,-1.56,-2.78,-1.48,2.81,2.82,2.82
21.44,4.41,4.41,1.59,1.59,-1.59,-2.78,-1.52,2.83,2.83,2.83
21.66,4.45,4.45,1.62,1.62,-1.62,-2.78,-1.57,2.84,2.84,2.84
21.87,4.49,4.49,1.66,1.65,-1.65,-2.78,-1.61,2.84,2.84,2.84
22.09,4.53,4.53,1.69,1.69,-1.69,-2.78,-1.66,2.84,2.84,2.85
22.31,4.57,4.58,1.73,1.73,-1.73,-2.79,-1.71,2.84,2.84,2.84
22.54,4.62,4.62,1.78,1.78,-1.78,-2.79,-1.75,2.84,2.84,2.84
22.76,4.67,4.67,1.83,1.83,-1.83,-2.79,-1.80,2.84,2.84,2.84
22.99,4.72,4.72,1.89,1.89,-1.89,-2.79,-1.86,2.84,2.84,2.83
23.22,4.77,4.77,1.94,1.94,-1.94,-2.79,-1.91,2.83,2.83,2.83
23.45,4.82,4.83,1.99,2.00,-2.00,-2.80,-1.96,2.82,2.83,2.83
23.69,4.88,4.89,2.05,2.06,-2.05,-2.80,-2.02,2.83,2.83,2.83
23.92,4.95,4.95,2.12,2.11,-2.11,-2.80,-2.07,2.85,2.84,2.83
24.16,5.00,5.00,2.16,2.17,-2.16,-2.80,-2.13,2.84,2.84,2.84
24.40,5.04,5.05,2.21,2.21,-2.21,-2.81,-2.19,2.84,2.84,2.84
24.65,5.08,5.08,2.26,2.25,-2.25,-2.81,-2.25,2.83,2.83,2.83
24.89,5.12,5.12,2.30,2.29,-2.29,-2.81,-2.30,2.83,2.83,2.83
25.14,5.15,5.16,2.33,2.33,-2.33,-2.81,-2.36,2.82,2.82,2.83
25.39,5.19,5.19,2.37,2.37,-2.37,-2.81,-2.42,2.82,2.82,2.82
25.65,5.22,5.23,2.40,2.41,-2.41,-2.82,-2.48,2.81,2.82,2.82
25.91,5.26,5.26,2.45,2.45,-2.44,-2.82,-2.55,2.82,2.82,2.81
26.16,5.29,5.29,2.48,2.48,-2.48,-2.82,-2.61,2.82,2.82,2.81
26.43,5.32,5.32,2.51,2.52,-2.51,-2.83,-2.67,2.81,2.81,2.81
26.69,5.35,5.35,2.54,2.54,-2.54,-2.83,-2.73,2.81,2.81,2.81
26.96,5.38,5.38,2.58,2.57,-2.58,-2.83,-2.79,2.80,2.80,2.81
27.23,5.41,5.41,2.61,2.61,-2.61,-2.83,-2.84,2.80,2.80,2.81
27.50,5.44,5.45,2.64,2.64,-2.65,-2.84,-2.90,2.79,2.80,2.80
27.77,5.48,5.48,2.69,2.68,-2.68,-2.84,-2.96,2.80,2.80,2.79
28.05,5.51,5.52,2.72,2.73,-2.72,-2.84,-3.01,2.79,2.79,2.79
28.33,5.55,5.55,2.77,2.77,-2.76,-2.85,-3.06,2.79,2.79,2.78
28.62,5.58,5.58,2.80,2.80,-2.80,-2.85,-3.11,2.78,2.78,2.78
28.90,5.61,5.62,2.84,2.84,-2.84,-2.85,-3.16,2.77,2.77,2.78
29.19,5.65,5.65,2.89,2.88,-2.89,-2.86,-3.20,2.76,2.76,2.77
29.48,5.69,5.70,2.92,2.93,-2.93,-2.86,-3.24,2.76,2.76,2.77
29.78,5.74,5.74,2.98,2.98,-2.98,-2.86,-3.28,2.76,2.76,2.76
30.08,5.78,5.78,3.02,3.02,-3.02,-2.87,-3.31,2.76,2.76,2.76
30.38,5.82,5.82,3.07,3.07,-3.07,-2.87,-3.34,2.76,2.76,2.75
30.68,5.86,5.86,3.12,3.12,-3.11,-2.87,-3.37,2.75,2.75,2.75
30.99,5.89,5.89,3.16,3.16,-3.15,-2.88,-3.39,2.74,2.74,2.73
31.30,5.92,5.92,3.19,3.19,-3.19,-2.88,-3.41,2.73,2.73,2.73
31.61,5.95,5.95,3.22,3.23,-3.23,-2.89,-3.43,2.73,2.72,2.73
31.93,5.97,5.98,3.26,3.26,-3.26,-2.89,-3.44,2.71,2.72,2.72
32.24,6.00,6.00,3.30,3.29,-3.29,-2.89,-3.45,2.71,2.71,2.70
32.57,6.02,6.02,3.32,3.32,-3.32,-2.90,-3.45,2.70,2.70,2.70
32.89,6.04,6.04,3.34,3.35,-3.35,-2.90,-3.45,2.70,2.70,2.70
33.22,6.06,6.06,3.38,3.37,-3.37,-2.91,-3.45,2.69,2.69,2.69
33.55,6.08,6.08,3.40,3.40,-3.40,-2.91,-3.45,2.68,2.68,2.68
33.89,6.10,6.10,3.43,3.43,-3.43,-2.92,-3.44,2.68,2.67,2.67
34.23,6.11,6.12,3.44,3.45,-3.45,-2.92,-3.43,2.66,2.66,2.67
34.57,6.13,6.13,3.48,3.47,-3.48,-2.93,-3.42,2.65,2.65,2.66
34.92,6.14,6.15,3.50,3.50,-3.51,-2.93,-3.40,2.64,2.64,2.64
35.27,6.16,6.16,3.52,3.53,-3.53,-2.94,-3.39,2.63,2.63,2.64
35.62,6.18,6.18,3.56,3.56,-3.56,-2.94,-3.37,2.63,2.63,2.63
35.97,6.20,6.20,3.59,3.58,-3.58,-2.95,-3.35,2.62,2.62,2.61
36.33,6.21,6.21,3.61,3.61,-3.60,-2.95,-3.33,2.61,2.61,2.61
36.70,6.21,6.21,3.62,3.62,-3.62,-2.96,-3.31,2.59,2.59,2.59
37.06,6.21,6.21,3.63,3.63,-3.64,-2.96,-3.30,2.58,2.58,2.58
37.43,6.21,6.22,3.64,3.64,-3.65,-2.97,-3.28,2.57,2.57,2.58
37.81,6.21,6.22,3.65,3.65,-3.65,-2.97,-3.26,2.56,2.57,2.56
38.19,6.21,6.21,3.67,3.66,-3.65,-2.98,-3.24,2.57,2.56,2.55
38.57,6.19,6.19,3.65,3.65,-3.64,-2.99,-3.22,2.55,2.55,2.54
38.95,6.16,6.16,3.64,3.64,-3.63,-2.99,-3.21,2.54,2.53,2.53
39.34,6.12,6.12,3.61,3.61,-3.61,-3.00,-3.19,2.51,2.51,2.51
39.74,6.08,6.09,3.59,3.59,-3.60,-3.01,-3.18,2.49,2.49,2.50
40.14,6.05,6.06,3.56,3.57,-3.58,-3.01,-3.17,2.48,2.48,2.49
40.54,6.03,6.03,3.56,3.55,-3.56,-3.02,-3.16,2.47,2.47,2.48
40.94,6.01,6.01,3.54,3.54,-3.54,-3.03,-3.15,2.47,2.47,2.47
41.35,5.99,5.99,3.54,3.53,-3.53,-3.03,-3.15,2.46,2.46,2.45
41.76,5.96,5.97,3.51,3.52,-3.52,-3.04,-3.15,2.44,2.44,2.45
42.18,5.94,5.94,3.50,3.50,-3.52,-3.05,-3.15,2.43,2.43,2.44
42.60,5.92,5.93,3.50,3.50,-3.51,-3.06,-3.15,2.41,2.42,2.42
43.03,5.91,5.91,3.50,3.50,-3.50,-3.06,-3.15,2.41,2.42,2.42
43.46,5.90,5.90,3.50,3.50,-3.49,-3.07,-3.16,2.42,2.41,2.40
43.90,5.87,5.87,3.50,3.49,-3.47,-3.08,-3.17,2.40,2.40,2.37
44.33,5.83,5.83,3.48,3.48,-3.46,-3.09,-3.18,2.37,2.37,2.36
44.78,5.78,5.78,3.45,3.45,-3.44,-3.10,-3.19,2.34,2.34,2.34
45.23,5.73,5.74,3.41,3.42,-3.43,-3.11,-3.21,2.31,2.31,2.32
45.68,5.69,5.70,3.39,3.40,-3.41,-3.12,-3.22,2.29,2.29,2.30
46.13,5.67,5.67,3.39,3.39,-3.39,-3.13,-3.24,2.28,2.28,2.28
46.60,5.65,5.65,3.38,3.38,-3.38,-3.14,-3.27,2.27,2.27,2.27
47.06,5.63,5.63,3.38,3.37,-3.38,-3.15,-3.29,2.25,2.24,2.25
47.53,5.60,5.60,3.37,3.37,-3.39,-3.16,-3.32,2.21,2.21,2.23
48.01,5.58,5.59,3.36,3.38,-3.40,-3.17,-3.35,2.19,2.20,2.22
48.49,5.59,5.60,3.40,3.41,-3.40,-3.18,-3.38,2.19,2.20,2.19
48.97,5.61,5.61,3.45,3.45,-3.41,-3.19,-3.41,2.20,2.20,2.16
49.46,5.61,5.60,3.48,3.47,-3.42,-3.20,-3.45,2.19,2.18,2.13
49.96,5.56,5.56,3.47,3.45,-3.44,-3.21,-3.49,2.13,2.12,2.10
50.46,5.50,5.51,3.42,3.43,-3.46,-3.23,-3.53,2.05,2.05,2.09
50.96,5.46,5.48,3.40,3.42,-3.48,-3.24,-3.57,1.99,2.00,2.06
51.47,5.48,5.49,3.45,3.46,-3.50,-3.25,-3.61,1.99,2.00,2.03
51.99,5.54,5.53,3.54,3.52,-3.52,-3.26,-3.65,2.03,2.02,2.01
52.51,5.57,5.56,3.58,3.57,-3.54,-3.28,-3.69,2.04,2.02,1.99
53.03,5.56,5.56,3.60,3.59,-3.56,-3.29,-3.74,2.00,2.00,1.97
53.56,5.53,5.54,3.59,3.60,-3.59,-3.31,-3.78,1.95,1.95,1.94
54.10,5.51,5.52,3.60,3.60,-3.61,-3.32,-3.82,1.90,1.90,1.92
