frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-12.23,-12.24,-12.69,-12.69,6.00,6.42,2.71,-6.23,-6.24,0.45
20.20,-12.24,-12.24,-12.73,-12.72,6.00,6.42,2.79,-6.24,-6.24,0.48
20.40,-12.24,-12.24,-12.76,-12.75,6.00,6.42,2.86,-6.24,-6.24,0.51
20.61,-12.24,-12.24,-12.77,-12.78,6.00,6.42,2.95,-6.24,-6.24,0.53
20.81,-12.22,-12.23,-12.79,-12.79,6.00,6.42,3.03,-6.22,-6.23,0.56
21.02,-12.21,-12.22,-12.80,-12.80,6.00,6.42,3.12,-6.21,-6.22,0.59
21.23,-12.20,-12.20,-12.80,-12.80,6.00,6.41,3.20,-6.20,-6.20,0.60
21.44,-12.18,-12.18,-12.79,-12.79,6.00,6.41,3.30,-6.18,-6.18,0.61
21.66,-12.14,-12.15,-12.76,-12.76,6.00,6.41,3.39,-6.14,-6.15,0.62
21.87,-12.10,-12.10,-12.72,-12.72,6.00,6.41,3.49,-6.10,-6.10,0.62
22.09,-12.04,-12.05,-12.67,-12.67,6.00,6.41,3.58,-6.04,-6.05,0.63
22.31,-11.98,-11.98,-12.61,-12.61,6.00,6.41,3.69,-5.98,-5.98,0.63
22.54,-11.89,-11.89,-12.52,-12.52,6.00,6.41,3.79,-5.89,-5.89,0.63
22.76,-11.79,-11.80,-12.42,-12.42,6.00,6.40,3.90,-5.79,-5.80,0.63
22.99,-11.68,-11.69,-12.30,-12.31,6.00,6.40,4.01,-5.68,-5.69,0.62
23.22,-11.58,-11.58,-12.20,-12.19,6.00,6.40,4.12,-5.58,-5.58,0.62
23.45,-11.46,-11.46,-12.08,-12.07,6.00,6.40,4.23,-5.46,-5.46,0.61
23.69,-11.35,-11.35,-11.96,-11.96,6.00,6.40,4.35,-5.35,-5.35,0.61
23.92,-11.23,-11.23,-11.84,-11.85,6.00,6.40,4.47,-5.23,-5.23,0.61
24.16,-11.13,-11.13,-11.75,-11.75,6.00,6.39,4.59,-5.13,-5.13,0.62
24.40,-11.03,-11.03,-11.65,-11.65,6.00,6.39,4.72,-5.03,-5.03,0.62
24.65,-10.93,-10.94,-11.54,-11.55,6.00,6.39,4.84,-4.93,-4.94,0.61
24.89,-10.84,-10.84,-11.45,-11.45,6.00,6.39,4.97,-4.84,-4.84,0.61
25.14,-10.75,-10.75,-11.36,-11.36,6.00,6.39,5.10,-4.75,-4.75,0.61
25.39,-10.66,-10.66,-11.27,-11.27,6.00,6.38,5.23,-4.66,-4.66,0.61
25.65,-10.58,-10.58,-11.19,-11.18,6.00,6.38,5.36,-4.58,-4.58,0.61
25.91,-10.50,-10.51,-11.10,-11.11,6.00,6.38,5.49,-4.50,-4.51,0.60
26.16,-10.44,-10.45,-11.04,-11.04,6.00,6.38,5.63,-4.44,-4.45,0.59
26.43,-10.40,-10.40,-11.00,-10.99,6.00,6.38,5.76,-4.40,-4.40,0.59
26.69,-10.36,-10.36,-10.95,-10.96,6.00,6.37,5.89,-4.36,-4.36,0.59
26.96,-10.33,-10.33,-10.92,-10.92,6.00,6.37,6.02,-4.33,-4.33,0.59
27.23,-10.30,-10.30,-10.89,-10.89,6.00,6.37,6.14,-4.30,-4.30,0.59
27.50,-10.27,-10.27,-10.86,-10.86,6.00,6.37,6.27,-4.27,-4.27,0.59
27.77,-10.24,-10.24,-10.82,-10.82,6.00,6.36,6.39,-4.24,-4.24,0.58
28.05,-10.22,-10.22,-10.80,-10.79,6.00,6.36,6.51,-4.22,-4.22,0.58
28.33,-10.20,-10.21,-10.77,-10.77,6.00,6.36,6.62,-4.20,-4.21,0.56
28.62,-10.19,-10.20,-10.76,-10.76,6.00,6.35,6.73,-4.19,-4.20,0.56
28.90,-10.19,-10.19,-10.75,-10.74,6.00,6.35,6.83,-4.19,-4.19,0.56
29.19,-10.17,-10.17,-10.72,-10.73,6.00,6.35,6.92,-4.17,-4.17,0.55
29.48,-10.15,-10.15,-10.71,-10.70,6.00,6.35,7.01,-4.15,-4.15,0.56
29.78,-10.12,-10.12,-10.67,-10.67,6.00,6.34,7.09,-4.12,-4.12,0.55
30.08,-10.08,-10.09,-10.63,-10.63,6.00,6.34,7.15,-4.08,-4.09,0.54
30.38,-10.04,-10.04,-10.58,-10.58,6.00,6.34,7.22,-4.04,-4.04,0.53
